period,LAD,SHEF_A,report_count,user_count,average
2016-2,E07000065,Potholes,248,162,1.5308641975308641
2016-2,E07000065,Property Damage,1,1,1.0
2016-2,E07000065,Right of Way,12,11,1.0909090909090908
2016-2,E07000065,Road Markings,8,8,1.0
2016-2,E07000065,Road Surface Defects,31,22,1.4090909090909092
2016-2,E07000065,Rubbish,3,2,1.5
2016-2,E07000065,Street Cleaning,3,3,1.0
2016-2,E07000065,Street Lights,52,43,1.2093023255813953
2016-2,E07000065,Street Signs,9,6,1.5
2016-2,E07000065,Traffic Lights,2,2,1.0
2016-2,E07000065,Utility Works,1,1,1.0
2016-2,E07000089,Abandoned Vehicles,16,15,1.0666666666666667
2016-2,E07000089,Dog Fouling,1,1,1.0
2016-2,E07000089,Fly-tipping,7,6,1.1666666666666667
2016-2,E07000089,Graffiti,3,2,1.5
2016-2,E07000089,Highway Condition,12,11,1.0909090909090908
2016-2,E07000089,Other,12,11,1.0909090909090908
2016-2,E07000089,Parking,3,3,1.0
2016-2,E07000089,Pavement /Footway Defects,9,7,1.2857142857142858
2016-2,E07000089,Potholes,16,16,1.0
2016-2,E07000089,Rubbish,5,4,1.25
2016-2,E07000089,Street Cleaning,3,2,1.5
2016-2,E07000089,Street Lights,9,9,1.0
2016-2,E07000089,Street Name Plates,1,1,1.0
2016-2,E07000089,Street Signs,3,3,1.0
2016-2,E07000165,Abandoned Vehicles,9,9,1.0
2016-2,E07000165,Dog Fouling,2,2,1.0
2016-2,E07000165,Dog Litter Bin,1,1,1.0
2016-2,E07000165,Fly-tipping,10,10,1.0
2016-2,E07000165,Other,6,6,1.0
2016-2,E07000165,Parking,1,1,1.0
2016-2,E07000165,Rubbish,5,5,1.0
2016-2,E07000165,Street Cleaning,1,1,1.0
2016-2,E07000165,Street Name Plates,2,2,1.0
2016-2,E07000177,,1,1,1.0
2016-2,E07000177,Abandoned Vehicles,1,1,1.0
2016-2,E07000177,Blocked Drains,14,11,1.2727272727272727
2016-2,E07000177,Bridge/Culvert Defects,1,1,1.0
2016-2,E07000177,Debris/Spillage,1,1,1.0
2016-2,E07000177,Fallen/Dangerous Trees,7,7,1.0
2016-2,E07000177,Grass/Weed Control,3,3,1.0
2016-2,E07000177,Gullies,1,1,1.0
2016-2,E07000177,Highway Condition,12,10,1.2
2016-2,E07000177,Manhole Covers,4,4,1.0
2016-2,E07000177,Other,5,5,1.0
2016-2,E07000177,Parking,12,9,1.3333333333333333
2016-2,E07000177,Pavement /Footway Defects,8,8,1.0
2016-2,E07000177,Potholes,120,78,1.5384615384615385
2016-2,E07000177,Right of Way,1,1,1.0
2016-2,E07000177,Road Markings,5,5,1.0
2016-2,E07000177,Road Surface Defects,10,9,1.1111111111111112
2016-2,E07000177,Street Cleaning,1,1,1.0
2016-2,E07000177,Street Lights,5,5,1.0
