period,LSOA,SHEF_C,report_count,user_count,average
2013-9,E01000695,Environmental Health,1,1,1.0
2013-9,E01000697,Road Safety & Defects,1,1,1.0
2013-9,E01000697,Vehicles,1,1,1.0
2013-9,E01000698,Environmental Health,2,1,2.0
2013-9,E01000698,Road Safety & Defects,1,1,1.0
2013-9,E01000700,Environmental Disruptions,1,1,1.0
2013-9,E01000701,Environmental Health,1,1,1.0
2013-9,E01000701,Vehicles,1,1,1.0
2013-9,E01000704,Environmental Health,1,1,1.0
2013-9,E01000710,Access,1,1,1.0
2013-9,E01000713,Vehicles,1,1,1.0
2013-9,E01000714,Access,1,1,1.0
2013-9,E01000714,Road Safety & Defects,2,1,2.0
2013-9,E01000715,Road Safety & Defects,1,1,1.0
2013-9,E01000719,Environmental Health,1,1,1.0
2013-9,E01000721,Road Safety & Defects,1,1,1.0
2013-9,E01000722,Environmental Health,1,1,1.0
2013-9,E01000722,Incivilities,1,1,1.0
2013-9,E01000722,Road Safety & Defects,3,2,1.5
2013-9,E01000725,Road Safety & Defects,1,1,1.0
2013-9,E01000726,Road Safety & Defects,1,1,1.0
2013-9,E01000727,Access,1,1,1.0
2013-9,E01000727,Environmental Disruptions,1,1,1.0
2013-9,E01000728,Environmental Disruptions,1,1,1.0
2013-9,E01000729,Road Safety & Defects,1,1,1.0
2013-9,E01000730,Road Safety & Defects,2,1,2.0
2013-9,E01000733,Environmental Health,1,1,1.0
2013-9,E01000733,Road Safety & Defects,1,1,1.0
2013-9,E01000734,Environmental Disruptions,3,1,3.0
2013-9,E01000735,Incivilities,1,1,1.0
2013-9,E01000737,Environmental Health,2,2,1.0
2013-9,E01000738,Environmental Health,2,1,2.0
2013-9,E01000740,Road Safety & Defects,2,1,2.0
2013-9,E01000741,Environmental Disruptions,1,1,1.0
2013-9,E01000741,Vehicles,1,1,1.0
2013-9,E01000743,Road Safety & Defects,1,1,1.0
2013-9,E01000746,Road Safety & Defects,2,2,1.0
2013-9,E01000751,Road Safety & Defects,3,1,3.0
2013-9,E01000752,Road Safety & Defects,2,2,1.0
2013-9,E01000753,Road Safety & Defects,1,1,1.0
2013-9,E01000754,Road Safety & Defects,1,1,1.0
2013-9,E01000755,Road Safety & Defects,1,1,1.0
2013-9,E01000756,Road Safety & Defects,2,1,2.0
2013-9,E01000761,Environmental Disruptions,1,1,1.0
2013-9,E01000764,Environmental Health,1,1,1.0
2013-9,E01000771,Environmental Health,1,1,1.0
2013-9,E01000775,Environmental Health,1,1,1.0
2013-9,E01000775,Road Safety & Defects,1,1,1.0
2013-9,E01000786,Environmental Health,1,1,1.0
2013-9,E01000787,Road Safety & Defects,1,1,1.0
2013-9,E01000788,Environmental Health,1,1,1.0
2013-9,E01000789,Road Safety & Defects,1,1,1.0
2013-9,E01000794,Road Safety & Defects,2,1,2.0
2013-9,E01000797,Environmental Health,2,2,1.0
2013-9,E01000797,Road Safety & Defects,1,1,1.0
2013-9,E01000798,Environmental Health,1,1,1.0
2013-9,E01000804,Environmental Health,2,2,1.0
2013-9,E01000807,Environmental Health,1,1,1.0
2013-9,E01000809,Environmental Health,1,1,1.0
