lsoa,SHEF_C_CODE,reports,unique_users,average_per_user
E01000438,C1,9,8,1.125
E01000439,C1,6,6,1.0
E01000440,C1,3,3,1.0
E01000441,C1,2,2,1.0
E01000442,C1,8,8,1.0
E01000443,C1,9,8,1.125
E01000444,C1,15,12,1.25
E01000445,C1,4,4,1.0
E01000446,C1,6,5,1.2
E01000447,C1,11,9,1.2222222222222223
E01000448,C1,6,5,1.2
E01000449,C1,8,8,1.0
E01000450,C1,4,4,1.0
E01000451,C1,5,4,1.25
E01000452,C1,1,1,1.0
E01000454,C1,3,3,1.0
E01000455,C1,4,3,1.3333333333333333
E01000456,C1,4,4,1.0
E01000457,C1,7,7,1.0
E01000458,C1,6,6,1.0
E01000459,C1,9,9,1.0
E01000460,C1,11,10,1.1
E01000461,C1,14,12,1.1666666666666667
E01000462,C1,17,17,1.0
E01000463,C1,1,1,1.0
E01000464,C1,1,1,1.0
E01000465,C1,3,2,1.5
E01000466,C1,3,3,1.0
E01000467,C1,3,3,1.0
E01000468,C1,3,3,1.0
E01000469,C1,1,1,1.0
E01000470,C1,1,1,1.0
E01002555,C1,1,1,1.0
E01002556,C1,5,2,2.5
E01002557,C1,4,3,1.3333333333333333
E01002558,C1,9,6,1.5
E01002559,C1,6,6,1.0
E01002560,C1,3,3,1.0
E01002562,C1,1,1,1.0
E01002563,C1,5,2,2.5
E01002564,C1,9,6,1.5
E01002565,C1,4,4,1.0
E01002566,C1,5,4,1.25
E01002567,C1,3,2,1.5
E01002568,C1,1,1,1.0
E01002569,C1,7,7,1.0
E01002570,C1,10,8,1.25
E01002571,C1,4,4,1.0
E01002572,C1,5,4,1.25
E01002573,C1,16,7,2.2857142857142856
E01002574,C1,4,4,1.0
E01002575,C1,7,6,1.1666666666666667
E01002576,C1,4,4,1.0
E01002577,C1,2,2,1.0
E01002578,C1,7,3,2.3333333333333335
E01002579,C1,2,2,1.0
E01002581,C1,10,5,2.0
E01002582,C1,8,5,1.6
E01002583,C1,2,2,1.0
E01002584,C1,3,3,1.0
E01002585,C1,2,2,1.0
E01002586,C1,4,3,1.3333333333333333
E01002587,C1,2,2,1.0
E01002589,C1,7,4,1.75
E01002590,C1,2,2,1.0
E01002591,C1,3,3,1.0
E01002592,C1,3,3,1.0
E01002593,C1,4,3,1.3333333333333333
E01002595,C1,1,1,1.0
E01002596,C1,1,1,1.0
E01002598,C1,8,4,2.0
E01002599,C1,2,2,1.0
E01002600,C1,1,1,1.0
E01002601,C1,5,4,1.25
E01002602,C1,1,1,1.0
E01002603,C1,2,2,1.0
E01002604,C1,2,2,1.0
E01002605,C1,2,2,1.0
E01002607,C1,5,3,1.6666666666666667
E01002608,C1,4,3,1.3333333333333333
E01002609,C1,2,2,1.0
E01002610,C1,1,1,1.0
E01002611,C1,2,2,1.0
E01002612,C1,8,4,2.0
E01002613,C1,3,3,1.0
E01002614,C1,1,1,1.0
E01002615,C1,3,2,1.5
E01002616,C1,3,3,1.0
E01002617,C1,3,3,1.0
E01002618,C1,5,4,1.25
E01002619,C1,3,2,1.5
E01002620,C1,5,4,1.25
E01002621,C1,4,4,1.0
E01002623,C1,8,1,8.0
E01002624,C1,1,1,1.0
E01002625,C1,2,2,1.0
E01002626,C1,5,4,1.25
E01002627,C1,1,1,1.0
E01002628,C1,2,2,1.0
E01002629,C1,2,2,1.0
E01002630,C1,3,3,1.0
E01002631,C1,1,1,1.0
E01002632,C1,6,3,2.0
E01002633,C1,1,1,1.0
E01002634,C1,1,1,1.0
E01002635,C1,1,1,1.0
E01002636,C1,5,3,1.6666666666666667
E01002637,C1,2,1,2.0
E01002638,C1,2,2,1.0
E01002639,C1,1,1,1.0
E01002640,C1,5,3,1.6666666666666667
E01002642,C1,12,9,1.3333333333333333
E01002643,C1,4,3,1.3333333333333333
E01002645,C1,8,4,2.0
E01002646,C1,2,2,1.0
E01002647,C1,2,2,1.0
E01002648,C1,40,8,5.0
E01002649,C1,2,2,1.0
E01002650,C1,1,1,1.0
E01002651,C1,2,1,2.0
E01002653,C1,4,2,2.0
E01002654,C1,2,2,1.0
E01002655,C1,3,3,1.0
E01002657,C1,1,1,1.0
E01002658,C1,2,2,1.0
E01002659,C1,1,1,1.0
E01002660,C1,2,2,1.0
E01002661,C1,5,3,1.6666666666666667
E01002662,C1,2,2,1.0
E01002663,C1,3,3,1.0
E01002664,C1,7,5,1.4
E01002665,C1,3,3,1.0
E01002666,C1,1,1,1.0
E01002667,C1,11,3,3.6666666666666665
E01002668,C1,5,4,1.25
E01002669,C1,1,1,1.0
E01002670,C1,6,2,3.0
E01002671,C1,5,3,1.6666666666666667
E01002672,C1,3,2,1.5
E01002673,C1,2,1,2.0
E01002674,C1,9,6,1.5
E01002675,C1,4,3,1.3333333333333333
E01002676,C1,5,4,1.25
E01002677,C1,8,2,4.0
E01002678,C1,6,5,1.2
E01002679,C1,4,3,1.3333333333333333
E01002680,C1,8,5,1.6
E01002681,C1,3,3,1.0
E01002682,C1,6,6,1.0
E01002683,C1,10,9,1.1111111111111112
E01002684,C1,7,4,1.75
E01002686,C1,4,2,2.0
E01002687,C1,4,3,1.3333333333333333
E01002689,C1,4,4,1.0
E01002690,C1,4,2,2.0
E01002691,C1,2,2,1.0
E01002692,C1,5,5,1.0
E01002693,C1,10,4,2.5
E01013225,C1,1,1,1.0
E01013787,C1,2,2,1.0
E01013788,C1,2,2,1.0
E01013789,C1,2,2,1.0
E01013790,C1,2,2,1.0
E01013791,C1,4,4,1.0
E01013792,C1,4,4,1.0
E01013793,C1,2,2,1.0
E01013794,C1,6,6,1.0
E01013797,C1,2,2,1.0
E01013799,C1,3,3,1.0
E01013801,C1,6,6,1.0
E01013803,C1,2,2,1.0
E01013804,C1,2,2,1.0
E01013805,C1,7,4,1.75
E01013806,C1,1,1,1.0
E01013807,C1,2,2,1.0
E01013808,C1,2,2,1.0
E01013809,C1,4,4,1.0
E01014370,C1,16,13,1.2307692307692308
E01014371,C1,4,4,1.0
E01014372,C1,3,3,1.0
E01014373,C1,1,1,1.0
E01014374,C1,3,3,1.0
E01014375,C1,7,7,1.0
E01014376,C1,2,2,1.0
E01014377,C1,3,3,1.0
E01014379,C1,10,10,1.0
E01014380,C1,3,3,1.0
E01014381,C1,3,3,1.0
E01014382,C1,2,2,1.0
E01014383,C1,4,3,1.3333333333333333
