period,LSOA,SHEF_C_CODE,report_count,user_count,average
all time,E01000312,C3,45,7,6.428571428571429
all time,E01000312,C7,90,21,4.285714285714286
all time,E01000312,C8,6,2,3.0
all time,E01000313,C2,15,5,3.0
all time,E01000313,C3,132,25,5.28
all time,E01000313,C4,39,1,39.0
all time,E01000313,C6,3,1,3.0
all time,E01000313,C7,162,25,6.48
all time,E01000313,C8,9,3,3.0
all time,E01000314,C2,33,6,5.5
all time,E01000314,C3,294,34,8.647058823529411
all time,E01000314,C4,45,2,22.5
all time,E01000314,C5,3,1,3.0
all time,E01000314,C7,540,40,13.5
all time,E01000314,C8,9,3,3.0
all time,E01000315,C2,27,5,5.4
all time,E01000315,C3,120,21,5.714285714285714
all time,E01000315,C4,3,1,3.0
all time,E01000315,C5,3,1,3.0
all time,E01000315,C6,3,1,3.0
all time,E01000315,C7,96,27,3.5555555555555554
all time,E01000315,C8,12,4,3.0
all time,E01000316,C2,21,7,3.0
all time,E01000316,C3,111,25,4.44
all time,E01000316,C4,6,2,3.0
all time,E01000316,C7,177,54,3.2777777777777777
all time,E01000316,C8,33,10,3.3
all time,E01000317,C2,3,1,3.0
all time,E01000317,C3,123,21,5.857142857142857
all time,E01000317,C7,120,35,3.4285714285714284
all time,E01000317,C8,3,1,3.0
all time,E01000318,C2,6,2,3.0
all time,E01000318,C3,57,15,3.8
all time,E01000318,C5,3,1,3.0
all time,E01000318,C7,138,38,3.6315789473684212
all time,E01000318,C8,12,4,3.0
all time,E01000319,C2,18,6,3.0
all time,E01000319,C3,93,22,4.2272727272727275
all time,E01000319,C4,9,2,4.5
all time,E01000319,C7,132,33,4.0
all time,E01000319,C8,6,2,3.0
all time,E01000320,C2,18,5,3.6
all time,E01000320,C3,63,17,3.7058823529411766
all time,E01000320,C5,9,3,3.0
all time,E01000320,C7,180,47,3.8297872340425534
all time,E01000321,C2,18,3,6.0
all time,E01000321,C3,99,24,4.125
all time,E01000321,C4,9,3,3.0
all time,E01000321,C5,6,2,3.0
all time,E01000321,C7,105,31,3.3870967741935485
