period,LSOA,SHEF_C,report_count,user_count,average
2015,E01000132,Environmental Health,11,2,5.5
2015,E01000132,Incivilities,2,1,2.0
2015,E01000132,Road Safety & Defects,3,3,1.0
2015,E01000132,Vehicles,4,2,2.0
2015,E01000133,Environmental Health,2,2,1.0
2015,E01000133,Road Safety & Defects,1,1,1.0
2015,E01000134,Environmental Disruptions,1,1,1.0
2015,E01000134,Environmental Health,2,2,1.0
2015,E01000134,Road Safety & Defects,2,2,1.0
2015,E01000134,Vehicles,2,2,1.0
2015,E01000135,Environmental Health,6,6,1.0
2015,E01000135,Incivilities,1,1,1.0
2015,E01000135,Road Safety & Defects,9,9,1.0
2015,E01000136,Environmental Health,1,1,1.0
2015,E01000136,Road Safety & Defects,4,4,1.0
2015,E01000137,Environmental Health,1,1,1.0
2015,E01000137,Incivilities,2,2,1.0
2015,E01000137,Road Safety & Defects,2,2,1.0
2015,E01000137,Vehicles,1,1,1.0
2015,E01000138,Environmental Health,2,2,1.0
2015,E01000138,Incivilities,2,1,2.0
2015,E01000138,Road Safety & Defects,10,6,1.6666666666666667
2015,E01000139,Environmental Health,5,3,1.6666666666666667
2015,E01000139,Incivilities,2,1,2.0
2015,E01000139,Road Safety & Defects,4,4,1.0
2015,E01000140,Environmental Health,11,7,1.5714285714285714
2015,E01000140,Incivilities,1,1,1.0
2015,E01000140,Road Safety & Defects,6,4,1.5
2015,E01000141,Environmental Health,11,6,1.8333333333333333
2015,E01000141,Incivilities,1,1,1.0
2015,E01000141,Road Safety & Defects,8,8,1.0
2015,E01000141,Vehicles,1,1,1.0
2015,E01000142,Environmental Health,12,8,1.5
2015,E01000142,Incivilities,1,1,1.0
2015,E01000142,Road Safety & Defects,1,1,1.0
2015,E01000143,Road Safety & Defects,3,3,1.0
2015,E01000144,Environmental Health,16,14,1.1428571428571428
2015,E01000144,Incivilities,1,1,1.0
2015,E01000144,Road Safety & Defects,14,9,1.5555555555555556
2015,E01000145,Environmental Health,2,1,2.0
2015,E01000145,Incivilities,2,1,2.0
2015,E01000145,Road Safety & Defects,7,4,1.75
2015,E01000145,Vehicles,1,1,1.0
2015,E01000146,Environmental Health,18,8,2.25
2015,E01000146,Road Safety & Defects,10,6,1.6666666666666667
2015,E01000147,Environmental Health,3,2,1.5
2015,E01000147,Road Safety & Defects,5,4,1.25
2015,E01000147,Vehicles,1,1,1.0
2015,E01000148,Environmental Health,3,3,1.0
2015,E01000148,Road Safety & Defects,2,2,1.0
2015,E01000148,Vehicles,1,1,1.0
2015,E01000150,Environmental Health,3,3,1.0
2015,E01000150,Road Safety & Defects,3,3,1.0
2015,E01000151,Road Safety & Defects,1,1,1.0
2015,E01000151,Vehicles,1,1,1.0
2015,E01000152,Road Safety & Defects,1,1,1.0
2015,E01000152,Vehicles,1,1,1.0
2015,E01000153,Environmental Health,3,2,1.5
2015,E01000154,Environmental Health,1,1,1.0
2015,E01000154,Road Safety & Defects,1,1,1.0
2015,E01000155,Environmental Health,1,1,1.0
2015,E01000155,Road Safety & Defects,4,2,2.0
2015,E01000155,Vehicles,1,1,1.0
2015,E01000156,Environmental Health,4,4,1.0
2015,E01000156,Road Safety & Defects,3,3,1.0
2015,E01000156,Vehicles,3,3,1.0
2015,E01000157,Environmental Health,9,6,1.5
2015,E01000157,Vehicles,3,3,1.0
2015,E01000158,Environmental Health,6,5,1.2
2015,E01000158,Road Safety & Defects,2,2,1.0
2015,E01000158,Vehicles,4,3,1.3333333333333333
2015,E01000159,Environmental Health,2,2,1.0
2015,E01000159,Road Safety & Defects,2,2,1.0
2015,E01000159,Vehicles,1,1,1.0
2015,E01000160,Environmental Health,3,3,1.0
2015,E01000160,Road Safety & Defects,4,3,1.3333333333333333
2015,E01000161,Environmental Health,4,4,1.0
2015,E01000161,Road Safety & Defects,1,1,1.0
2015,E01000161,Vehicles,2,2,1.0
2015,E01000162,Environmental Health,1,1,1.0
2015,E01000162,Road Safety & Defects,3,3,1.0
