lsoa,reports,unique_users,average_per_user
E01000771,17,14,1.2142857142857142
E01000772,2,2,1.0
E01000773,4,4,1.0
E01000774,6,3,2.0
E01000775,12,7,1.7142857142857142
E01000777,12,11,1.0909090909090908
E01000778,6,4,1.5
E01000779,7,6,1.1666666666666667
E01000780,5,4,1.25
E01000781,2,2,1.0
E01000782,6,5,1.2
E01000783,4,4,1.0
E01000784,5,5,1.0
E01000785,3,3,1.0
E01000786,5,4,1.25
E01000787,6,4,1.5
E01000788,15,15,1.0
E01000789,3,3,1.0
E01000790,12,12,1.0
E01000791,3,3,1.0
E01000792,8,7,1.1428571428571428
E01000793,6,6,1.0
E01000794,2,2,1.0
E01000795,5,3,1.6666666666666667
E01000797,11,10,1.1
E01000798,6,4,1.5
E01000799,10,9,1.1111111111111112
E01000800,15,9,1.6666666666666667
E01000801,9,6,1.5
E01000802,8,8,1.0
E01000803,3,3,1.0
E01000804,3,3,1.0
E01000805,6,6,1.0
E01000806,6,5,1.2
E01000807,9,9,1.0
E01000808,5,4,1.25
E01000809,3,3,1.0
E01000810,7,6,1.1666666666666667
E01000811,4,3,1.3333333333333333
E01000812,8,8,1.0
E01000813,4,4,1.0
E01000814,7,7,1.0
E01000815,5,4,1.25
E01000816,1,1,1.0
E01000818,8,8,1.0
E01000819,10,10,1.0
E01000820,2,2,1.0
E01000822,4,4,1.0
E01000823,3,3,1.0
E01000824,6,5,1.2
E01000825,2,2,1.0
E01000826,2,2,1.0
E01000827,7,6,1.1666666666666667
E01000828,7,5,1.4
E01000829,6,4,1.5
E01000830,7,7,1.0
E01000831,7,7,1.0
E01000832,4,4,1.0
E01000833,1,1,1.0
E01000835,5,5,1.0
E01000836,1,1,1.0
E01000837,6,4,1.5
E01000838,4,4,1.0
E01000839,7,5,1.4
E01000840,8,8,1.0
E01000841,7,6,1.1666666666666667
E01001194,1,1,1.0
E01001571,3,3,1.0
E01001572,2,1,2.0
E01001573,9,7,1.2857142857142858
E01001575,1,1,1.0
E01001577,1,1,1.0
E01001578,7,4,1.75
E01001581,1,1,1.0
E01001582,2,2,1.0
E01001583,1,1,1.0
E01001584,1,1,1.0
E01001585,3,3,1.0
E01001586,3,2,1.5
E01001588,2,2,1.0
E01001589,1,1,1.0
E01001590,1,1,1.0
E01001591,8,5,1.6
E01001592,4,4,1.0
E01001593,5,5,1.0
E01001595,6,3,2.0
E01001596,1,1,1.0
E01001597,1,1,1.0
E01001598,4,3,1.3333333333333333
E01001599,6,5,1.2
E01001600,2,2,1.0
E01001602,2,2,1.0
E01001603,4,4,1.0
E01001605,2,2,1.0
E01001606,2,2,1.0
E01001607,3,2,1.5
E01001608,1,1,1.0
E01001609,1,1,1.0
E01001611,2,2,1.0
E01001613,1,1,1.0
E01001615,2,2,1.0
E01001617,3,3,1.0
E01001618,2,1,2.0
E01001619,1,1,1.0
E01001620,1,1,1.0
E01001621,5,4,1.25
E01001623,2,2,1.0
E01001624,1,1,1.0
E01001625,2,2,1.0
E01001629,1,1,1.0
E01001634,3,2,1.5
E01001635,3,3,1.0
E01001636,1,1,1.0
E01001637,4,3,1.3333333333333333
E01001641,2,2,1.0
E01001642,4,4,1.0
E01001644,2,2,1.0
E01001645,6,3,2.0
E01001646,4,4,1.0
E01001647,2,2,1.0
E01001650,6,1,6.0
E01001651,1,1,1.0
E01001652,5,3,1.6666666666666667
E01001653,2,2,1.0
E01001655,1,1,1.0
E01001657,4,3,1.3333333333333333
E01001658,1,1,1.0
E01001659,5,4,1.25
E01001660,3,3,1.0
E01001661,2,2,1.0
E01001662,5,5,1.0
E01001664,2,2,1.0
E01001665,7,3,2.3333333333333335
E01001666,6,5,1.2
E01001667,2,2,1.0
E01001668,12,11,1.0909090909090908
E01001669,8,5,1.6
E01001672,2,2,1.0
E01001673,1,1,1.0
E01001674,8,6,1.3333333333333333
E01001675,1,1,1.0
E01001676,5,4,1.25
E01001677,5,5,1.0
E01001678,2,2,1.0
E01001679,1,1,1.0
E01001681,8,3,2.6666666666666665
E01001682,2,2,1.0
E01001683,6,3,2.0
E01001684,4,4,1.0
E01001685,4,4,1.0
E01001686,8,4,2.0
E01001688,5,5,1.0
E01001690,1,1,1.0
E01001692,1,1,1.0
E01001693,2,1,2.0
E01001694,3,3,1.0
E01001696,1,1,1.0
E01001697,1,1,1.0
E01001698,1,1,1.0
E01001700,1,1,1.0
E01001701,5,5,1.0
E01001702,2,2,1.0
E01001703,3,3,1.0
E01001704,4,4,1.0
E01001705,2,1,2.0
E01001708,7,4,1.75
E01001710,2,2,1.0
E01001711,2,2,1.0
E01001712,5,3,1.6666666666666667
E01020910,7,7,1.0
E01020911,1,1,1.0
E01020912,5,4,1.25
E01020913,7,5,1.4
E01020914,2,2,1.0
E01020915,2,2,1.0
E01020916,2,2,1.0
E01020917,1,1,1.0
E01020919,2,1,2.0
E01020920,3,3,1.0
E01020921,4,4,1.0
E01020922,5,3,1.6666666666666667
E01020923,3,3,1.0
E01020924,3,3,1.0
E01020925,2,1,2.0
E01020926,1,1,1.0
E01020927,4,3,1.3333333333333333
E01020928,2,2,1.0
E01020929,1,1,1.0
E01020930,1,1,1.0
E01020931,2,2,1.0
E01020932,2,2,1.0
E01020933,6,5,1.2
E01020934,1,1,1.0
E01020935,2,2,1.0
E01020936,3,3,1.0
E01020937,3,3,1.0
E01020938,2,2,1.0
E01020939,2,2,1.0
E01020940,2,2,1.0
E01020941,3,1,3.0
E01020942,4,3,1.3333333333333333
E01020943,7,7,1.0
E01020944,1,1,1.0
E01020945,3,3,1.0
E01020946,3,3,1.0
E01020947,1,1,1.0
E01020948,1,1,1.0
E01020949,5,5,1.0
E01020950,4,3,1.3333333333333333
E01020951,5,4,1.25
E01020952,4,3,1.3333333333333333
E01020953,2,1,2.0
E01020954,2,2,1.0
E01020955,3,2,1.5
E01020956,1,1,1.0
E01020957,4,3,1.3333333333333333
E01020959,1,1,1.0
E01020961,2,2,1.0
E01020962,1,1,1.0
E01020963,6,5,1.2
E01020965,2,2,1.0
E01020966,2,2,1.0
E01020967,4,4,1.0
E01020968,2,2,1.0
E01020969,2,2,1.0
E01020970,2,2,1.0
E01020972,1,1,1.0
E01020974,1,1,1.0
E01020975,3,3,1.0
E01020976,5,5,1.0
E01020977,3,3,1.0
E01020978,3,3,1.0
E01020979,7,5,1.4
E01020980,5,5,1.0
E01020981,1,1,1.0
E01020982,1,1,1.0
E01020985,3,3,1.0
E01020986,5,5,1.0
