lsoa,reports,unique_users,average_per_user
E01000194,125,74,1.6891891891891893
E01000195,57,32,1.78125
E01000196,177,111,1.5945945945945945
E01000197,151,75,2.013333333333333
E01000198,124,84,1.4761904761904763
E01000199,79,45,1.7555555555555555
E01000200,65,51,1.2745098039215685
E01000201,79,56,1.4107142857142858
E01000202,82,53,1.5471698113207548
E01000203,96,59,1.6271186440677967
E01000204,97,63,1.5396825396825398
E01000205,145,85,1.7058823529411764
E01000206,157,96,1.6354166666666667
E01000207,111,88,1.2613636363636365
E01000208,90,67,1.3432835820895523
E01000209,97,66,1.4696969696969697
E01000210,129,83,1.5542168674698795
E01000211,127,97,1.309278350515464
E01000212,95,68,1.3970588235294117
E01000213,74,58,1.2758620689655173
E01000214,115,70,1.6428571428571428
E01000215,66,43,1.5348837209302326
E01000216,54,45,1.2
E01000217,79,45,1.7555555555555555
E01000218,53,40,1.325
E01000219,92,58,1.5862068965517242
E01000220,58,41,1.4146341463414633
E01000221,126,69,1.826086956521739
E01000222,93,53,1.7547169811320755
E01000223,175,71,2.464788732394366
E01000224,146,59,2.4745762711864407
E01000225,61,48,1.2708333333333333
E01000226,64,40,1.6
E01000227,69,59,1.1694915254237288
E01000228,179,99,1.8080808080808082
E01000229,142,53,2.6792452830188678
E01000230,65,50,1.3
E01000231,103,69,1.4927536231884058
E01000232,119,74,1.6081081081081081
E01000233,108,74,1.4594594594594594
E01000234,93,62,1.5
E01000235,100,72,1.3888888888888888
E01000236,68,49,1.3877551020408163
E01000237,215,74,2.9054054054054053
E01000238,147,85,1.7294117647058824
E01000239,114,74,1.5405405405405406
E01000240,69,55,1.2545454545454546
E01000241,104,63,1.6507936507936507
E01000242,84,53,1.5849056603773586
E01000243,142,85,1.6705882352941177
E01000244,100,66,1.5151515151515151
E01000245,88,60,1.4666666666666666
E01000246,153,85,1.8
E01000247,81,56,1.4464285714285714
E01000248,169,95,1.7789473684210526
E01000249,123,89,1.3820224719101124
E01000250,208,129,1.6124031007751938
E01000251,83,64,1.296875
E01000252,80,52,1.5384615384615385
E01000253,126,80,1.575
E01000254,88,61,1.4426229508196722
E01000255,68,58,1.1724137931034482
E01000256,125,75,1.6666666666666667
E01000257,110,82,1.3414634146341464
E01000258,156,105,1.4857142857142858
E01000259,145,92,1.576086956521739
E01000260,161,100,1.61
E01000261,100,69,1.4492753623188406
E01000262,200,130,1.5384615384615385
E01000263,113,74,1.527027027027027
E01000264,148,99,1.494949494949495
E01000265,101,64,1.578125
E01000266,102,69,1.4782608695652173
E01000267,95,63,1.507936507936508
E01000268,133,81,1.6419753086419753
E01000269,88,65,1.353846153846154
E01000270,70,51,1.3725490196078431
E01000271,119,62,1.9193548387096775
E01000272,100,59,1.694915254237288
E01000273,147,78,1.8846153846153846
E01000274,85,51,1.6666666666666667
E01000275,77,64,1.203125
E01000276,53,42,1.2619047619047619
E01000277,65,36,1.8055555555555556
E01000278,61,40,1.525
E01000279,125,88,1.4204545454545454
E01000280,114,75,1.52
E01000281,109,54,2.0185185185185186
E01000282,104,58,1.793103448275862
E01000283,88,66,1.3333333333333333
E01000284,107,64,1.671875
E01000285,55,44,1.25
E01000286,85,47,1.8085106382978724
E01000287,59,37,1.5945945945945945
E01000288,123,78,1.5769230769230769
E01000289,68,35,1.9428571428571428
E01000290,77,57,1.3508771929824561
E01000291,43,35,1.2285714285714286
E01000292,139,75,1.8533333333333333
E01000293,156,110,1.4181818181818182
E01000294,110,59,1.8644067796610169
E01000295,50,42,1.1904761904761905
E01000296,156,90,1.7333333333333334
E01000297,70,47,1.4893617021276595
E01000298,142,99,1.4343434343434343
E01000299,85,47,1.8085106382978724
E01000300,74,58,1.2758620689655173
E01000301,123,94,1.3085106382978724
E01000302,111,72,1.5416666666666667
E01000303,120,69,1.7391304347826086
E01000304,73,55,1.3272727272727274
E01000305,170,52,3.269230769230769
E01000306,624,43,14.511627906976743
E01000307,324,76,4.2631578947368425
E01000308,34,25,1.36
E01000309,222,63,3.5238095238095237
E01000310,231,62,3.725806451612903
E01000311,90,65,1.3846153846153846
E01000312,48,28,1.7142857142857142
E01000313,120,46,2.608695652173913
E01000314,308,74,4.162162162162162
E01000315,88,52,1.6923076923076923
E01000316,116,91,1.2747252747252746
E01000317,83,51,1.6274509803921569
E01000318,72,56,1.2857142857142858
E01000319,86,60,1.4333333333333333
E01000320,90,65,1.3846153846153846
E01000321,79,60,1.3166666666666667
E01000322,74,58,1.2758620689655173
E01000323,185,97,1.907216494845361
E01000324,68,51,1.3333333333333333
E01000325,90,76,1.1842105263157894
E01000326,93,73,1.273972602739726
E01000327,143,101,1.4158415841584158
E01000328,120,80,1.5
E01000329,104,74,1.4054054054054055
E01000330,124,84,1.4761904761904763
E01000331,108,70,1.542857142857143
E01000332,121,67,1.8059701492537314
E01000333,191,119,1.6050420168067228
E01000334,78,59,1.3220338983050848
E01000335,231,132,1.75
E01000336,116,82,1.4146341463414633
E01000337,97,67,1.4477611940298507
E01000338,110,79,1.3924050632911393
E01000339,90,62,1.4516129032258065
E01000340,52,41,1.2682926829268293
E01000341,68,54,1.2592592592592593
E01000342,78,59,1.3220338983050848
E01000343,120,86,1.3953488372093024
E01000344,96,62,1.5483870967741935
E01000345,102,72,1.4166666666666667
E01000346,111,84,1.3214285714285714
E01000347,90,66,1.3636363636363635
E01000348,81,62,1.3064516129032258
E01000349,78,57,1.368421052631579
E01000350,120,78,1.5384615384615385
E01000351,109,78,1.3974358974358974
E01000352,139,98,1.4183673469387754
E01000353,113,72,1.5694444444444444
E01000354,98,66,1.4848484848484849
E01000355,106,76,1.394736842105263
E01000356,129,79,1.6329113924050633
E01000357,72,61,1.180327868852459
E01000358,98,64,1.53125
E01000359,57,47,1.2127659574468086
E01000360,165,123,1.3414634146341464
E01000361,51,40,1.275
E01000362,121,86,1.4069767441860466
E01000363,110,80,1.375
E01000364,108,77,1.4025974025974026
E01000365,133,83,1.6024096385542168
E01000366,95,75,1.2666666666666666
E01000367,127,87,1.4597701149425288
E01000368,61,45,1.3555555555555556
E01000369,78,60,1.3
E01000370,104,80,1.3
E01000371,92,68,1.3529411764705883
E01000372,86,59,1.4576271186440677
E01000373,40,31,1.2903225806451613
E01000374,111,77,1.4415584415584415
E01000375,83,63,1.3174603174603174
E01000376,114,86,1.3255813953488371
E01000377,108,75,1.44
E01000378,227,157,1.4458598726114649
E01000379,109,72,1.5138888888888888
E01000380,84,62,1.3548387096774193
E01000381,167,100,1.67
E01000382,128,89,1.4382022471910112
E01000383,175,104,1.6826923076923077
E01000384,107,69,1.5507246376811594
E01000385,136,84,1.619047619047619
E01000386,137,97,1.4123711340206186
E01000387,94,64,1.46875
E01000388,113,79,1.4303797468354431
E01000389,105,89,1.1797752808988764
E01000390,127,98,1.2959183673469388
E01000391,114,84,1.3571428571428572
E01000392,91,68,1.338235294117647
E01000393,101,78,1.294871794871795
E01000394,79,57,1.3859649122807018
E01000395,113,64,1.765625
E01000396,87,64,1.359375
E01000398,57,47,1.2127659574468086
E01000399,93,52,1.7884615384615385
E01000400,74,64,1.15625
E01000401,156,89,1.752808988764045
E01000402,89,63,1.4126984126984128
E01000403,247,140,1.7642857142857142
E01000404,94,66,1.4242424242424243
E01000405,178,98,1.816326530612245
E01000406,161,109,1.4770642201834863
E01000407,98,62,1.5806451612903225
E01000408,226,138,1.6376811594202898
E01000409,47,41,1.146341463414634
E01000410,84,68,1.2352941176470589
E01000411,51,43,1.186046511627907
