lad,SHEF_B_CODE,reports,unique_users,average_per_user
E09000002,B1,3,3,1.0
E09000003,B1,14,13,1.0769230769230769
E09000004,B1,12,10,1.2
E09000005,B1,1,1,1.0
E09000006,B1,39,37,1.054054054054054
E09000008,B1,2,2,1.0
E09000010,B1,6,5,1.2
E09000011,B1,24,24,1.0
E09000012,B1,5,4,1.25
E09000014,B1,2,2,1.0
E09000015,B1,2,2,1.0
E09000017,B1,1,1,1.0
E09000018,B1,13,10,1.3
E09000019,B1,1,1,1.0
E09000020,B1,2,2,1.0
E09000022,B1,8,8,1.0
E09000023,B1,42,35,1.2
E09000026,B1,1,1,1.0
E09000027,B1,1,1,1.0
E09000028,B1,11,3,3.6666666666666665
E09000029,B1,1,1,1.0
E09000031,B1,1,1,1.0
E09000032,B1,3,3,1.0
E09000033,B1,2,2,1.0
N09000001,B1,1,1,1.0
S12000008,B1,1,1,1.0
S12000017,B1,2,1,2.0
S12000019,B1,1,1,1.0
S12000028,B1,1,1,1.0
S12000033,B1,1,1,1.0
S12000036,B1,5,4,1.25
S12000039,B1,1,1,1.0
S12000040,B1,2,2,1.0
S12000041,B1,1,1,1.0
S12000049,B1,1,1,1.0
W06000008,B1,1,1,1.0
W06000009,B1,1,1,1.0
W06000010,B1,1,1,1.0
W06000011,B1,2,2,1.0
W06000013,B1,4,4,1.0
W06000014,B1,1,1,1.0
W06000019,B1,1,1,1.0
E06000031,B11,1,1,1.0
E06000060,B11,1,1,1.0
E07000065,B11,1,1,1.0
E07000152,B11,2,1,2.0
E07000180,B11,2,2,1.0
E06000021,B12,1,1,1.0
E06000031,B12,2,2,1.0
E06000034,B12,1,1,1.0
E06000046,B12,1,1,1.0
E06000049,B12,1,1,1.0
E06000054,B12,1,1,1.0
E07000139,B12,3,2,1.5
E07000141,B12,1,1,1.0
E07000177,B12,2,2,1.0
E07000179,B12,2,2,1.0
E07000180,B12,1,1,1.0
E07000181,B12,4,2,2.0
E07000220,B12,3,3,1.0
E07000222,B12,2,2,1.0
