period,LAD,SHEF_B,report_count,user_count,average
all time,E06000035,Pavement /Footway Defects,159,96,1.65625
all time,E06000035,Public Toilets,2,2,1.0
all time,E06000035,Road Safety,42,29,1.4482758620689655
all time,E06000035,Road Surface Defects,243,111,2.189189189189189
all time,E06000035,Rubbish,543,230,2.360869565217391
all time,E06000035,Street Furniture,4,4,1.0
all time,E06000035,Street Lights,119,94,1.2659574468085106
all time,E06000036,Abandoned Vehicles,68,53,1.2830188679245282
all time,E06000036,Bus Stops Damage,7,6,1.1666666666666667
all time,E06000036,Dog Fouling,38,19,2.0
all time,E06000036,Highways Enquiries,230,122,1.8852459016393444
all time,E06000036,Incivilities,89,31,2.870967741935484
all time,E06000036,Open Spaces/Parks,67,42,1.5952380952380953
all time,E06000036,Other,165,114,1.4473684210526316
all time,E06000036,Overgrown/Fallen Veg/Trees,50,41,1.2195121951219512
all time,E06000036,Parking,121,89,1.3595505617977528
all time,E06000036,Pavement /Footway Defects,157,96,1.6354166666666667
all time,E06000036,Road Safety,105,60,1.75
all time,E06000036,Road Surface Defects,197,129,1.5271317829457365
all time,E06000036,Rubbish,282,126,2.238095238095238
all time,E06000036,Street Furniture,16,13,1.2307692307692308
all time,E06000036,Street Lights,318,185,1.718918918918919
all time,E06000037,,114,67,1.7014925373134329
all time,E06000037,Abandoned Vehicles,6,6,1.0
all time,E06000037,Bin Replacement,12,5,2.4
all time,E06000037,Dangerous Building/Structure,1,1,1.0
all time,E06000037,Dog Fouling,5,5,1.0
all time,E06000037,Drainage,86,63,1.3650793650793651
all time,E06000037,Gritting,2,2,1.0
all time,E06000037,Grounds Maintenance,1,1,1.0
all time,E06000037,Highways Enquiries,50,44,1.1363636363636365
all time,E06000037,Incivilities,14,10,1.4
all time,E06000037,Open Spaces/Parks,13,11,1.1818181818181819
all time,E06000037,Other,43,36,1.1944444444444444
all time,E06000037,Overgrown/Fallen Veg/Trees,61,37,1.6486486486486487
all time,E06000037,Parking,17,17,1.0
all time,E06000037,Pavement /Footway Defects,42,32,1.3125
all time,E06000037,Right of Way,389,148,2.6283783783783785
all time,E06000037,Road Safety,108,73,1.4794520547945205
all time,E06000037,Road Surface Defects,1038,436,2.3807339449541285
all time,E06000037,Rubbish,94,60,1.5666666666666667
all time,E06000037,Street Furniture,3,3,1.0
all time,E06000037,Street Lights,130,88,1.4772727272727273
all time,E06000037,Utility Works,9,8,1.125
all time,E06000038,Abandoned Vehicles,126,99,1.2727272727272727
all time,E06000038,Bus Stops Damage,45,27,1.6666666666666667
all time,E06000038,Dog Fouling,87,52,1.6730769230769231
all time,E06000038,Highways Enquiries,500,255,1.9607843137254901
all time,E06000038,Incivilities,202,61,3.3114754098360657
all time,E06000038,Open Spaces/Parks,96,54,1.7777777777777777
all time,E06000038,Other,365,225,1.6222222222222222
all time,E06000038,Overgrown/Fallen Veg/Trees,145,67,2.1641791044776117
all time,E06000038,Parking,218,155,1.4064516129032258
all time,E06000038,Pavement /Footway Defects,458,206,2.2233009708737863
all time,E06000038,Public Toilets,1,1,1.0
all time,E06000038,Road Safety,454,178,2.550561797752809
all time,E06000038,Road Surface Defects,887,375,2.3653333333333335
all time,E06000038,Rubbish,846,295,2.8677966101694916
all time,E06000038,Street Furniture,30,22,1.3636363636363635
all time,E06000038,Street Lights,463,232,1.9956896551724137
all time,E06000039,Abandoned Vehicles,66,56,1.1785714285714286
all time,E06000039,Bus Stops Damage,12,6,2.0
all time,E06000039,Dog Fouling,72,29,2.4827586206896552
all time,E06000039,Highways Enquiries,121,81,1.4938271604938271
all time,E06000039,Incivilities,33,15,2.2
all time,E06000039,Open Spaces/Parks,40,23,1.7391304347826086
all time,E06000039,Other,162,102,1.588235294117647
all time,E06000039,Overgrown/Fallen Veg/Trees,18,14,1.2857142857142858
all time,E06000039,Parking,102,76,1.3421052631578947
all time,E06000039,Pavement /Footway Defects,110,72,1.5277777777777777
all time,E06000039,Road Safety,61,40,1.525
all time,E06000039,Road Surface Defects,169,92,1.8369565217391304
all time,E06000039,Rubbish,379,138,2.746376811594203
all time,E06000039,Street Furniture,2,2,1.0
all time,E06000039,Street Lights,146,69,2.1159420289855073
all time,E06000040,Abandoned Vehicles,81,68,1.1911764705882353
all time,E06000040,Bus Stops Damage,3,3,1.0
all time,E06000040,Dog Fouling,70,61,1.1475409836065573
all time,E06000040,Highways Enquiries,344,191,1.801047120418848
all time,E06000040,Incivilities,30,22,1.3636363636363635
all time,E06000040,Open Spaces/Parks,42,34,1.2352941176470589
all time,E06000040,Other,183,147,1.2448979591836735
all time,E06000040,Overgrown/Fallen Veg/Trees,85,74,1.1486486486486487
all time,E06000040,Parking,168,120,1.4
all time,E06000040,Pavement /Footway Defects,295,144,2.048611111111111
all time,E06000040,Public Toilets,6,4,1.5
all time,E06000040,Road Safety,182,92,1.9782608695652173
all time,E06000040,Road Surface Defects,567,275,2.061818181818182
all time,E06000040,Rubbish,268,160,1.675
all time,E06000040,Street Furniture,11,11,1.0
all time,E06000040,Street Lights,470,261,1.8007662835249043
all time,E06000041,Abandoned Vehicles,74,66,1.121212121212121
all time,E06000041,Bus Stops Damage,14,13,1.0769230769230769
all time,E06000041,Dog Fouling,30,28,1.0714285714285714
all time,E06000041,Highways Enquiries,606,291,2.082474226804124
all time,E06000041,Incivilities,137,65,2.1076923076923078
all time,E06000041,Open Spaces/Parks,190,91,2.087912087912088
all time,E06000041,Other,342,233,1.4678111587982832
all time,E06000041,Overgrown/Fallen Veg/Trees,130,89,1.4606741573033708
all time,E06000041,Parking,129,108,1.1944444444444444
all time,E06000041,Pavement /Footway Defects,432,233,1.854077253218884
all time,E06000041,Public Toilets,1,1,1.0
all time,E06000041,Road Safety,240,113,2.1238938053097347
all time,E06000041,Road Surface Defects,819,329,2.4893617021276597
all time,E06000041,Rubbish,826,261,3.164750957854406
all time,E06000041,Street Furniture,39,33,1.1818181818181819
all time,E06000041,Street Lights,439,243,1.8065843621399178
all time,E06000042,Abandoned Vehicles,69,54,1.2777777777777777
all time,E06000042,Bus Stops Damage,10,10,1.0
all time,E06000042,Dog Fouling,32,32,1.0
all time,E06000042,Highways Enquiries,338,171,1.976608187134503
all time,E06000042,Incivilities,113,19,5.947368421052632
all time,E06000042,Open Spaces/Parks,57,47,1.2127659574468086
all time,E06000042,Other,153,128,1.1953125
all time,E06000042,Overgrown/Fallen Veg/Trees,63,52,1.2115384615384615
all time,E06000042,Parking,114,98,1.163265306122449
all time,E06000042,Pavement /Footway Defects,207,118,1.7542372881355932
all time,E06000042,Road Safety,174,64,2.71875
all time,E06000042,Road Surface Defects,828,376,2.202127659574468
all time,E06000042,Rubbish,293,135,2.1703703703703705
all time,E06000042,Street Furniture,31,15,2.066666666666667
all time,E06000042,Street Lights,454,206,2.203883495145631
all time,E06000043,Abandoned Vehicles,191,151,1.2649006622516556
all time,E06000043,Drainage,167,58,2.8793103448275863
all time,E06000043,Incivilities,245,75,3.2666666666666666
all time,E06000043,Other,757,502,1.5079681274900398
all time,E06000043,Overgrown/Fallen Veg/Trees,145,103,1.4077669902912622
all time,E06000043,Parking,235,173,1.3583815028901733
all time,E06000043,Public Toilets,5,4,1.25
all time,E06000043,Road Safety,338,106,3.188679245283019
all time,E06000043,Road Surface Defects,629,345,1.8231884057971015
all time,E06000043,Rubbish,971,362,2.68232044198895
all time,E06000043,Street Lights,454,256,1.7734375
all time,E06000044,Abandoned Vehicles,91,79,1.1518987341772151
all time,E06000044,Bus Stops Damage,14,9,1.5555555555555556
all time,E06000044,Dog Fouling,50,39,1.2820512820512822
all time,E06000044,Highways Enquiries,128,91,1.4065934065934067
all time,E06000044,Incivilities,18,16,1.125
all time,E06000044,Open Spaces/Parks,15,14,1.0714285714285714
all time,E06000044,Other,196,154,1.2727272727272727
all time,E06000044,Overgrown/Fallen Veg/Trees,36,27,1.3333333333333333
all time,E06000044,Parking,197,161,1.2236024844720497
all time,E06000044,Pavement /Footway Defects,109,72,1.5138888888888888
all time,E06000044,Public Toilets,1,1,1.0
all time,E06000044,Road Safety,59,46,1.2826086956521738
all time,E06000044,Road Surface Defects,66,52,1.2692307692307692
all time,E06000044,Rubbish,208,148,1.4054054054054055
all time,E06000044,Street Furniture,4,4,1.0
all time,E06000044,Street Lights,81,57,1.4210526315789473
all time,E06000045,Abandoned Vehicles,55,50,1.1
all time,E06000045,Bus Stops Damage,96,49,1.9591836734693877
all time,E06000045,Dog Fouling,293,191,1.5340314136125655
all time,E06000045,Environmental Health,53,44,1.2045454545454546
all time,E06000045,Highways Enquiries,1425,783,1.8199233716475096
all time,E06000045,Incivilities,777,253,3.0711462450592886
all time,E06000045,Open Spaces/Parks,9,9,1.0
all time,E06000045,Other,1065,657,1.6210045662100456
all time,E06000045,Overgrown/Fallen Veg/Trees,766,430,1.7813953488372094
all time,E06000045,Parking,680,425,1.6
all time,E06000045,Pavement /Footway Defects,988,617,1.6012965964343597
all time,E06000045,Right of Way,64,40,1.6
all time,E06000045,Road Safety,421,270,1.5592592592592593
all time,E06000045,Road Surface Defects,2643,1217,2.171733771569433
all time,E06000045,Rubbish,3091,1143,2.704286964129484
all time,E06000045,Street Furniture,161,87,1.8505747126436782
all time,E06000045,Street Lights,191,125,1.528
all time,E06000046,Abandoned Vehicles,54,41,1.3170731707317074
all time,E06000046,Bus Stops Damage,5,5,1.0
all time,E06000046,Dog Fouling,35,31,1.1290322580645162
