lad,SHEF_B_CODE,reports,unique_users,average_per_user
E07000089,B18,24,24,1.0
E07000177,B18,17,16,1.0625
E07000178,B18,25,25,1.0
E07000179,B18,10,10,1.0
E07000180,B18,7,7,1.0
E07000181,B18,15,11,1.3636363636363635
E07000219,B18,1,1,1.0
E07000220,B18,2,2,1.0
E07000221,B18,2,2,1.0
E07000222,B18,2,2,1.0
E06000038,B19,1,1,1.0
E06000045,B19,128,115,1.1130434782608696
E07000061,B19,31,27,1.1481481481481481
E07000062,B19,21,19,1.105263157894737
E07000063,B19,41,40,1.025
E07000064,B19,24,22,1.0909090909090908
E07000065,B19,46,35,1.3142857142857143
E07000089,B19,112,101,1.108910891089109
E07000177,B19,66,49,1.346938775510204
E07000178,B19,93,78,1.1923076923076923
E07000179,B19,107,89,1.202247191011236
E07000180,B19,104,93,1.118279569892473
E07000181,B19,68,58,1.1724137931034482
E07000194,B19,3,3,1.0
E07000243,B19,25,21,1.1904761904761905
E09000003,B19,972,832,1.1682692307692308
E09000006,B19,897,695,1.2906474820143885
E07000063,B20,1,1,1.0
E07000064,B20,1,1,1.0
E07000065,B20,3,3,1.0
E07000177,B20,3,3,1.0
E07000178,B20,4,4,1.0
E07000179,B20,6,6,1.0
E07000180,B20,7,7,1.0
E07000181,B20,8,7,1.1428571428571428
E07000179,B21,1,1,1.0
E09000006,B21,17,17,1.0
E06000045,B23,7,6,1.1666666666666667
E07000061,B23,10,8,1.25
E07000062,B23,13,13,1.0
E07000063,B23,27,24,1.125
E07000064,B23,27,21,1.2857142857142858
E07000065,B23,52,37,1.4054054054054055
E07000177,B23,27,21,1.2857142857142858
E07000178,B23,7,7,1.0
E07000179,B23,52,40,1.3
E07000180,B23,35,32,1.09375
E07000181,B23,14,10,1.4
E07000218,B23,6,6,1.0
E07000219,B23,6,6,1.0
E07000220,B23,17,17,1.0
E07000221,B23,34,32,1.0625
E07000222,B23,21,21,1.0
E09000006,B23,387,326,1.187116564417178
E06000045,B24,46,44,1.0454545454545454
E07000061,B24,20,15,1.3333333333333333
E07000062,B24,15,15,1.0
E07000063,B24,23,20,1.15
E07000064,B24,20,18,1.1111111111111112
E07000065,B24,63,47,1.3404255319148937
E07000089,B24,14,13,1.0769230769230769
E07000177,B24,82,68,1.2058823529411764
E07000178,B24,58,54,1.0740740740740742
E07000179,B24,83,68,1.2205882352941178
E07000180,B24,84,64,1.3125
E07000181,B24,55,44,1.25
E07000218,B24,4,4,1.0
