period,LAD,report_count,user_count,average
2012-7,E07000030,1,1,1.0
2012-7,E07000031,11,7,1.5714285714285714
2012-7,E07000032,8,8,1.0
2012-7,E07000033,4,4,1.0
2012-7,E07000034,12,10,1.2
2012-7,E07000035,14,9,1.5555555555555556
2012-7,E07000036,5,4,1.25
2012-7,E07000037,2,2,1.0
2012-7,E07000038,13,9,1.4444444444444444
2012-7,E07000039,13,7,1.8571428571428572
2012-7,E07000040,14,11,1.2727272727272727
2012-7,E07000041,5,5,1.0
2012-7,E07000042,10,10,1.0
2012-7,E07000043,21,19,1.105263157894737
2012-7,E07000044,10,6,1.6666666666666667
2012-7,E07000045,16,13,1.2307692307692308
2012-7,E07000046,28,9,3.111111111111111
2012-7,E07000047,4,3,1.3333333333333333
2012-7,E07000061,3,2,1.5
2012-7,E07000062,7,4,1.75
2012-7,E07000063,3,3,1.0
2012-7,E07000064,8,7,1.1428571428571428
2012-7,E07000065,18,14,1.2857142857142858
2012-7,E07000066,17,14,1.2142857142857142
2012-7,E07000067,2,2,1.0
2012-7,E07000068,14,6,2.3333333333333335
2012-7,E07000069,6,6,1.0
2012-7,E07000070,20,12,1.6666666666666667
2012-7,E07000071,32,15,2.1333333333333333
2012-7,E07000072,23,18,1.2777777777777777
2012-7,E07000073,6,4,1.5
2012-7,E07000074,1,1,1.0
2012-7,E07000075,8,6,1.3333333333333333
2012-7,E07000076,10,7,1.4285714285714286
2012-7,E07000077,13,11,1.1818181818181819
2012-7,E07000078,41,26,1.5769230769230769
2012-7,E07000079,7,7,1.0
2012-7,E07000080,3,2,1.5
2012-7,E07000081,11,8,1.375
2012-7,E07000082,25,17,1.4705882352941178
2012-7,E07000083,10,10,1.0
2012-7,E07000084,25,17,1.4705882352941178
2012-7,E07000085,12,11,1.0909090909090908
2012-7,E07000086,9,7,1.2857142857142858
2012-7,E07000087,10,8,1.25
2012-7,E07000088,1,1,1.0
2012-7,E07000089,15,11,1.3636363636363635
2012-7,E07000090,8,7,1.1428571428571428
2012-7,E07000091,29,19,1.5263157894736843
2012-7,E07000092,8,4,2.0
2012-7,E07000093,22,16,1.375
2012-7,E07000094,35,25,1.4
2012-7,E07000095,4,4,1.0
2012-7,E07000096,46,32,1.4375
2012-7,E07000098,20,16,1.25
2012-7,E07000099,18,10,1.8
2012-7,E07000102,13,10,1.3
2012-7,E07000103,22,12,1.8333333333333333
2012-7,E07000105,10,9,1.1111111111111112
2012-7,E07000106,28,17,1.6470588235294117
2012-7,E07000107,10,6,1.6666666666666667
2012-7,E07000108,2,2,1.0
2012-7,E07000109,4,3,1.3333333333333333
2012-7,E07000110,9,9,1.0
2012-7,E07000111,1,1,1.0
2012-7,E07000112,6,6,1.0
2012-7,E07000113,6,5,1.2
2012-7,E07000114,11,9,1.2222222222222223
2012-7,E07000115,12,9,1.3333333333333333
