lad,reports,unique_users,average_per_user
E07000210,11,9,1.2222222222222223
E07000211,14,11,1.2727272727272727
E07000212,4,3,1.3333333333333333
E07000213,6,5,1.2
E07000214,1,1,1.0
E07000215,12,9,1.3333333333333333
E07000216,7,7,1.0
E07000217,2,2,1.0
E07000218,2,2,1.0
E07000220,1,1,1.0
E07000221,1,1,1.0
E07000223,5,2,2.5
E07000224,8,8,1.0
E07000225,6,6,1.0
E07000226,5,4,1.25
E07000227,5,5,1.0
E07000228,20,11,1.8181818181818181
E07000229,1,1,1.0
E07000234,7,3,2.3333333333333335
E07000235,2,1,2.0
E07000236,9,9,1.0
E07000237,2,2,1.0
E07000238,12,6,2.0
E07000239,12,6,2.0
E07000240,25,13,1.9230769230769231
E07000241,8,7,1.1428571428571428
E07000242,14,10,1.4
E07000243,9,8,1.125
E07000244,10,6,1.6666666666666667
E07000245,12,7,1.7142857142857142
E07000246,7,3,2.3333333333333335
E08000001,6,5,1.2
E08000002,5,4,1.25
E08000003,34,18,1.8888888888888888
E08000004,4,3,1.3333333333333333
E08000005,10,8,1.25
E08000006,12,9,1.3333333333333333
E08000007,22,18,1.2222222222222223
E08000008,5,5,1.0
E08000009,8,8,1.0
E08000010,10,8,1.25
E08000011,5,3,1.6666666666666667
E08000012,24,19,1.263157894736842
E08000014,8,8,1.0
E08000015,15,14,1.0714285714285714
E08000016,8,8,1.0
E08000017,23,14,1.6428571428571428
E08000018,17,11,1.5454545454545454
E08000019,50,40,1.25
E08000021,11,9,1.2222222222222223
E08000022,7,7,1.0
E08000024,7,7,1.0
E08000025,127,59,2.152542372881356
E08000026,3,2,1.5
E08000027,28,23,1.2173913043478262
E08000028,18,16,1.125
E08000029,13,11,1.1818181818181819
E08000030,29,17,1.7058823529411764
E08000031,16,10,1.6
E08000032,46,27,1.7037037037037037
E08000033,16,9,1.7777777777777777
E08000034,13,13,1.0
E08000035,49,33,1.4848484848484849
E08000036,6,5,1.2
E08000037,4,3,1.3333333333333333
E09000001,5,5,1.0
E09000002,5,3,1.6666666666666667
E09000003,26,21,1.2380952380952381
E09000004,5,5,1.0
E09000005,33,16,2.0625
E09000006,18,15,1.2
E09000007,16,14,1.1428571428571428
E09000008,12,11,1.0909090909090908
E09000009,16,14,1.1428571428571428
E09000010,5,5,1.0
E09000011,7,7,1.0
E09000012,9,7,1.2857142857142858
E09000013,6,6,1.0
E09000014,17,15,1.1333333333333333
E09000015,11,9,1.2222222222222223
E09000016,3,3,1.0
E09000017,10,8,1.25
E09000018,19,15,1.2666666666666666
E09000019,20,16,1.25
E09000020,5,5,1.0
E09000021,6,4,1.5
E09000022,28,18,1.5555555555555556
E09000023,20,13,1.5384615384615385
E09000024,16,13,1.2307692307692308
E09000025,13,9,1.4444444444444444
E09000026,9,7,1.2857142857142858
E09000027,9,7,1.2857142857142858
E09000028,11,11,1.0
E09000029,2,2,1.0
E09000030,20,16,1.25
E09000031,19,13,1.4615384615384615
E09000032,34,24,1.4166666666666667
E09000033,18,12,1.5
S12000005,1,1,1.0
S12000006,6,3,2.0
S12000008,5,3,1.6666666666666667
S12000010,6,3,2.0
S12000011,6,6,1.0
S12000014,76,56,1.3571428571428572
S12000017,9,5,1.8
S12000018,1,1,1.0
S12000019,9,8,1.125
S12000020,1,1,1.0
S12000021,8,7,1.1428571428571428
S12000026,4,4,1.0
S12000028,13,5,2.6
S12000029,18,12,1.5
S12000030,1,1,1.0
S12000033,17,11,1.5454545454545454
S12000034,18,8,2.25
S12000035,11,5,2.2
S12000036,43,30,1.4333333333333333
S12000038,26,15,1.7333333333333334
S12000039,5,3,1.6666666666666667
S12000040,8,6,1.3333333333333333
S12000042,2,2,1.0
S12000045,9,8,1.125
S12000047,21,18,1.1666666666666667
S12000048,20,13,1.5384615384615385
S12000049,56,43,1.302325581395349
S12000050,9,9,1.0
W06000001,3,3,1.0
W06000002,2,2,1.0
W06000003,1,1,1.0
W06000004,2,2,1.0
W06000005,20,10,2.0
W06000006,6,4,1.5
W06000009,12,7,1.7142857142857142
W06000010,2,2,1.0
W06000011,17,9,1.8888888888888888
W06000012,2,2,1.0
W06000013,8,7,1.1428571428571428
W06000014,7,5,1.4
W06000015,49,35,1.4
W06000016,4,4,1.0
W06000018,7,4,1.75
W06000019,1,1,1.0
W06000020,7,5,1.4
W06000021,16,12,1.3333333333333333
W06000022,12,4,3.0
W06000023,3,2,1.5
W06000024,2,2,1.0
