lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000816,B1,5,4,1.25
E01000818,B1,8,7,1.1428571428571428
E01000819,B1,5,3,1.6666666666666667
E01000820,B1,7,6,1.1666666666666667
E01000822,B1,6,5,1.2
E01000823,B1,6,6,1.0
E01000824,B1,2,2,1.0
E01000825,B1,5,5,1.0
E01000826,B1,3,3,1.0
E01000827,B1,5,5,1.0
E01000828,B1,2,2,1.0
E01000829,B1,2,2,1.0
E01000830,B1,3,3,1.0
E01000831,B1,6,6,1.0
E01000832,B1,9,8,1.125
E01000833,B1,5,5,1.0
E01000835,B1,7,6,1.1666666666666667
E01000836,B1,4,4,1.0
E01000838,B1,6,6,1.0
E01000839,B1,3,3,1.0
E01000840,B1,1,1,1.0
E01000841,B1,10,10,1.0
E01001571,B1,11,11,1.0
E01001572,B1,7,4,1.75
E01001573,B1,10,7,1.4285714285714286
E01001574,B1,4,4,1.0
E01001575,B1,5,4,1.25
E01001576,B1,6,5,1.2
E01001577,B1,7,7,1.0
E01001578,B1,6,6,1.0
E01001579,B1,3,3,1.0
E01001580,B1,4,4,1.0
E01001581,B1,4,3,1.3333333333333333
E01001582,B1,8,8,1.0
E01001583,B1,12,11,1.0909090909090908
E01001584,B1,3,3,1.0
E01001585,B1,2,2,1.0
E01001586,B1,1,1,1.0
E01001587,B1,7,7,1.0
E01001588,B1,6,6,1.0
E01001589,B1,4,4,1.0
E01001590,B1,1,1,1.0
E01001591,B1,2,2,1.0
E01001592,B1,5,5,1.0
E01001593,B1,6,6,1.0
E01001594,B1,10,8,1.25
E01001595,B1,9,5,1.8
E01001596,B1,2,2,1.0
E01001597,B1,7,6,1.1666666666666667
E01001599,B1,5,4,1.25
E01001600,B1,5,3,1.6666666666666667
E01001601,B1,2,2,1.0
E01001602,B1,5,3,1.6666666666666667
E01001603,B1,2,2,1.0
E01001604,B1,3,3,1.0
E01001605,B1,7,6,1.1666666666666667
E01001606,B1,2,2,1.0
E01001607,B1,1,1,1.0
E01001608,B1,4,4,1.0
E01001609,B1,4,4,1.0
E01001610,B1,7,6,1.1666666666666667
E01001611,B1,3,3,1.0
E01001613,B1,3,3,1.0
E01001614,B1,2,2,1.0
E01001615,B1,2,2,1.0
E01001617,B1,9,8,1.125
E01001618,B1,4,3,1.3333333333333333
E01001619,B1,9,5,1.8
E01001620,B1,5,5,1.0
E01001621,B1,5,5,1.0
E01001623,B1,5,5,1.0
E01001624,B1,3,3,1.0
E01001625,B1,6,6,1.0
E01001629,B1,4,4,1.0
E01001631,B1,3,3,1.0
E01001632,B1,5,5,1.0
E01001633,B1,3,2,1.5
E01001634,B1,9,8,1.125
E01001635,B1,10,5,2.0
E01001636,B1,6,6,1.0
E01001637,B1,14,7,2.0
E01001638,B1,3,3,1.0
E01001640,B1,2,2,1.0
E01001641,B1,1,1,1.0
E01001642,B1,2,2,1.0
