lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01017194,B24,1,1,1.0
E01017207,B24,1,1,1.0
E01017216,B24,1,1,1.0
E01017233,B24,1,1,1.0
E01017249,B24,1,1,1.0
E01017256,B24,1,1,1.0
E01029517,B24,1,1,1.0
E01000117,B25,2,1,2.0
E01000141,B25,1,1,1.0
E01000196,B25,1,1,1.0
E01000221,B25,1,1,1.0
E01000233,B25,2,2,1.0
E01000236,B25,1,1,1.0
E01000237,B25,1,1,1.0
E01000244,B25,1,1,1.0
E01000279,B25,2,2,1.0
E01000293,B25,1,1,1.0
E01000297,B25,1,1,1.0
E01000307,B25,1,1,1.0
E01000309,B25,1,1,1.0
E01000314,B25,1,1,1.0
E01000645,B25,1,1,1.0
E01000652,B25,1,1,1.0
E01000658,B25,1,1,1.0
E01000671,B25,1,1,1.0
E01000672,B25,1,1,1.0
E01000675,B25,1,1,1.0
E01000676,B25,2,2,1.0
E01000688,B25,1,1,1.0
E01000693,B25,5,5,1.0
E01000696,B25,1,1,1.0
E01000714,B25,1,1,1.0
E01000740,B25,1,1,1.0
E01000752,B25,1,1,1.0
E01000753,B25,1,1,1.0
E01000759,B25,1,1,1.0
E01000767,B25,1,1,1.0
E01000770,B25,2,1,2.0
E01000772,B25,1,1,1.0
E01000777,B25,1,1,1.0
E01000788,B25,2,1,2.0
E01000790,B25,5,3,1.6666666666666667
E01000795,B25,1,1,1.0
E01000805,B25,1,1,1.0
E01000807,B25,1,1,1.0
E01000813,B25,1,1,1.0
E01000819,B25,1,1,1.0
E01000825,B25,1,1,1.0
E01000832,B25,1,1,1.0
E01017136,B25,1,1,1.0
E01017152,B25,1,1,1.0
E01017167,B25,1,1,1.0
E01017171,B25,1,1,1.0
E01017172,B25,1,1,1.0
E01017207,B25,2,1,2.0
E01017214,B25,1,1,1.0
E01017226,B25,1,1,1.0
E01017231,B25,1,1,1.0
E01017236,B25,2,1,2.0
E01017239,B25,2,2,1.0
E01017248,B25,1,1,1.0
E01017251,B25,1,1,1.0
E01017253,B25,1,1,1.0
E01029479,B25,1,1,1.0
E01029521,B25,1,1,1.0
E01000115,B26,1,1,1.0
E01000117,B26,1,1,1.0
E01000125,B26,2,2,1.0
E01000126,B26,2,1,2.0
E01000127,B26,1,1,1.0
E01000129,B26,1,1,1.0
E01000131,B26,1,1,1.0
E01000132,B26,1,1,1.0
E01000133,B26,1,1,1.0
E01000136,B26,1,1,1.0
E01000139,B26,1,1,1.0
E01000150,B26,2,2,1.0
E01000154,B26,1,1,1.0
E01000155,B26,3,3,1.0
E01000157,B26,1,1,1.0
E01000160,B26,1,1,1.0
E01000165,B26,1,1,1.0
E01000171,B26,1,1,1.0
E01000173,B26,1,1,1.0
E01000174,B26,1,1,1.0
E01000181,B26,1,1,1.0
E01000191,B26,1,1,1.0
E01000192,B26,1,1,1.0
E01000193,B26,1,1,1.0
E01000194,B26,1,1,1.0
E01000195,B26,1,1,1.0
E01000196,B26,4,4,1.0
E01000201,B26,2,1,2.0
E01000203,B26,2,2,1.0
E01000204,B26,2,2,1.0
E01000207,B26,1,1,1.0
E01000211,B26,1,1,1.0
E01000214,B26,1,1,1.0
E01000219,B26,1,1,1.0
E01000222,B26,1,1,1.0
E01000224,B26,1,1,1.0
E01000231,B26,1,1,1.0
E01000232,B26,1,1,1.0
E01000234,B26,1,1,1.0
E01000237,B26,1,1,1.0
E01000238,B26,2,2,1.0
E01000239,B26,1,1,1.0
E01000241,B26,1,1,1.0
E01000257,B26,1,1,1.0
E01000258,B26,1,1,1.0
E01000260,B26,1,1,1.0
E01000262,B26,1,1,1.0
E01000264,B26,3,2,1.5
E01000268,B26,1,1,1.0
E01000271,B26,1,1,1.0
E01000273,B26,1,1,1.0
E01000286,B26,1,1,1.0
E01000298,B26,1,1,1.0
E01000299,B26,2,1,2.0
E01000305,B26,1,1,1.0
E01000306,B26,9,3,3.0
E01000307,B26,4,2,2.0
E01000309,B26,5,5,1.0
E01000310,B26,3,2,1.5
E01000313,B26,2,2,1.0
E01000314,B26,6,4,1.5
E01000315,B26,1,1,1.0
E01000316,B26,2,2,1.0
E01000318,B26,1,1,1.0
E01000321,B26,1,1,1.0
E01000323,B26,3,2,1.5
E01000513,B26,1,1,1.0
E01000645,B26,1,1,1.0
E01000647,B26,1,1,1.0
E01000648,B26,2,2,1.0
E01000655,B26,1,1,1.0
E01000656,B26,1,1,1.0
E01000657,B26,1,1,1.0
E01000667,B26,1,1,1.0
E01000671,B26,1,1,1.0
E01000676,B26,2,2,1.0
E01000678,B26,1,1,1.0
E01000682,B26,1,1,1.0
E01000683,B26,1,1,1.0
E01000684,B26,1,1,1.0
E01000685,B26,1,1,1.0
E01000686,B26,2,2,1.0
E01000687,B26,1,1,1.0
E01000692,B26,1,1,1.0
E01000693,B26,1,1,1.0
E01000695,B26,1,1,1.0
E01000696,B26,4,2,2.0
E01000697,B26,1,1,1.0
E01000699,B26,9,6,1.5
E01000700,B26,2,2,1.0
E01000701,B26,1,1,1.0
E01000703,B26,3,3,1.0
E01000704,B26,2,2,1.0
E01000706,B26,1,1,1.0
E01000709,B26,1,1,1.0
E01000710,B26,4,4,1.0
E01000712,B26,2,2,1.0
E01000714,B26,3,2,1.5
E01000715,B26,1,1,1.0
E01000717,B26,1,1,1.0
E01000719,B26,2,2,1.0
E01000720,B26,9,8,1.125
E01000724,B26,1,1,1.0
E01000725,B26,3,2,1.5
E01000726,B26,2,1,2.0
E01000727,B26,1,1,1.0
E01000728,B26,1,1,1.0
E01000732,B26,1,1,1.0
E01000733,B26,3,1,3.0
E01000738,B26,3,2,1.5
E01000740,B26,3,3,1.0
E01000741,B26,2,2,1.0
E01000742,B26,3,3,1.0
E01000743,B26,3,3,1.0
E01000745,B26,1,1,1.0
E01000746,B26,3,3,1.0
E01000747,B26,3,1,3.0
E01000749,B26,1,1,1.0
E01000752,B26,1,1,1.0
E01000754,B26,1,1,1.0
E01000756,B26,1,1,1.0
E01000757,B26,2,1,2.0
E01000759,B26,4,3,1.3333333333333333
E01000766,B26,1,1,1.0
E01000768,B26,2,2,1.0
E01000770,B26,4,3,1.3333333333333333
E01000771,B26,3,3,1.0
E01000772,B26,1,1,1.0
E01000775,B26,1,1,1.0
E01000779,B26,1,1,1.0
E01000783,B26,1,1,1.0
E01000784,B26,1,1,1.0
E01000785,B26,1,1,1.0
E01000786,B26,1,1,1.0
E01000787,B26,3,2,1.5
E01000788,B26,2,2,1.0
E01000789,B26,1,1,1.0
E01000790,B26,1,1,1.0
E01000793,B26,1,1,1.0
E01000795,B26,1,1,1.0
E01000796,B26,2,2,1.0
E01000798,B26,1,1,1.0
E01000800,B26,3,1,3.0
E01000802,B26,2,2,1.0
E01000803,B26,2,2,1.0
E01000805,B26,1,1,1.0
E01000806,B26,4,4,1.0
E01000812,B26,3,3,1.0
E01000814,B26,1,1,1.0
E01000815,B26,1,1,1.0
E01000822,B26,1,1,1.0
E01000823,B26,1,1,1.0
E01000824,B26,1,1,1.0
E01000827,B26,1,1,1.0
E01000831,B26,1,1,1.0
E01000836,B26,1,1,1.0
E01017137,B26,1,1,1.0
E01017138,B26,1,1,1.0
E01017156,B26,1,1,1.0
E01017186,B26,1,1,1.0
E01017187,B26,2,1,2.0
E01017192,B26,1,1,1.0
E01017193,B26,1,1,1.0
E01017194,B26,1,1,1.0
E01017206,B26,1,1,1.0
E01017211,B26,1,1,1.0
E01017213,B26,1,1,1.0
E01017214,B26,1,1,1.0
E01017219,B26,1,1,1.0
E01017235,B26,1,1,1.0
E01017242,B26,1,1,1.0
E01017245,B26,1,1,1.0
E01017250,B26,1,1,1.0
E01017276,B26,1,1,1.0
E01029481,B26,1,1,1.0
E01029505,B26,1,1,1.0
E01029516,B26,1,1,1.0
E01029517,B26,1,1,1.0
E01032568,B26,2,2,1.0
E01032738,B26,2,1,2.0
E01032748,B26,1,1,1.0
E01033572,B26,1,1,1.0
E01017279,B27,1,1,1.0
E01000116,B28,1,1,1.0
E01000124,B28,1,1,1.0
E01000139,B28,1,1,1.0
E01000189,B28,1,1,1.0
E01000194,B28,1,1,1.0
E01000241,B28,1,1,1.0
E01000242,B28,1,1,1.0
E01000256,B28,1,1,1.0
E01000279,B28,1,1,1.0
E01000301,B28,2,2,1.0
E01000307,B28,1,1,1.0
E01000314,B28,1,1,1.0
E01000648,B28,1,1,1.0
E01000649,B28,1,1,1.0
E01000650,B28,2,1,2.0
E01000662,B28,2,2,1.0
E01000663,B28,2,2,1.0
E01000664,B28,2,2,1.0
E01000666,B28,3,3,1.0
E01000668,B28,1,1,1.0
E01000670,B28,1,1,1.0
E01000672,B28,1,1,1.0
E01000675,B28,1,1,1.0
E01000679,B28,2,1,2.0
E01000680,B28,2,2,1.0
E01000685,B28,1,1,1.0
E01000686,B28,3,3,1.0
E01000692,B28,1,1,1.0
E01000693,B28,1,1,1.0
E01000694,B28,2,2,1.0
E01000697,B28,1,1,1.0
E01000700,B28,1,1,1.0
E01000702,B28,1,1,1.0
E01000713,B28,1,1,1.0
E01000714,B28,1,1,1.0
E01000716,B28,1,1,1.0
E01000719,B28,2,2,1.0
E01000722,B28,1,1,1.0
E01000726,B28,1,1,1.0
E01000744,B28,1,1,1.0
E01000750,B28,1,1,1.0
E01000752,B28,1,1,1.0
E01000753,B28,1,1,1.0
E01000755,B28,2,2,1.0
E01000758,B28,3,3,1.0
E01000764,B28,1,1,1.0
E01000766,B28,1,1,1.0
E01000767,B28,2,2,1.0
E01000769,B28,1,1,1.0
E01000770,B28,1,1,1.0
E01000772,B28,1,1,1.0
E01000782,B28,1,1,1.0
E01000789,B28,2,1,2.0
E01000791,B28,1,1,1.0
E01000793,B28,1,1,1.0
E01000794,B28,1,1,1.0
E01000799,B28,1,1,1.0
E01000804,B28,1,1,1.0
E01000813,B28,1,1,1.0
E01000818,B28,1,1,1.0
E01000819,B28,1,1,1.0
E01000827,B28,1,1,1.0
E01000829,B28,3,1,3.0
E01000832,B28,1,1,1.0
E01000833,B28,1,1,1.0
E01000836,B28,2,2,1.0
E01000837,B28,2,2,1.0
E01000840,B28,1,1,1.0
E01029519,B28,1,1,1.0
E01000198,B6,1,1,1.0
E01000237,B6,1,1,1.0
E01000285,B6,1,1,1.0
E01000306,B6,1,1,1.0
E01000309,B6,1,1,1.0
E01000310,B6,1,1,1.0
E01017153,B6,1,1,1.0
E01017160,B6,1,1,1.0
E01017168,B6,1,1,1.0
E01017248,B6,1,1,1.0
E01029494,B6,1,1,1.0
E01029497,B6,1,1,1.0
E01029503,B6,2,1,2.0
E01029520,B6,1,1,1.0
E01000118,B7,1,1,1.0
E01000177,B7,1,1,1.0
E01000187,B7,1,1,1.0
E01000194,B7,1,1,1.0
E01000196,B7,1,1,1.0
E01000215,B7,1,1,1.0
E01000264,B7,1,1,1.0
E01000295,B7,2,2,1.0
E01000322,B7,1,1,1.0
E01000679,B7,1,1,1.0
E01000712,B7,1,1,1.0
E01000714,B7,1,1,1.0
E01000715,B7,1,1,1.0
E01000728,B7,1,1,1.0
E01000740,B7,1,1,1.0
E01000744,B7,1,1,1.0
E01000771,B7,1,1,1.0
E01000782,B7,1,1,1.0
E01000823,B7,1,1,1.0
E01000827,B7,1,1,1.0
E01000828,B7,1,1,1.0
E01029505,B7,1,1,1.0
E01000646,B8,1,1,1.0
E01000665,B8,1,1,1.0
E01000670,B8,1,1,1.0
E01000687,B8,1,1,1.0
E01000694,B8,1,1,1.0
E01000720,B8,1,1,1.0
E01000740,B8,1,1,1.0
E01000767,B8,1,1,1.0
E01000789,B8,1,1,1.0
E01017236,B8,1,1,1.0
E01017245,B8,1,1,1.0
