period,LSOA,SHEF_B_CODE,report_count,user_count,average
2014,E01000123,B26,10,9,1.1111111111111112
2014,E01000123,B7,3,2,1.5
2014,E01000124,B1,1,1,1.0
2014,E01000124,B13,5,5,1.0
2014,E01000124,B14,1,1,1.0
2014,E01000124,B19,2,2,1.0
2014,E01000124,B25,2,2,1.0
2014,E01000124,B26,9,6,1.5
2014,E01000124,B28,1,1,1.0
2014,E01000124,B7,1,1,1.0
2014,E01000125,B13,2,2,1.0
2014,E01000125,B19,4,3,1.3333333333333333
2014,E01000125,B25,2,2,1.0
2014,E01000125,B26,14,7,2.0
2014,E01000125,B28,2,2,1.0
2014,E01000126,B1,1,1,1.0
2014,E01000126,B12,1,1,1.0
2014,E01000126,B13,3,3,1.0
2014,E01000126,B19,2,1,2.0
2014,E01000126,B25,1,1,1.0
2014,E01000126,B26,13,6,2.1666666666666665
2014,E01000126,B28,3,3,1.0
2014,E01000126,B7,3,3,1.0
2014,E01000127,B1,1,1,1.0
2014,E01000127,B13,6,5,1.2
2014,E01000127,B17,1,1,1.0
2014,E01000127,B19,1,1,1.0
2014,E01000127,B26,8,6,1.3333333333333333
2014,E01000128,B1,3,2,1.5
2014,E01000128,B13,8,4,2.0
2014,E01000128,B17,2,2,1.0
2014,E01000128,B19,2,1,2.0
2014,E01000128,B24,1,1,1.0
2014,E01000128,B25,3,3,1.0
2014,E01000128,B26,10,8,1.25
2014,E01000128,B7,1,1,1.0
2014,E01000129,B1,2,2,1.0
2014,E01000129,B12,2,2,1.0
2014,E01000129,B13,7,5,1.4
2014,E01000129,B19,5,5,1.0
2014,E01000129,B25,6,4,1.5
2014,E01000129,B26,8,8,1.0
2014,E01000129,B28,2,2,1.0
2014,E01000129,B7,1,1,1.0
2014,E01000130,B13,2,1,2.0
2014,E01000130,B19,3,3,1.0
2014,E01000130,B24,1,1,1.0
2014,E01000130,B26,4,4,1.0
2014,E01000130,B28,7,3,2.3333333333333335
2014,E01000130,B7,1,1,1.0
2014,E01000131,B1,5,4,1.25
2014,E01000131,B12,1,1,1.0
2014,E01000131,B13,6,6,1.0
2014,E01000131,B19,5,5,1.0
2014,E01000131,B2,2,2,1.0
2014,E01000131,B24,4,4,1.0
2014,E01000131,B25,3,3,1.0
2014,E01000131,B26,13,11,1.1818181818181819
2014,E01000131,B28,2,2,1.0
2014,E01000132,B1,1,1,1.0
2014,E01000132,B13,2,2,1.0
2014,E01000132,B17,1,1,1.0
2014,E01000132,B19,3,3,1.0
2014,E01000132,B25,1,1,1.0
2014,E01000132,B26,7,4,1.75
2014,E01000132,B28,2,2,1.0
2014,E01000132,B6,1,1,1.0
2014,E01000133,B19,3,3,1.0
2014,E01000133,B25,1,1,1.0
2014,E01000133,B26,4,3,1.3333333333333333
2014,E01000133,B7,1,1,1.0
2014,E01000134,B13,2,2,1.0
2014,E01000134,B25,1,1,1.0
2014,E01000134,B26,5,3,1.6666666666666667
