lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01000670,B1,30,22,1.3636363636363635
E01000671,B1,28,24,1.1666666666666667
E01000672,B1,57,43,1.3255813953488371
E01000673,B1,47,44,1.0681818181818181
E01000674,B1,33,24,1.375
E01000675,B1,50,48,1.0416666666666667
E01000676,B1,38,33,1.1515151515151516
E01000677,B1,56,43,1.302325581395349
E01000678,B1,37,33,1.121212121212121
E01000679,B1,28,24,1.1666666666666667
E01000680,B1,84,63,1.3333333333333333
E01000681,B1,36,28,1.2857142857142858
E01000682,B1,35,32,1.09375
E01000683,B1,53,34,1.5588235294117647
E01000684,B1,23,21,1.0952380952380953
E01000685,B1,48,39,1.2307692307692308
E01000686,B1,40,33,1.2121212121212122
E01000687,B1,64,54,1.1851851851851851
E01000688,B1,22,22,1.0
E01000689,B1,59,47,1.2553191489361701
E01000690,B1,33,30,1.1
E01000691,B1,76,55,1.3818181818181818
E01000692,B1,46,36,1.2777777777777777
E01000693,B1,62,53,1.169811320754717
E01000694,B1,38,32,1.1875
E01000695,B1,53,49,1.0816326530612246
E01000696,B1,57,51,1.1176470588235294
E01000697,B1,52,40,1.3
E01000698,B1,32,29,1.103448275862069
E01000699,B1,46,41,1.1219512195121952
E01000700,B1,43,36,1.1944444444444444
E01000701,B1,43,36,1.1944444444444444
E01000702,B1,30,26,1.1538461538461537
E01000703,B1,30,23,1.3043478260869565
E01000704,B1,61,49,1.2448979591836735
E01000705,B1,47,40,1.175
E01000706,B1,44,33,1.3333333333333333
E01000707,B1,29,26,1.1153846153846154
E01000708,B1,59,46,1.2826086956521738
E01000709,B1,34,32,1.0625
E01000710,B1,60,49,1.2244897959183674
E01000711,B1,41,39,1.0512820512820513
E01000712,B1,74,55,1.3454545454545455
E01000713,B1,83,63,1.3174603174603174
E01000714,B1,48,44,1.0909090909090908
E01000715,B1,52,47,1.1063829787234043
E01000716,B1,45,31,1.4516129032258065
E01000717,B1,46,36,1.2777777777777777
E01000718,B1,82,69,1.1884057971014492
E01000719,B1,60,54,1.1111111111111112
E01000720,B1,149,83,1.7951807228915662
E01000721,B1,25,23,1.0869565217391304
