lad,SHEF_C_CODE,reports,unique_users,average_per_user
E07000187,C2,1,1,1.0
E07000197,C2,1,1,1.0
E07000203,C2,3,1,3.0
E07000209,C2,1,1,1.0
E07000212,C2,1,1,1.0
E07000213,C2,2,2,1.0
E07000218,C2,1,1,1.0
E07000220,C2,1,1,1.0
E07000221,C2,1,1,1.0
E07000222,C2,3,2,1.5
E07000224,C2,1,1,1.0
E07000225,C2,1,1,1.0
E07000226,C2,1,1,1.0
E07000236,C2,1,1,1.0
E07000240,C2,2,1,2.0
E07000242,C2,1,1,1.0
E07000245,C2,2,2,1.0
E07000246,C2,1,1,1.0
E08000003,C2,1,1,1.0
E08000007,C2,1,1,1.0
E08000012,C2,1,1,1.0
E08000013,C2,1,1,1.0
E08000015,C2,1,1,1.0
E08000018,C2,2,2,1.0
E08000019,C2,4,3,1.3333333333333333
E08000022,C2,1,1,1.0
E08000024,C2,1,1,1.0
E08000025,C2,10,8,1.25
E08000027,C2,3,3,1.0
E08000028,C2,1,1,1.0
E08000029,C2,2,2,1.0
E08000031,C2,1,1,1.0
E08000032,C2,1,1,1.0
E08000033,C2,1,1,1.0
E09000003,C2,6,6,1.0
E09000004,C2,7,6,1.1666666666666667
E09000006,C2,35,31,1.1290322580645162
E09000007,C2,1,1,1.0
E09000008,C2,5,4,1.25
E09000009,C2,1,1,1.0
E09000010,C2,2,2,1.0
E09000011,C2,2,2,1.0
E09000014,C2,1,1,1.0
E09000015,C2,1,1,1.0
E09000018,C2,35,29,1.206896551724138
E09000019,C2,2,2,1.0
E09000021,C2,1,1,1.0
E09000023,C2,19,14,1.3571428571428572
E09000027,C2,1,1,1.0
E09000028,C2,1,1,1.0
E09000029,C2,2,2,1.0
E09000033,C2,1,1,1.0
S12000019,C2,1,1,1.0
S12000033,C2,2,1,2.0
S12000034,C2,1,1,1.0
S12000038,C2,1,1,1.0
S12000049,C2,2,2,1.0
S12000050,C2,1,1,1.0
W06000002,C2,2,2,1.0
W06000003,C2,2,2,1.0
W06000004,C2,1,1,1.0
W06000009,C2,1,1,1.0
W06000010,C2,1,1,1.0
W06000012,C2,1,1,1.0
W06000013,C2,2,2,1.0
W06000015,C2,1,1,1.0
W06000021,C2,2,2,1.0
W06000022,C2,2,1,2.0
E06000001,C3,15,5,3.0
E06000003,C3,3,2,1.5
E06000004,C3,19,16,1.1875
E06000005,C3,19,5,3.8
E06000006,C3,7,6,1.1666666666666667
E06000007,C3,3,3,1.0
E06000008,C3,6,5,1.2
E06000009,C3,5,5,1.0
E06000010,C3,28,15,1.8666666666666667
E06000011,C3,1,1,1.0
E06000013,C3,3,3,1.0
E06000015,C3,4,3,1.3333333333333333
E06000016,C3,8,6,1.3333333333333333
E06000017,C3,3,3,1.0
E06000018,C3,1,1,1.0
E06000019,C3,3,3,1.0
E06000020,C3,1,1,1.0
E06000021,C3,9,7,1.2857142857142858
E06000022,C3,111,63,1.7619047619047619
E06000023,C3,46,34,1.3529411764705883
E06000024,C3,5,4,1.25
E06000025,C3,20,14,1.4285714285714286
E06000026,C3,1,1,1.0
E06000030,C3,7,4,1.75
E06000031,C3,34,21,1.619047619047619
E06000032,C3,68,22,3.090909090909091
