period,LAD,SHEF_C_CODE,report_count,user_count,average
2007,E06000022,C6,1,1,1.0
2007,E06000022,C7,7,6,1.1666666666666667
2007,E06000022,C8,4,4,1.0
2007,E06000023,C1,1,1,1.0
2007,E06000023,C2,3,2,1.5
2007,E06000023,C3,38,33,1.1515151515151516
2007,E06000023,C4,4,4,1.0
2007,E06000023,C5,16,14,1.1428571428571428
2007,E06000023,C6,1,1,1.0
2007,E06000023,C7,30,28,1.0714285714285714
2007,E06000023,C8,7,7,1.0
2007,E06000024,C3,5,3,1.6666666666666667
2007,E06000024,C4,2,2,1.0
2007,E06000024,C5,9,7,1.2857142857142858
2007,E06000024,C6,1,1,1.0
2007,E06000024,C7,11,11,1.0
2007,E06000024,C8,1,1,1.0
2007,E06000025,C3,4,4,1.0
2007,E06000025,C5,7,7,1.0
2007,E06000025,C6,1,1,1.0
2007,E06000025,C7,4,4,1.0
2007,E06000025,C8,3,3,1.0
2007,E06000026,C3,22,14,1.5714285714285714
2007,E06000026,C4,3,2,1.5
2007,E06000026,C5,27,21,1.2857142857142858
2007,E06000026,C7,14,11,1.2727272727272727
2007,E06000026,C8,5,4,1.25
2007,E06000027,C2,2,2,1.0
2007,E06000027,C3,2,2,1.0
2007,E06000027,C4,1,1,1.0
2007,E06000027,C5,2,2,1.0
2007,E06000027,C7,4,4,1.0
2007,E06000027,C8,5,5,1.0
2007,E06000030,C2,1,1,1.0
2007,E06000030,C3,9,9,1.0
2007,E06000030,C4,2,2,1.0
2007,E06000030,C5,5,4,1.25
2007,E06000030,C6,2,2,1.0
2007,E06000030,C7,7,7,1.0
2007,E06000030,C8,9,9,1.0
2007,E06000031,C2,6,6,1.0
2007,E06000031,C3,25,14,1.7857142857142858
2007,E06000031,C4,14,4,3.5
2007,E06000031,C5,14,11,1.2727272727272727
2007,E06000031,C6,8,5,1.6
2007,E06000031,C7,54,30,1.8
2007,E06000031,C8,8,5,1.6
2007,E06000032,C3,1,1,1.0
2007,E06000032,C5,2,2,1.0
2007,E06000032,C7,3,2,1.5
2007,E06000032,C8,2,2,1.0
2007,E06000033,C5,6,5,1.2
2007,E06000034,C3,2,2,1.0
2007,E06000034,C4,1,1,1.0
2007,E06000034,C5,2,2,1.0
2007,E06000034,C7,1,1,1.0
2007,E06000034,C8,5,5,1.0
2007,E06000035,C2,1,1,1.0
2007,E06000035,C3,6,3,2.0
2007,E06000035,C4,2,2,1.0
2007,E06000035,C5,8,5,1.6
2007,E06000035,C7,4,4,1.0
2007,E06000035,C8,8,8,1.0
2007,E06000036,C2,1,1,1.0
2007,E06000036,C3,4,3,1.3333333333333333
2007,E06000036,C5,9,7,1.2857142857142858
2007,E06000036,C7,8,4,2.0
2007,E06000036,C8,1,1,1.0
2007,E06000037,C2,1,1,1.0
2007,E06000037,C3,2,2,1.0
