period,LAD,SHEF_C,report_count,user_count,average
2011,E06000007,Abandoned Vehicles & Parking,3,3,1.0
2011,E06000007,Environmental Disruptions,5,5,1.0
2011,E06000007,Environmental Health,17,17,1.0
2011,E06000007,Incivilities,1,1,1.0
2011,E06000007,Other,11,11,1.0
2011,E06000007,Public Space,3,3,1.0
2011,E06000007,Road Safety & Defects,94,53,1.7735849056603774
2011,E06000007,Vehicles,9,8,1.125
2011,E06000008,Abandoned Vehicles & Parking,15,13,1.1538461538461537
2011,E06000008,Environmental Disruptions,7,7,1.0
2011,E06000008,Environmental Health,125,71,1.7605633802816902
2011,E06000008,Incivilities,6,5,1.2
2011,E06000008,Other,33,28,1.1785714285714286
2011,E06000008,Public Space,19,12,1.5833333333333333
2011,E06000008,Road Safety & Defects,131,78,1.6794871794871795
2011,E06000008,Vehicles,8,7,1.1428571428571428
2011,E06000009,Abandoned Vehicles & Parking,1,1,1.0
2011,E06000009,Environmental Disruptions,2,2,1.0
2011,E06000009,Environmental Health,32,20,1.6
2011,E06000009,Incivilities,4,3,1.3333333333333333
2011,E06000009,Other,18,12,1.5
2011,E06000009,Public Space,2,2,1.0
2011,E06000009,Road Safety & Defects,88,48,1.8333333333333333
2011,E06000009,Vehicles,6,6,1.0
2011,E06000010,Abandoned Vehicles & Parking,6,3,2.0
2011,E06000010,Environmental Disruptions,5,5,1.0
2011,E06000010,Environmental Health,20,19,1.0526315789473684
2011,E06000010,Incivilities,1,1,1.0
2011,E06000010,Other,11,8,1.375
2011,E06000010,Public Space,1,1,1.0
2011,E06000010,Road Safety & Defects,111,66,1.6818181818181819
2011,E06000010,Vehicles,2,1,2.0
2011,E06000011,Abandoned Vehicles & Parking,5,4,1.25
2011,E06000011,Access,1,1,1.0
2011,E06000011,Environmental Disruptions,14,13,1.0769230769230769
2011,E06000011,Environmental Health,19,17,1.1176470588235294
2011,E06000011,Incivilities,2,2,1.0
2011,E06000011,Other,44,27,1.6296296296296295
2011,E06000011,Public Space,1,1,1.0
2011,E06000011,Road Safety & Defects,164,95,1.7263157894736842
2011,E06000011,Vehicles,2,2,1.0
2011,E06000012,Abandoned Vehicles & Parking,3,3,1.0
2011,E06000012,Environmental Disruptions,3,3,1.0
2011,E06000012,Environmental Health,2,2,1.0
2011,E06000012,Other,9,9,1.0
2011,E06000012,Road Safety & Defects,27,20,1.35
2011,E06000012,Vehicles,1,1,1.0
2011,E06000013,Abandoned Vehicles & Parking,3,3,1.0
2011,E06000013,Environmental Disruptions,1,1,1.0
2011,E06000013,Environmental Health,7,5,1.4
2011,E06000013,Other,2,2,1.0
2011,E06000013,Road Safety & Defects,24,17,1.411764705882353
2011,E06000014,Abandoned Vehicles & Parking,4,4,1.0
2011,E06000014,Environmental Disruptions,8,1,8.0
2011,E06000014,Environmental Health,5,4,1.25
2011,E06000014,Incivilities,5,3,1.6666666666666667
2011,E06000014,Other,7,7,1.0
2011,E06000014,Road Safety & Defects,48,35,1.3714285714285714
2011,E06000014,Vehicles,1,1,1.0
2011,E06000015,Abandoned Vehicles & Parking,4,3,1.3333333333333333
2011,E06000015,Environmental Disruptions,6,5,1.2
