period,LAD,SHEF_C,report_count,user_count,average
2009-12,E07000009,Road Safety & Defects,1,1,1.0
2009-12,E07000010,Other,2,2,1.0
2009-12,E07000010,Road Safety & Defects,6,4,1.5
2009-12,E07000011,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000011,Environmental Health,2,2,1.0
2009-12,E07000011,Road Safety & Defects,5,5,1.0
2009-12,E07000011,Vehicles,1,1,1.0
2009-12,E07000012,Environmental Disruptions,4,4,1.0
2009-12,E07000012,Environmental Health,1,1,1.0
2009-12,E07000012,Other,2,2,1.0
2009-12,E07000012,Road Safety & Defects,20,16,1.25
2009-12,E07000026,Road Safety & Defects,5,5,1.0
2009-12,E07000027,Road Safety & Defects,1,1,1.0
2009-12,E07000028,Road Safety & Defects,2,2,1.0
2009-12,E07000029,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000029,Environmental Health,1,1,1.0
2009-12,E07000029,Road Safety & Defects,3,3,1.0
2009-12,E07000030,Road Safety & Defects,1,1,1.0
2009-12,E07000031,Environmental Health,2,2,1.0
2009-12,E07000031,Road Safety & Defects,2,2,1.0
2009-12,E07000032,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000032,Road Safety & Defects,2,2,1.0
2009-12,E07000033,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000033,Environmental Health,1,1,1.0
2009-12,E07000033,Other,1,1,1.0
2009-12,E07000033,Road Safety & Defects,2,1,2.0
2009-12,E07000034,Environmental Health,1,1,1.0
2009-12,E07000034,Other,1,1,1.0
2009-12,E07000034,Road Safety & Defects,17,5,3.4
2009-12,E07000035,Environmental Health,1,1,1.0
2009-12,E07000035,Road Safety & Defects,1,1,1.0
2009-12,E07000036,Environmental Health,3,2,1.5
2009-12,E07000036,Road Safety & Defects,1,1,1.0
2009-12,E07000038,Environmental Disruptions,10,1,10.0
2009-12,E07000038,Environmental Health,1,1,1.0
2009-12,E07000038,Other,1,1,1.0
2009-12,E07000038,Road Safety & Defects,25,2,12.5
2009-12,E07000039,Environmental Health,1,1,1.0
2009-12,E07000040,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000040,Other,1,1,1.0
2009-12,E07000040,Road Safety & Defects,14,9,1.5555555555555556
2009-12,E07000040,Vehicles,1,1,1.0
2009-12,E07000041,Environmental Health,2,2,1.0
2009-12,E07000041,Incivilities,3,1,3.0
2009-12,E07000041,Other,1,1,1.0
2009-12,E07000041,Road Safety & Defects,3,3,1.0
