period,LAD,SHEF_C_CODE,report_count,user_count,average
2007-6,E07000179,C5,1,1,1.0
2007-6,E07000179,C7,1,1,1.0
2007-6,E07000180,C7,4,3,1.3333333333333333
2007-6,E07000180,C8,1,1,1.0
2007-6,E07000181,C7,1,1,1.0
2007-6,E07000189,C2,1,1,1.0
2007-6,E07000189,C7,1,1,1.0
2007-6,E07000189,C8,1,1,1.0
2007-6,E07000190,C6,1,1,1.0
2007-6,E07000190,C7,1,1,1.0
2007-6,E07000192,C2,1,1,1.0
2007-6,E07000193,C5,1,1,1.0
2007-6,E07000195,C3,1,1,1.0
2007-6,E07000195,C6,1,1,1.0
2007-6,E07000195,C7,2,2,1.0
2007-6,E07000197,C7,1,1,1.0
2007-6,E07000199,C7,1,1,1.0
2007-6,E07000202,C3,1,1,1.0
2007-6,E07000202,C7,4,1,4.0
2007-6,E07000203,C7,2,1,2.0
2007-6,E07000204,C7,1,1,1.0
2007-6,E07000206,C3,1,1,1.0
2007-6,E07000207,C2,1,1,1.0
2007-6,E07000207,C4,1,1,1.0
2007-6,E07000207,C7,3,3,1.0
2007-6,E07000207,C8,2,2,1.0
2007-6,E07000208,C4,1,1,1.0
2007-6,E07000209,C3,1,1,1.0
2007-6,E07000210,C7,1,1,1.0
2007-6,E07000211,C3,1,1,1.0
2007-6,E07000211,C7,1,1,1.0
2007-6,E07000212,C8,1,1,1.0
2007-6,E07000213,C4,1,1,1.0
2007-6,E07000214,C2,1,1,1.0
2007-6,E07000214,C3,1,1,1.0
2007-6,E07000214,C7,1,1,1.0
2007-6,E07000215,C3,1,1,1.0
2007-6,E07000215,C7,4,4,1.0
2007-6,E07000216,C2,1,1,1.0
2007-6,E07000216,C7,1,1,1.0
2007-6,E07000220,C7,1,1,1.0
2007-6,E07000220,C8,1,1,1.0
2007-6,E07000222,C3,1,1,1.0
2007-6,E07000222,C7,3,2,1.5
2007-6,E07000223,C3,1,1,1.0
2007-6,E07000223,C5,1,1,1.0
2007-6,E07000226,C2,1,1,1.0
2007-6,E07000226,C5,1,1,1.0
2007-6,E07000226,C7,2,2,1.0
2007-6,E07000227,C2,1,1,1.0
2007-6,E07000228,C7,1,1,1.0
2007-6,E07000234,C8,1,1,1.0
2007-6,E07000236,C5,2,2,1.0
2007-6,E07000236,C7,1,1,1.0
2007-6,E07000237,C3,1,1,1.0
2007-6,E07000241,C8,1,1,1.0
2007-6,E07000243,C4,1,1,1.0
2007-6,E07000243,C8,1,1,1.0
2007-6,E08000001,C3,1,1,1.0
2007-6,E08000001,C5,1,1,1.0
2007-6,E08000001,C7,1,1,1.0
2007-6,E08000001,C8,1,1,1.0
2007-6,E08000003,C3,1,1,1.0
2007-6,E08000003,C4,1,1,1.0
2007-6,E08000006,C3,4,3,1.3333333333333333
2007-6,E08000006,C5,1,1,1.0
2007-6,E08000006,C7,2,2,1.0
2007-6,E08000007,C2,1,1,1.0
2007-6,E08000007,C7,1,1,1.0
2007-6,E08000007,C8,1,1,1.0
2007-6,E08000008,C7,2,1,2.0
2007-6,E08000010,C3,1,1,1.0
2007-6,E08000010,C5,1,1,1.0
2007-6,E08000010,C7,2,2,1.0
2007-6,E08000012,C3,1,1,1.0
2007-6,E08000012,C7,3,2,1.5
2007-6,E08000013,C5,1,1,1.0
2007-6,E08000014,C3,1,1,1.0
2007-6,E08000014,C4,1,1,1.0
2007-6,E08000015,C7,2,2,1.0
2007-6,E08000016,C5,1,1,1.0
2007-6,E08000018,C2,5,2,2.5
2007-6,E08000018,C4,1,1,1.0
2007-6,E08000018,C6,2,1,2.0
2007-6,E08000018,C7,2,1,2.0
2007-6,E08000019,C3,2,2,1.0
2007-6,E08000019,C7,3,3,1.0
2007-6,E08000019,C8,1,1,1.0
2007-6,E08000021,C2,1,1,1.0
2007-6,E08000021,C3,4,4,1.0
2007-6,E08000024,C5,1,1,1.0
2007-6,E08000025,C2,1,1,1.0
2007-6,E08000025,C3,5,5,1.0
2007-6,E08000025,C4,2,2,1.0
2007-6,E08000025,C5,3,3,1.0
2007-6,E08000025,C7,1,1,1.0
2007-6,E08000025,C8,2,2,1.0
2007-6,E08000026,C3,1,1,1.0
2007-6,E08000026,C4,1,1,1.0
2007-6,E08000026,C7,1,1,1.0
2007-6,E08000027,C4,1,1,1.0
2007-6,E08000027,C7,1,1,1.0
2007-6,E08000027,C8,1,1,1.0
2007-6,E08000029,C2,1,1,1.0
2007-6,E08000029,C4,1,1,1.0
2007-6,E08000029,C5,1,1,1.0
2007-6,E08000030,C2,1,1,1.0
2007-6,E08000030,C5,1,1,1.0
2007-6,E08000032,C3,1,1,1.0
2007-6,E08000032,C5,1,1,1.0
2007-6,E08000033,C2,2,1,2.0
2007-6,E08000033,C3,1,1,1.0
2007-6,E08000033,C7,2,1,2.0
2007-6,E08000034,C3,3,3,1.0
2007-6,E08000035,C3,4,4,1.0
2007-6,E08000035,C4,2,2,1.0
2007-6,E08000035,C5,4,3,1.3333333333333333
2007-6,E08000035,C7,7,7,1.0
2007-6,E08000035,C8,3,2,1.5
2007-6,E08000036,C5,1,1,1.0
2007-6,E09000001,C7,1,1,1.0
2007-6,E09000003,C3,1,1,1.0
2007-6,E09000003,C4,1,1,1.0
2007-6,E09000003,C7,1,1,1.0
2007-6,E09000005,C3,3,3,1.0
2007-6,E09000005,C5,1,1,1.0
2007-6,E09000005,C8,3,3,1.0
2007-6,E09000006,C3,2,2,1.0
2007-6,E09000006,C5,1,1,1.0
2007-6,E09000006,C8,2,2,1.0
2007-6,E09000007,C2,1,1,1.0
2007-6,E09000007,C5,2,2,1.0
2007-6,E09000007,C7,3,3,1.0
2007-6,E09000008,C2,1,1,1.0
2007-6,E09000008,C3,1,1,1.0
2007-6,E09000008,C7,2,2,1.0
2007-6,E09000008,C8,1,1,1.0
2007-6,E09000009,C2,2,1,2.0
2007-6,E09000009,C3,3,3,1.0
