period,LAD,SHEF_C_CODE,report_count,user_count,average
2012-5,E06000017,C3,1,1,1.0
2012-5,E06000017,C7,8,3,2.6666666666666665
2012-5,E06000018,C3,5,4,1.25
2012-5,E06000018,C4,2,2,1.0
2012-5,E06000018,C5,1,1,1.0
2012-5,E06000018,C7,6,3,2.0
2012-5,E06000019,C3,1,1,1.0
2012-5,E06000019,C4,1,1,1.0
2012-5,E06000019,C5,1,1,1.0
2012-5,E06000019,C7,19,12,1.5833333333333333
2012-5,E06000020,C3,6,5,1.2
2012-5,E06000020,C6,2,2,1.0
2012-5,E06000020,C7,15,6,2.5
2012-5,E06000021,C3,4,2,2.0
2012-5,E06000021,C5,1,1,1.0
2012-5,E06000021,C7,9,7,1.2857142857142858
2012-5,E06000022,C2,1,1,1.0
2012-5,E06000022,C3,1,1,1.0
2012-5,E06000022,C7,13,10,1.3
2012-5,E06000022,C8,1,1,1.0
2012-5,E06000023,C3,12,7,1.7142857142857142
2012-5,E06000023,C4,4,1,4.0
2012-5,E06000023,C5,7,6,1.1666666666666667
2012-5,E06000023,C6,1,1,1.0
2012-5,E06000023,C7,16,12,1.3333333333333333
2012-5,E06000023,C8,2,2,1.0
2012-5,E06000024,C7,18,16,1.125
2012-5,E06000024,C8,3,2,1.5
2012-5,E06000025,C5,1,1,1.0
2012-5,E06000025,C7,7,6,1.1666666666666667
2012-5,E06000025,C8,2,2,1.0
2012-5,E06000026,C3,4,4,1.0
2012-5,E06000026,C7,18,12,1.5
2012-5,E06000026,C8,1,1,1.0
2012-5,E06000027,C3,1,1,1.0
2012-5,E06000027,C4,1,1,1.0
2012-5,E06000027,C5,2,2,1.0
2012-5,E06000027,C7,3,3,1.0
2012-5,E06000027,C8,1,1,1.0
2012-5,E06000028,C3,3,3,1.0
2012-5,E06000028,C4,5,3,1.6666666666666667
2012-5,E06000028,C7,10,6,1.6666666666666667
2012-5,E06000028,C8,2,2,1.0
2012-5,E06000029,C3,2,2,1.0
2012-5,E06000029,C4,1,1,1.0
2012-5,E06000029,C7,2,2,1.0
2012-5,E06000030,C3,9,7,1.2857142857142858
2012-5,E06000030,C4,5,4,1.25
2012-5,E06000030,C5,2,2,1.0
2012-5,E06000030,C7,19,15,1.2666666666666666
2012-5,E06000030,C8,3,3,1.0
2012-5,E06000031,C3,9,6,1.5
2012-5,E06000031,C4,9,3,3.0
2012-5,E06000031,C5,2,2,1.0
2012-5,E06000031,C6,1,1,1.0
2012-5,E06000031,C7,15,11,1.3636363636363635
2012-5,E06000031,C8,3,2,1.5
2012-5,E06000032,C3,1,1,1.0
2012-5,E06000032,C5,2,2,1.0
2012-5,E06000032,C7,3,3,1.0
2012-5,E06000032,C8,1,1,1.0
2012-5,E06000033,C3,1,1,1.0
2012-5,E06000033,C5,10,4,2.5
2012-5,E06000034,C5,1,1,1.0
2012-5,E06000034,C6,1,1,1.0
2012-5,E06000034,C7,3,3,1.0
2012-5,E06000035,C2,1,1,1.0
2012-5,E06000035,C3,1,1,1.0
2012-5,E06000035,C5,2,2,1.0
2012-5,E06000035,C7,2,2,1.0
2012-5,E06000035,C8,3,3,1.0
2012-5,E06000036,C4,1,1,1.0
2012-5,E06000036,C5,1,1,1.0
2012-5,E06000036,C7,2,2,1.0
2012-5,E06000036,C8,2,2,1.0
2012-5,E06000037,C3,1,1,1.0
2012-5,E06000037,C5,1,1,1.0
2012-5,E06000037,C7,5,5,1.0
2012-5,E06000038,C3,2,2,1.0
2012-5,E06000038,C4,1,1,1.0
2012-5,E06000038,C6,1,1,1.0
2012-5,E06000038,C7,12,9,1.3333333333333333
2012-5,E06000038,C8,1,1,1.0
2012-5,E06000039,C3,3,2,1.5
2012-5,E06000039,C5,1,1,1.0
2012-5,E06000039,C7,4,4,1.0
2012-5,E06000039,C8,1,1,1.0
2012-5,E06000040,C3,2,2,1.0
2012-5,E06000040,C7,5,5,1.0
2012-5,E06000041,C2,3,3,1.0
2012-5,E06000041,C3,2,2,1.0
2012-5,E06000041,C4,2,2,1.0
2012-5,E06000041,C5,4,4,1.0
