period,LAD,SHEF_C_CODE,report_count,user_count,average
2016,E06000022,C6,2,2,1.0
2016,E06000022,C7,183,83,2.2048192771084336
2016,E06000022,C8,19,16,1.1875
2016,E06000023,C1,710,471,1.5074309978768579
2016,E06000023,C2,286,197,1.4517766497461928
2016,E06000023,C3,1253,514,2.437743190661479
2016,E06000023,C4,117,45,2.6
2016,E06000023,C5,139,94,1.4787234042553192
2016,E06000023,C6,42,30,1.4
2016,E06000023,C7,1648,925,1.7816216216216216
2016,E06000023,C8,195,153,1.2745098039215685
2016,E06000024,C1,1,1,1.0
2016,E06000024,C2,8,4,2.0
2016,E06000024,C3,45,22,2.0454545454545454
2016,E06000024,C4,1,1,1.0
2016,E06000024,C5,22,19,1.1578947368421053
2016,E06000024,C6,10,3,3.3333333333333335
2016,E06000024,C7,199,105,1.8952380952380952
2016,E06000024,C8,29,28,1.0357142857142858
2016,E06000025,C2,20,16,1.25
2016,E06000025,C3,99,55,1.8
2016,E06000025,C4,7,3,2.3333333333333335
2016,E06000025,C5,34,29,1.1724137931034482
2016,E06000025,C6,15,12,1.25
2016,E06000025,C7,327,153,2.1372549019607843
2016,E06000025,C8,43,30,1.4333333333333333
2016,E06000026,C1,1,1,1.0
2016,E06000026,C2,10,7,1.4285714285714286
2016,E06000026,C3,88,55,1.6
2016,E06000026,C4,9,3,3.0
2016,E06000026,C5,29,22,1.3181818181818181
2016,E06000026,C6,21,16,1.3125
2016,E06000026,C7,154,90,1.711111111111111
2016,E06000026,C8,44,40,1.1
2016,E06000027,C2,3,3,1.0
2016,E06000027,C3,31,19,1.631578947368421
2016,E06000027,C4,1,1,1.0
2016,E06000027,C5,17,11,1.5454545454545454
2016,E06000027,C6,1,1,1.0
2016,E06000027,C7,87,53,1.6415094339622642
2016,E06000027,C8,24,23,1.0434782608695652
2016,E06000028,C1,1,1,1.0
2016,E06000028,C2,16,16,1.0
2016,E06000028,C3,89,47,1.8936170212765957
2016,E06000028,C4,19,2,9.5
2016,E06000028,C5,35,30,1.1666666666666667
2016,E06000028,C6,5,5,1.0
2016,E06000028,C7,134,88,1.5227272727272727
2016,E06000028,C8,79,63,1.253968253968254
2016,E06000029,C2,5,5,1.0
2016,E06000029,C3,7,7,1.0
2016,E06000029,C5,12,10,1.2
2016,E06000029,C6,6,4,1.5
2016,E06000029,C7,55,40,1.375
2016,E06000029,C8,11,11,1.0
2016,E06000030,C2,12,11,1.0909090909090908
2016,E06000030,C3,90,26,3.4615384615384617
2016,E06000030,C4,2,2,1.0
2016,E06000030,C5,29,26,1.1153846153846154
2016,E06000030,C6,11,7,1.5714285714285714
2016,E06000030,C7,124,95,1.305263157894737
2016,E06000030,C8,70,56,1.25
2016,E06000031,C1,1,1,1.0
2016,E06000031,C2,28,22,1.2727272727272727
2016,E06000031,C3,368,92,4.0
2016,E06000031,C4,47,16,2.9375
2016,E06000031,C5,51,38,1.3421052631578947
2016,E06000031,C6,26,23,1.1304347826086956
2016,E06000031,C7,454,106,4.283018867924528
2016,E06000031,C8,75,49,1.530612244897959
2016,E06000032,C1,1,1,1.0
2016,E06000032,C2,40,24,1.6666666666666667
