lad,SHEF_C_CODE,reports,unique_users,average_per_user
E07000243,C4,81,24,3.375
E09000006,C4,386,171,2.257309941520468
E09000011,C4,97,70,1.3857142857142857
S12000041,C4,1,1,1.0
E07000089,C5,151,128,1.1796875
E07000177,C5,302,245,1.2326530612244897
E07000178,C5,209,165,1.2666666666666666
E07000179,C5,354,285,1.2421052631578948
E07000180,C5,284,226,1.2566371681415929
E07000181,C5,276,231,1.1948051948051948
E07000218,C5,66,55,1.2
E07000219,C5,116,62,1.8709677419354838
E07000220,C5,74,68,1.088235294117647
E07000221,C5,118,110,1.0727272727272728
E07000222,C5,164,139,1.1798561151079137
E07000242,C5,33,28,1.1785714285714286
E07000243,C5,238,144,1.6527777777777777
E09000006,C5,16,13,1.2307692307692308
E09000011,C5,254,222,1.1441441441441442
E06000022,C6,49,45,1.0888888888888888
E07000136,C6,3,2,1.5
E07000137,C6,10,3,3.3333333333333335
E07000138,C6,2,2,1.0
E07000139,C6,6,4,1.5
E07000140,C6,7,4,1.75
E07000141,C6,9,2,4.5
E07000142,C6,6,2,3.0
E07000177,C6,3,3,1.0
E07000178,C6,2,2,1.0
E07000179,C6,4,4,1.0
E07000180,C6,5,5,1.0
E07000181,C6,6,5,1.2
E07000219,C6,5,5,1.0
E07000220,C6,2,2,1.0
E07000221,C6,1,1,1.0
E07000222,C6,7,6,1.1666666666666667
E09000006,C6,213,156,1.3653846153846154
E09000011,C6,104,70,1.4857142857142858
E06000017,C7,155,113,1.3716814159292035
E06000022,C7,2528,1500,1.6853333333333333
E06000023,C7,2883,1711,1.684979544126242
E06000060,C7,10816,6575,1.6450190114068441
E07000079,C7,1,1,1.0
E07000089,C7,210,169,1.242603550295858
E07000136,C7,517,141,3.6666666666666665
E07000137,C7,1519,472,3.218220338983051
E07000138,C7,774,225,3.44
E07000139,C7,1439,500,2.878
E07000140,C7,640,203,3.1527093596059115
E07000141,C7,1291,436,2.9610091743119265
E07000142,C7,966,352,2.7443181818181817
E07000177,C7,8374,2188,3.827239488117002
E07000178,C7,3396,1218,2.7881773399014778
E07000179,C7,11981,2102,5.699809705042816
E07000180,C7,7806,2053,3.802240623477837
E07000181,C7,8820,1895,4.654353562005277
E07000218,C7,91,58,1.5689655172413792
E07000219,C7,124,68,1.8235294117647058
E07000220,C7,92,79,1.1645569620253164
E07000221,C7,210,170,1.2352941176470589
E07000222,C7,158,136,1.161764705882353
E07000242,C7,46,30,1.5333333333333334
E07000243,C7,139,78,1.7820512820512822
E09000006,C7,5037,3206,1.5711166562694947
E09000011,C7,317,233,1.3605150214592274
S12000041,C7,23,23,1.0
E06000017,C8,11,10,1.1
E06000022,C8,293,217,1.3502304147465438
E07000089,C8,241,214,1.1261682242990654
E07000177,C8,17,17,1.0
E07000178,C8,26,26,1.0
E07000179,C8,20,19,1.0526315789473684
E07000180,C8,22,17,1.2941176470588236
E07000181,C8,50,46,1.0869565217391304
E07000218,C8,7,6,1.1666666666666667
E07000219,C8,13,10,1.3
E07000220,C8,4,4,1.0
E07000221,C8,5,5,1.0
E07000222,C8,23,14,1.6428571428571428
E07000242,C8,52,45,1.1555555555555554
E07000243,C8,644,307,2.0977198697068404
E09000006,C8,1401,1194,1.1733668341708543
E09000011,C8,945,710,1.3309859154929577
S12000041,C8,2,2,1.0
