period,LAD,SHEF_A_CODE,report_count,user_count,average
2016,E06000007,A82,4,4,1.0
2016,E06000007,A83,7,6,1.1666666666666667
2016,E06000007,A86,3,3,1.0
2016,E06000008,A1,18,16,1.125
2016,E06000008,A20,5,4,1.25
2016,E06000008,A24,4,4,1.0
2016,E06000008,A28,1,1,1.0
2016,E06000008,A29,97,46,2.108695652173913
2016,E06000008,A41,32,21,1.5238095238095237
2016,E06000008,A53,6,5,1.2
2016,E06000008,A54,31,24,1.2916666666666667
2016,E06000008,A56,7,7,1.0
2016,E06000008,A57,22,20,1.1
2016,E06000008,A60,55,39,1.4102564102564104
2016,E06000008,A73,21,19,1.105263157894737
2016,E06000008,A79,14,11,1.2727272727272727
2016,E06000008,A81,20,17,1.1764705882352942
2016,E06000008,A82,1,1,1.0
2016,E06000008,A83,2,2,1.0
2016,E06000008,A86,9,8,1.125
2016,E06000009,A1,13,10,1.3
2016,E06000009,A12,4,3,1.3333333333333333
2016,E06000009,A20,7,7,1.0
2016,E06000009,A24,1,1,1.0
2016,E06000009,A28,1,1,1.0
2016,E06000009,A29,47,22,2.1363636363636362
2016,E06000009,A41,23,14,1.6428571428571428
2016,E06000009,A53,5,5,1.0
2016,E06000009,A54,17,15,1.1333333333333333
2016,E06000009,A56,19,12,1.5833333333333333
2016,E06000009,A57,7,4,1.75
2016,E06000009,A60,15,12,1.25
2016,E06000009,A73,27,7,3.857142857142857
2016,E06000009,A79,23,12,1.9166666666666667
2016,E06000009,A81,22,14,1.5714285714285714
2016,E06000009,A82,2,2,1.0
2016,E06000009,A86,5,5,1.0
2016,E06000010,A1,8,7,1.1428571428571428
2016,E06000010,A10,1,1,1.0
2016,E06000010,A12,3,3,1.0
2016,E06000010,A13,1,1,1.0
2016,E06000010,A20,18,7,2.5714285714285716
2016,E06000010,A24,2,2,1.0
2016,E06000010,A28,12,3,4.0
2016,E06000010,A29,230,37,6.216216216216216
2016,E06000010,A33,97,5,19.4
2016,E06000010,A40,18,5,3.6
2016,E06000010,A41,17,12,1.4166666666666667
2016,E06000010,A48,4,1,4.0
2016,E06000010,A53,26,18,1.4444444444444444
2016,E06000010,A54,68,17,4.0
2016,E06000010,A55,9,8,1.125
2016,E06000010,A56,21,20,1.05
2016,E06000010,A57,21,16,1.3125
2016,E06000010,A60,54,33,1.6363636363636365
2016,E06000010,A67,2,2,1.0
2016,E06000010,A7,13,2,6.5
2016,E06000010,A73,57,34,1.6764705882352942
2016,E06000010,A79,22,10,2.2
2016,E06000010,A81,343,18,19.055555555555557
2016,E06000010,A82,5,2,2.5
2016,E06000010,A83,25,5,5.0
2016,E06000010,A86,19,7,2.7142857142857144
2016,E06000011,A1,10,10,1.0
2016,E06000011,A12,12,3,4.0
2016,E06000011,A20,8,8,1.0
2016,E06000011,A24,11,6,1.8333333333333333
2016,E06000011,A28,138,2,69.0
2016,E06000011,A29,130,16,8.125
2016,E06000011,A33,110,5,22.0
2016,E06000011,A37,3,1,3.0
2016,E06000011,A41,53,28,1.8928571428571428
2016,E06000011,A47,25,6,4.166666666666667
2016,E06000011,A48,121,6,20.166666666666668
2016,E06000011,A53,10,4,2.5
2016,E06000011,A54,100,18,5.555555555555555
2016,E06000011,A55,20,14,1.4285714285714286
2016,E06000011,A56,16,12,1.3333333333333333
2016,E06000011,A57,31,20,1.55
2016,E06000011,A60,155,55,2.8181818181818183
2016,E06000011,A66,16,3,5.333333333333333
2016,E06000011,A67,3,3,1.0
2016,E06000011,A73,14,6,2.3333333333333335
2016,E06000011,A79,18,6,3.0
2016,E06000011,A8,73,15,4.866666666666666
2016,E06000011,A81,666,21,31.714285714285715
2016,E06000011,A82,13,2,6.5
2016,E06000011,A83,240,14,17.142857142857142
2016,E06000011,A86,7,3,2.3333333333333335
2016,E06000012,A1,6,6,1.0
2016,E06000012,A24,1,1,1.0
2016,E06000012,A29,47,18,2.611111111111111
2016,E06000012,A33,3,1,3.0
2016,E06000012,A41,8,8,1.0
2016,E06000012,A53,1,1,1.0
2016,E06000012,A54,9,8,1.125
2016,E06000012,A55,2,2,1.0
2016,E06000012,A56,9,7,1.2857142857142858
2016,E06000012,A57,4,4,1.0
2016,E06000012,A60,13,9,1.4444444444444444
2016,E06000012,A73,5,4,1.25
2016,E06000012,A79,2,2,1.0
2016,E06000012,A81,21,4,5.25
2016,E06000012,A82,5,4,1.25
