period,LSOA,report_count,user_count,average
2018-6,E01014461,4,3,1.3333333333333333
2018-6,E01014462,4,4,1.0
2018-6,E01014463,5,4,1.25
2018-6,E01014464,3,3,1.0
2018-6,E01014465,1,1,1.0
2018-6,E01014466,3,2,1.5
2018-6,E01014467,2,2,1.0
2018-6,E01014468,5,5,1.0
2018-6,E01014469,2,2,1.0
2018-6,E01014470,5,5,1.0
2018-6,E01014471,6,5,1.2
2018-6,E01014472,2,2,1.0
2018-6,E01014473,3,3,1.0
2018-6,E01014474,8,7,1.1428571428571428
2018-6,E01014475,9,9,1.0
2018-6,E01014476,5,5,1.0
2018-6,E01014477,3,3,1.0
2018-6,E01014478,1,1,1.0
2018-6,E01014479,4,2,2.0
2018-6,E01014480,3,3,1.0
2018-6,E01014481,3,3,1.0
2018-6,E01014482,3,3,1.0
2018-6,E01014483,14,14,1.0
2018-6,E01014484,3,3,1.0
2018-6,E01014485,2,2,1.0
2018-6,E01014486,2,2,1.0
2018-6,E01014487,2,2,1.0
2018-6,E01014489,2,2,1.0
2018-6,E01014491,3,2,1.5
2018-6,E01014492,2,2,1.0
2018-6,E01014493,2,2,1.0
2018-6,E01014494,1,1,1.0
2018-6,E01014495,1,1,1.0
2018-6,E01014496,2,2,1.0
2018-6,E01014497,1,1,1.0
2018-6,E01014498,4,2,2.0
2018-6,E01014499,6,5,1.2
2018-6,E01014500,4,4,1.0
2018-6,E01014501,1,1,1.0
2018-6,E01014502,2,2,1.0
2018-6,E01014505,2,2,1.0
2018-6,E01014506,2,2,1.0
2018-6,E01014508,1,1,1.0
2018-6,E01014509,1,1,1.0
2018-6,E01014511,1,1,1.0
2018-6,E01014512,1,1,1.0
2018-6,E01014514,2,2,1.0
2018-6,E01014515,3,3,1.0
2018-6,E01014516,11,1,11.0
2018-6,E01014517,6,2,3.0
2018-6,E01014518,2,2,1.0
2018-6,E01014519,1,1,1.0
2018-6,E01014520,2,2,1.0
2018-6,E01014521,2,2,1.0
2018-6,E01014522,2,2,1.0
2018-6,E01014523,1,1,1.0
2018-6,E01014524,3,2,1.5
2018-6,E01014526,3,2,1.5
2018-6,E01014528,1,1,1.0
2018-6,E01014529,2,1,2.0
2018-6,E01014530,2,2,1.0
2018-6,E01014531,2,2,1.0
2018-6,E01014532,1,1,1.0
