period,LSOA,SHEF_A,report_count,user_count,average
2015,E01000043,Road/Pavement Defects,1,1,1.0
2015,E01000044,Pavement /Footway Defects,1,1,1.0
2015,E01000044,Potholes,1,1,1.0
2015,E01000044,Rubbish,1,1,1.0
2015,E01000044,Street Lights,2,1,2.0
2015,E01000045,Parking,1,1,1.0
2015,E01000049,Dumped Rubbish,1,1,1.0
2015,E01000050,Fly-tipping,1,1,1.0
2015,E01000050,Other,1,1,1.0
2015,E01000050,Parking,1,1,1.0
2015,E01000050,Pavement /Footway Defects,1,1,1.0
2015,E01000050,Potholes,2,1,2.0
2015,E01000050,Road/Pavement Defects,3,1,3.0
2015,E01000050,Rubbish,1,1,1.0
2015,E01000052,Fly-tipping,2,1,2.0
2015,E01000052,Parking,2,2,1.0
2015,E01000052,Pavement /Footway Defects,1,1,1.0
2015,E01000053,Street Lights,1,1,1.0
2015,E01000060,Fly-tipping,6,1,6.0
2015,E01000060,Other,1,1,1.0
2015,E01000060,Parking,13,1,13.0
2015,E01000061,Parking,1,1,1.0
2015,E01000062,Street Lights,1,1,1.0
2015,E01000065,Potholes,1,1,1.0
2015,E01000066,Rubbish,1,1,1.0
2015,E01000068,Fly-tipping,4,1,4.0
2015,E01000068,Pavement /Footway Defects,1,1,1.0
2015,E01000070,Other,1,1,1.0
2015,E01000070,Road/Pavement Defects,1,1,1.0
2015,E01000070,Rubbish,1,1,1.0
2015,E01000071,Abandoned Vehicles,1,1,1.0
2015,E01000071,Other,2,2,1.0
2015,E01000071,Potholes,1,1,1.0
2015,E01000072,Abandoned Vehicles,2,1,2.0
2015,E01000072,Bin Collection,1,1,1.0
2015,E01000072,Other,1,1,1.0
2015,E01000072,Street Signs,1,1,1.0
2015,E01000073,Highway Condition,1,1,1.0
2015,E01000073,Other,1,1,1.0
2015,E01000075,Street Lights,2,1,2.0
2015,E01000076,Parking,1,1,1.0
2015,E01000080,Bin Collection,1,1,1.0
2015,E01000080,Street Lights,1,1,1.0
2015,E01000081,Parking,1,1,1.0
2015,E01000082,Open Spaces/Parks,1,1,1.0
2015,E01000082,Street Lights,1,1,1.0
2015,E01000083,Other,1,1,1.0
2015,E01000088,Fly-tipping,1,1,1.0
2015,E01000090,Potholes,1,1,1.0
2015,E01000091,Highway Condition,1,1,1.0
2015,E01000091,Open Spaces/Parks,1,1,1.0
2015,E01000091,Potholes,1,1,1.0
2015,E01000092,Abandoned Vehicles,1,1,1.0
2015,E01000092,Highway Condition,1,1,1.0
2015,E01000092,Potholes,2,1,2.0
2015,E01000093,Potholes,2,1,2.0
2015,E01000094,Highway Condition,1,1,1.0
2015,E01000095,Fly-tipping,1,1,1.0
2015,E01000095,Highway Condition,2,2,1.0
2015,E01000095,Parking,1,1,1.0
2015,E01000095,Pavement /Footway Defects,2,2,1.0
2015,E01000095,Potholes,2,1,2.0
2015,E01000095,Rubbish,2,2,1.0
2015,E01000095,Street Cleaning,2,1,2.0
2015,E01000095,Street Signs,2,2,1.0
2015,E01000097,Abandoned Vehicles,1,1,1.0
2015,E01000099,Abandoned Vehicles,1,1,1.0
2015,E01000100,Rubbish,4,1,4.0
2015,E01000102,Rubbish,2,1,2.0
2015,E01000103,Street Lights,1,1,1.0
2015,E01000104,Fly-tipping,1,1,1.0
2015,E01000108,Street Lights,1,1,1.0
2015,E01000109,Street Lights,1,1,1.0
2015,E01000110,Highway Condition,1,1,1.0
2015,E01000112,Street Lights,1,1,1.0
2015,E01000113,Road/Pavement Defects,1,1,1.0
