lsoa,SHEF_A_CODE,reports,unique_users,average_per_user
E01000257,A1,3,2,1.5
E01000258,A1,1,1,1.0
E01000259,A1,1,1,1.0
E01000260,A1,3,3,1.0
E01000263,A1,2,2,1.0
E01000264,A1,1,1,1.0
E01000266,A1,2,1,2.0
E01000269,A1,2,2,1.0
E01000271,A1,2,2,1.0
E01000278,A1,1,1,1.0
E01000279,A1,1,1,1.0
E01000280,A1,2,2,1.0
E01000283,A1,1,1,1.0
E01000284,A1,2,2,1.0
E01000287,A1,1,1,1.0
E01000289,A1,1,1,1.0
E01000290,A1,5,5,1.0
E01000293,A1,1,1,1.0
E01000295,A1,1,1,1.0
E01000296,A1,1,1,1.0
E01000301,A1,1,1,1.0
E01000303,A1,3,3,1.0
E01000304,A1,4,2,2.0
E01000305,A1,2,2,1.0
E01000311,A1,2,2,1.0
E01000318,A1,1,1,1.0
E01000324,A1,1,1,1.0
E01000326,A1,1,1,1.0
E01000335,A1,3,3,1.0
E01000343,A1,1,1,1.0
E01000344,A1,1,1,1.0
E01000349,A1,1,1,1.0
E01000367,A1,1,1,1.0
E01000373,A1,2,2,1.0
E01000378,A1,1,1,1.0
E01000390,A1,1,1,1.0
E01000401,A1,1,1,1.0
E01000408,A1,1,1,1.0
E01000414,A1,1,1,1.0
E01000417,A1,6,4,1.5
E01000419,A1,1,1,1.0
E01000425,A1,1,1,1.0
E01000427,A1,1,1,1.0
E01000454,A1,1,1,1.0
E01000459,A1,1,1,1.0
E01000477,A1,1,1,1.0
E01000482,A1,1,1,1.0
E01000484,A1,2,2,1.0
E01000491,A1,1,1,1.0
E01000516,A1,1,1,1.0
E01000528,A1,1,1,1.0
E01000539,A1,1,1,1.0
E01000548,A1,1,1,1.0
E01000581,A1,1,1,1.0
E01000583,A1,1,1,1.0
E01000600,A1,2,2,1.0
E01000602,A1,3,2,1.5
E01000615,A1,1,1,1.0
E01000622,A1,1,1,1.0
E01000624,A1,1,1,1.0
E01000645,A1,9,9,1.0
E01000646,A1,7,6,1.1666666666666667
E01000647,A1,12,10,1.2
E01000648,A1,7,6,1.1666666666666667
E01000649,A1,12,11,1.0909090909090908
E01000650,A1,6,6,1.0
E01000651,A1,7,6,1.1666666666666667
E01000652,A1,11,9,1.2222222222222223
E01000653,A1,5,5,1.0
E01000654,A1,25,20,1.25
E01000655,A1,22,15,1.4666666666666666
E01000656,A1,13,12,1.0833333333333333
E01000657,A1,6,6,1.0
E01000658,A1,2,1,2.0
E01000659,A1,3,3,1.0
E01000661,A1,3,3,1.0
E01000662,A1,5,5,1.0
E01000663,A1,10,9,1.1111111111111112
E01000664,A1,9,7,1.2857142857142858
E01000665,A1,14,12,1.1666666666666667
E01000666,A1,10,10,1.0
E01000667,A1,10,10,1.0
E01000668,A1,9,8,1.125
E01000669,A1,11,11,1.0
E01000670,A1,4,4,1.0
E01000671,A1,6,6,1.0
E01000672,A1,4,3,1.3333333333333333
E01000673,A1,10,8,1.25
E01000674,A1,9,8,1.125
E01000675,A1,8,7,1.1428571428571428
E01000676,A1,16,11,1.4545454545454546
E01000677,A1,15,11,1.3636363636363635
E01000678,A1,5,5,1.0
E01000679,A1,3,3,1.0
E01000680,A1,19,15,1.2666666666666666
E01000681,A1,1,1,1.0
E01000682,A1,6,6,1.0
E01000683,A1,6,5,1.2
E01000684,A1,3,3,1.0
E01000685,A1,8,7,1.1428571428571428
E01000686,A1,6,6,1.0
E01000687,A1,16,7,2.2857142857142856
E01000688,A1,6,5,1.2
E01000689,A1,21,13,1.6153846153846154
E01000690,A1,3,3,1.0
E01000691,A1,12,10,1.2
E01000692,A1,8,8,1.0
E01000693,A1,16,15,1.0666666666666667
E01000694,A1,7,7,1.0
E01000695,A1,11,11,1.0
E01000696,A1,15,14,1.0714285714285714
E01000697,A1,10,10,1.0
E01000698,A1,9,9,1.0
E01000699,A1,6,6,1.0
E01000700,A1,4,3,1.3333333333333333
E01000701,A1,9,8,1.125
E01000702,A1,2,2,1.0
E01000703,A1,5,3,1.6666666666666667
E01000704,A1,5,5,1.0
E01000705,A1,9,6,1.5
E01000706,A1,10,9,1.1111111111111112
E01000707,A1,7,7,1.0
E01000708,A1,12,10,1.2
E01000709,A1,5,5,1.0
E01000710,A1,23,21,1.0952380952380953
E01000711,A1,6,5,1.2
E01000712,A1,8,7,1.1428571428571428
E01000713,A1,12,11,1.0909090909090908
E01000714,A1,9,9,1.0
E01000715,A1,10,9,1.1111111111111112
E01000716,A1,5,5,1.0
E01000717,A1,9,9,1.0
E01000718,A1,25,24,1.0416666666666667
E01000719,A1,6,6,1.0
E01000720,A1,38,24,1.5833333333333333
E01000721,A1,4,4,1.0
E01000722,A1,10,8,1.25
E01000723,A1,6,4,1.5
E01000724,A1,13,11,1.1818181818181819
E01000725,A1,23,21,1.0952380952380953
E01000726,A1,15,11,1.3636363636363635
E01000727,A1,9,9,1.0
E01000728,A1,19,8,2.375
E01000729,A1,10,9,1.1111111111111112
E01000730,A1,5,5,1.0
E01000731,A1,8,8,1.0
E01000732,A1,3,3,1.0
E01000733,A1,9,4,2.25
E01000734,A1,2,2,1.0
E01000735,A1,17,10,1.7
E01000736,A1,8,8,1.0
E01000737,A1,6,6,1.0
E01000738,A1,8,8,1.0
E01000739,A1,14,11,1.2727272727272727
E01000740,A1,15,13,1.1538461538461537
E01000741,A1,15,9,1.6666666666666667
E01000742,A1,11,9,1.2222222222222223
E01000743,A1,13,13,1.0
E01000744,A1,33,15,2.2
E01000745,A1,9,9,1.0
E01000746,A1,6,6,1.0
E01000747,A1,14,12,1.1666666666666667
E01000748,A1,19,7,2.7142857142857144
E01000749,A1,18,16,1.125
E01000750,A1,8,6,1.3333333333333333
E01000751,A1,2,2,1.0
E01000752,A1,10,9,1.1111111111111112
E01000753,A1,1,1,1.0
E01000754,A1,5,5,1.0
E01000755,A1,3,3,1.0
E01000756,A1,6,6,1.0
E01000757,A1,8,7,1.1428571428571428
E01000758,A1,4,4,1.0
E01000759,A1,14,12,1.1666666666666667
E01000760,A1,7,7,1.0
E01000761,A1,5,4,1.25
E01000762,A1,5,5,1.0
E01000763,A1,3,3,1.0
E01000764,A1,8,8,1.0
E01000765,A1,23,20,1.15
E01000766,A1,6,6,1.0
E01000767,A1,10,10,1.0
E01000768,A1,7,7,1.0
E01000769,A1,8,8,1.0
E01000770,A1,9,8,1.125
E01000771,A1,18,17,1.0588235294117647
