period,LSOA,SHEF_B,report_count,user_count,average
2015,95XX19W1,Street Lights,1,1,1.0
2015,95XX20S1,Dog Fouling,1,1,1.0
2015,95XX20S1,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,95XX20S2,Bus Stops Damage,1,1,1.0
2015,95XX24S1,Street Lights,1,1,1.0
2015,95YY01W1,Road Surface Defects,1,1,1.0
2015,95YY05W1,Street Lights,1,1,1.0
2015,95YY07W1,Highways Enquiries,1,1,1.0
2015,95YY09W1,Street Lights,1,1,1.0
2015,95YY20W1,Road Surface Defects,1,1,1.0
2015,E01000001,Open Spaces/Parks,1,1,1.0
2015,E01000001,Pavement /Footway Defects,1,1,1.0
2015,E01000001,Road Safety,2,1,2.0
2015,E01000001,Road Surface Defects,1,1,1.0
2015,E01000001,Rubbish,1,1,1.0
2015,E01000002,Rubbish,2,1,2.0
2015,E01000002,Street Lights,1,1,1.0
2015,E01000003,Rubbish,2,1,2.0
2015,E01000005,Road Surface Defects,3,2,1.5
2015,E01000006,Road Surface Defects,1,1,1.0
2015,E01000006,Rubbish,2,1,2.0
2015,E01000007,Abandoned Vehicles,1,1,1.0
2015,E01000007,Road Safety,1,1,1.0
2015,E01000007,Road Surface Defects,1,1,1.0
2015,E01000008,Parking,1,1,1.0
2015,E01000008,Pavement /Footway Defects,1,1,1.0
2015,E01000009,Abandoned Vehicles,1,1,1.0
2015,E01000009,Road Surface Defects,2,1,2.0
2015,E01000010,Other,1,1,1.0
2015,E01000010,Road Surface Defects,6,1,6.0
2015,E01000010,Rubbish,7,4,1.75
2015,E01000010,Street Lights,2,2,1.0
2015,E01000012,Road Surface Defects,2,1,2.0
2015,E01000012,Rubbish,1,1,1.0
2015,E01000022,Other,1,1,1.0
2015,E01000022,Road Surface Defects,1,1,1.0
2015,E01000023,Abandoned Vehicles,1,1,1.0
2015,E01000023,Other,1,1,1.0
2015,E01000023,Parking,1,1,1.0
2015,E01000030,Road Surface Defects,1,1,1.0
2015,E01000031,Road Safety,1,1,1.0
2015,E01000033,Parking,1,1,1.0
2015,E01000037,Parking,1,1,1.0
2015,E01000038,Parking,24,1,24.0
2015,E01000038,Pavement /Footway Defects,3,1,3.0
2015,E01000040,Highways Enquiries,3,1,3.0
2015,E01000040,Other,1,1,1.0
2015,E01000040,Rubbish,16,1,16.0
2015,E01000040,Street Furniture,1,1,1.0
2015,E01000042,Open Spaces/Parks,1,1,1.0
2015,E01000042,Other,1,1,1.0
2015,E01000042,Rubbish,2,1,2.0
2015,E01000042,Street Lights,3,1,3.0
2015,E01000043,Road Surface Defects,1,1,1.0
2015,E01000044,Pavement /Footway Defects,1,1,1.0
2015,E01000044,Road Surface Defects,1,1,1.0
2015,E01000044,Rubbish,1,1,1.0
2015,E01000044,Street Lights,2,1,2.0
2015,E01000045,Parking,1,1,1.0
2015,E01000049,Rubbish,1,1,1.0
2015,E01000050,Other,1,1,1.0
2015,E01000050,Parking,1,1,1.0
2015,E01000050,Pavement /Footway Defects,1,1,1.0
2015,E01000050,Road Surface Defects,5,1,5.0
2015,E01000050,Rubbish,2,1,2.0
2015,E01000052,Parking,2,2,1.0
2015,E01000052,Pavement /Footway Defects,1,1,1.0
2015,E01000052,Rubbish,2,1,2.0
2015,E01000053,Street Lights,1,1,1.0
2015,E01000060,Other,1,1,1.0
2015,E01000060,Parking,13,1,13.0
2015,E01000060,Rubbish,6,1,6.0
2015,E01000061,Parking,1,1,1.0
2015,E01000062,Street Lights,1,1,1.0
2015,E01000065,Road Surface Defects,1,1,1.0
2015,E01000066,Rubbish,1,1,1.0
2015,E01000068,Pavement /Footway Defects,1,1,1.0
2015,E01000068,Rubbish,4,1,4.0
2015,E01000070,Other,1,1,1.0
2015,E01000070,Road Surface Defects,1,1,1.0
2015,E01000070,Rubbish,1,1,1.0
2015,E01000071,Abandoned Vehicles,1,1,1.0
2015,E01000071,Other,2,2,1.0
2015,E01000071,Road Surface Defects,1,1,1.0
2015,E01000072,Abandoned Vehicles,2,1,2.0
2015,E01000072,Other,1,1,1.0
2015,E01000072,Road Safety,1,1,1.0
2015,E01000072,Rubbish,1,1,1.0
