period,LSOA,SHEF_B,report_count,user_count,average
2017-8,E01000177,Road Surface Defects,3,2,1.5
2017-8,E01000178,Highways Enquiries,1,1,1.0
2017-8,E01000178,Rubbish,1,1,1.0
2017-8,E01000179,Abandoned Vehicles,1,1,1.0
2017-8,E01000181,Rubbish,1,1,1.0
2017-8,E01000183,Pavement /Footway Defects,1,1,1.0
2017-8,E01000186,Pavement /Footway Defects,1,1,1.0
2017-8,E01000188,Rubbish,3,2,1.5
2017-8,E01000190,Highways Enquiries,1,1,1.0
2017-8,E01000190,Pavement /Footway Defects,2,2,1.0
2017-8,E01000192,Pavement /Footway Defects,1,1,1.0
2017-8,E01000192,Road Safety,1,1,1.0
2017-8,E01000192,Rubbish,2,2,1.0
2017-8,E01000197,Pavement /Footway Defects,1,1,1.0
2017-8,E01000198,Pavement /Footway Defects,1,1,1.0
2017-8,E01000202,Rubbish,1,1,1.0
2017-8,E01000203,Highways Enquiries,1,1,1.0
2017-8,E01000205,Bin Replacement,1,1,1.0
2017-8,E01000205,Rubbish,1,1,1.0
2017-8,E01000206,Pavement /Footway Defects,1,1,1.0
2017-8,E01000207,Road Surface Defects,1,1,1.0
2017-8,E01000208,Pavement /Footway Defects,1,1,1.0
2017-8,E01000211,Rubbish,1,1,1.0
2017-8,E01000212,Highways Enquiries,1,1,1.0
2017-8,E01000214,Road Surface Defects,1,1,1.0
2017-8,E01000223,Rubbish,4,2,2.0
2017-8,E01000224,Rubbish,4,2,2.0
2017-8,E01000226,Rubbish,1,1,1.0
2017-8,E01000227,Highways Enquiries,3,3,1.0
2017-8,E01000227,Pavement /Footway Defects,1,1,1.0
2017-8,E01000229,Pavement /Footway Defects,1,1,1.0
2017-8,E01000230,Road Safety,1,1,1.0
2017-8,E01000234,Rubbish,1,1,1.0
2017-8,E01000238,Rubbish,1,1,1.0
2017-8,E01000241,Rubbish,1,1,1.0
2017-8,E01000244,Rubbish,1,1,1.0
2017-8,E01000245,Rubbish,1,1,1.0
2017-8,E01000246,Pavement /Footway Defects,1,1,1.0
2017-8,E01000247,Abandoned Vehicles,1,1,1.0
2017-8,E01000247,Rubbish,1,1,1.0
2017-8,E01000250,Gritting,1,1,1.0
2017-8,E01000250,Incivilities,3,1,3.0
