lad,SHEF_A_CODE,reports,unique_users,average_per_user
E07000210,A1,2,2,1.0
E07000211,A1,3,3,1.0
E07000213,A1,5,5,1.0
E07000214,A1,1,1,1.0
E07000215,A1,2,1,2.0
E07000216,A1,1,1,1.0
E07000217,A1,3,3,1.0
E07000221,A1,1,1,1.0
E07000223,A1,2,2,1.0
E07000224,A1,4,4,1.0
E07000225,A1,2,2,1.0
E07000226,A1,3,3,1.0
E07000227,A1,5,5,1.0
E07000228,A1,2,2,1.0
E07000229,A1,3,3,1.0
E07000234,A1,4,4,1.0
E07000236,A1,1,1,1.0
E07000238,A1,1,1,1.0
E07000240,A1,2,2,1.0
E07000241,A1,5,4,1.25
E07000242,A1,5,5,1.0
E07000243,A1,2,2,1.0
E07000244,A1,2,2,1.0
E07000245,A1,2,2,1.0
E08000001,A1,4,4,1.0
E08000002,A1,2,2,1.0
E08000003,A1,3,3,1.0
E08000005,A1,3,2,1.5
E08000006,A1,7,6,1.1666666666666667
E08000007,A1,6,5,1.2
E08000009,A1,2,2,1.0
E08000010,A1,7,7,1.0
E08000012,A1,2,2,1.0
E08000013,A1,1,1,1.0
E08000014,A1,2,2,1.0
E08000016,A1,1,1,1.0
E08000017,A1,4,4,1.0
E08000018,A1,1,1,1.0
E08000019,A1,10,9,1.1111111111111112
E08000021,A1,2,1,2.0
E08000022,A1,4,4,1.0
E08000024,A1,2,2,1.0
E08000025,A1,22,21,1.0476190476190477
E08000026,A1,4,4,1.0
E08000027,A1,1,1,1.0
E08000028,A1,6,6,1.0
E08000029,A1,1,1,1.0
E08000030,A1,1,1,1.0
E08000032,A1,4,4,1.0
E08000033,A1,1,1,1.0
E08000034,A1,1,1,1.0
E08000035,A1,4,4,1.0
E08000036,A1,2,2,1.0
E08000037,A1,1,1,1.0
E09000001,A1,1,1,1.0
E09000002,A1,6,5,1.2
E09000003,A1,14,14,1.0
E09000004,A1,4,3,1.3333333333333333
E09000005,A1,2,2,1.0
E09000006,A1,7,7,1.0
E09000007,A1,1,1,1.0
E09000008,A1,2,2,1.0
E09000009,A1,9,9,1.0
E09000010,A1,4,4,1.0
E09000011,A1,4,3,1.3333333333333333
E09000012,A1,8,8,1.0
E09000014,A1,10,9,1.1111111111111112
E09000015,A1,5,5,1.0
E09000016,A1,1,1,1.0
E09000017,A1,11,10,1.1
E09000018,A1,14,13,1.0769230769230769
E09000019,A1,3,3,1.0
E09000021,A1,1,1,1.0
E09000022,A1,8,8,1.0
E09000023,A1,20,19,1.0526315789473684
E09000024,A1,4,4,1.0
E09000025,A1,10,5,2.0
E09000026,A1,16,16,1.0
E09000027,A1,6,6,1.0
E09000028,A1,4,4,1.0
E09000029,A1,11,10,1.1
E09000030,A1,3,3,1.0
E09000031,A1,10,10,1.0
E09000032,A1,10,9,1.1111111111111112
S12000006,A1,1,1,1.0
S12000008,A1,1,1,1.0
S12000011,A1,1,1,1.0
S12000013,A1,1,1,1.0
S12000014,A1,1,1,1.0
S12000017,A1,3,3,1.0
S12000018,A1,1,1,1.0
S12000019,A1,3,3,1.0
S12000020,A1,3,2,1.5
S12000021,A1,1,1,1.0
S12000029,A1,4,4,1.0
S12000030,A1,3,3,1.0
S12000033,A1,7,7,1.0
S12000035,A1,1,1,1.0
S12000036,A1,8,8,1.0
S12000038,A1,1,1,1.0
S12000040,A1,2,2,1.0
S12000041,A1,1,1,1.0
S12000042,A1,3,3,1.0
S12000045,A1,2,2,1.0
S12000047,A1,5,3,1.6666666666666667
S12000049,A1,24,23,1.0434782608695652
S12000050,A1,3,3,1.0
W06000001,A1,1,1,1.0
W06000002,A1,2,2,1.0
W06000008,A1,2,2,1.0
W06000009,A1,4,4,1.0
W06000011,A1,1,1,1.0
W06000012,A1,1,1,1.0
W06000013,A1,1,1,1.0
W06000014,A1,3,2,1.5
W06000015,A1,7,6,1.1666666666666667
W06000016,A1,3,2,1.5
W06000018,A1,2,2,1.0
W06000022,A1,4,3,1.3333333333333333
E06000003,A12,1,1,1.0
E06000021,A12,1,1,1.0
E06000023,A12,2,2,1.0
E06000042,A12,1,1,1.0
E06000047,A12,1,1,1.0
E06000049,A12,1,1,1.0
E06000050,A12,2,2,1.0
E06000052,A12,2,2,1.0
E07000008,A12,6,5,1.2
E07000035,A12,1,1,1.0
E07000038,A12,3,3,1.0
E07000082,A12,2,2,1.0
E07000084,A12,4,2,2.0
E07000091,A12,1,1,1.0
E07000123,A12,3,2,1.5
E07000127,A12,1,1,1.0
E07000132,A12,1,1,1.0
E07000134,A12,1,1,1.0
E07000149,A12,1,1,1.0
E07000154,A12,1,1,1.0
E07000171,A12,1,1,1.0
E07000173,A12,1,1,1.0
E07000174,A12,1,1,1.0
E07000178,A12,1,1,1.0
E07000202,A12,45,1,45.0
E07000209,A12,1,1,1.0
E07000213,A12,2,2,1.0
E07000216,A12,1,1,1.0
E07000234,A12,1,1,1.0
E08000003,A12,4,2,2.0
E08000010,A12,2,2,1.0
E08000017,A12,4,3,1.3333333333333333
