period,LAD,SHEF_A,report_count,user_count,average
2010,E06000012,Abandoned Vehicles,2,2,1.0
2010,E06000012,Dog Fouling,1,1,1.0
2010,E06000012,Fallen/Dangerous Trees,3,3,1.0
2010,E06000012,Fly-tipping,2,2,1.0
2010,E06000012,Graffiti,3,2,1.5
2010,E06000012,Highway Condition,10,7,1.4285714285714286
2010,E06000012,Open Spaces/Parks,1,1,1.0
2010,E06000012,Other,6,6,1.0
2010,E06000012,Parking,1,1,1.0
2010,E06000012,Pavement /Footway Defects,2,2,1.0
2010,E06000012,Potholes,13,10,1.3
2010,E06000012,Rubbish,4,4,1.0
2010,E06000012,Street Cleaning,3,3,1.0
2010,E06000012,Street Lights,3,3,1.0
2010,E06000012,Street Signs,1,1,1.0
2010,E06000013,Abandoned Vehicles,1,1,1.0
2010,E06000013,Dog Fouling,2,2,1.0
2010,E06000013,Fly-tipping,1,1,1.0
2010,E06000013,Highway Condition,7,6,1.1666666666666667
2010,E06000013,Other,7,7,1.0
2010,E06000013,Parking,3,2,1.5
2010,E06000013,Pavement /Footway Defects,3,3,1.0
2010,E06000013,Potholes,16,9,1.7777777777777777
2010,E06000013,Street Lights,6,6,1.0
2010,E06000014,Abandoned Vehicles,1,1,1.0
2010,E06000014,Dog Fouling,1,1,1.0
2010,E06000014,Fallen/Dangerous Trees,2,2,1.0
2010,E06000014,Fly-tipping,1,1,1.0
2010,E06000014,Flyposting,2,2,1.0
2010,E06000014,Graffiti,4,4,1.0
2010,E06000014,Highway Condition,6,5,1.2
2010,E06000014,Other,10,9,1.1111111111111112
2010,E06000014,Parking,4,4,1.0
2010,E06000014,Pavement /Footway Defects,6,6,1.0
2010,E06000014,Potholes,45,30,1.5
2010,E06000014,Rubbish,4,4,1.0
2010,E06000014,Street Cleaning,1,1,1.0
2010,E06000014,Street Lights,9,8,1.125
2010,E06000014,Street Name Plates,5,1,5.0
2010,E06000014,Street Signs,1,1,1.0
2010,E06000014,Traffic Lights,9,5,1.8
2010,E06000015,Abandoned Vehicles,1,1,1.0
2010,E06000015,Dog Fouling,3,3,1.0
2010,E06000015,Fallen/Dangerous Trees,2,2,1.0
2010,E06000015,Fly-tipping,9,4,2.25
2010,E06000015,Graffiti,3,3,1.0
2010,E06000015,Highway Condition,8,7,1.1428571428571428
2010,E06000015,Open Spaces/Parks,2,2,1.0
2010,E06000015,Other,17,15,1.1333333333333333
2010,E06000015,Parking,8,7,1.1428571428571428
2010,E06000015,Pavement /Footway Defects,3,3,1.0
2010,E06000015,Potholes,23,18,1.2777777777777777
2010,E06000015,Rubbish,7,6,1.1666666666666667
2010,E06000015,Street Cleaning,4,3,1.3333333333333333
2010,E06000015,Street Lights,14,13,1.0769230769230769
2010,E06000015,Street Name Plates,3,3,1.0
2010,E06000015,Street Signs,2,2,1.0
2010,E06000015,Traffic Lights,5,2,2.5
2010,E06000016,Bus Stops Damage,1,1,1.0
2010,E06000016,Dog Fouling,2,2,1.0
2010,E06000016,Fly-tipping,5,5,1.0
2010,E06000016,Graffiti,5,4,1.25
2010,E06000016,Highway Condition,12,10,1.2
2010,E06000016,Open Spaces/Parks,1,1,1.0
2010,E06000016,Other,19,16,1.1875
2010,E06000016,Parking,8,8,1.0
2010,E06000016,Pavement /Footway Defects,9,8,1.125
2010,E06000016,Potholes,62,46,1.3478260869565217
2010,E06000016,Rubbish,5,4,1.25
2010,E06000016,Street Cleaning,3,3,1.0
2010,E06000016,Street Lights,5,5,1.0
2010,E06000016,Traffic Lights,3,2,1.5
2010,E06000017,Fallen/Dangerous Trees,2,2,1.0
2010,E06000017,Highway Condition,6,4,1.5
2010,E06000017,Other,1,1,1.0
2010,E06000017,Pavement /Footway Defects,1,1,1.0
2010,E06000017,Potholes,26,9,2.888888888888889
2010,E06000017,Rubbish,1,1,1.0
2010,E06000017,Street Cleaning,1,1,1.0
2010,E06000017,Street Lights,1,1,1.0
2010,E06000017,Street Signs,3,3,1.0
2010,E06000017,Traffic Lights,1,1,1.0
2010,E06000018,Abandoned Vehicles,2,2,1.0
2010,E06000018,Bus Stops Damage,1,1,1.0
2010,E06000018,Dog Fouling,8,5,1.6
2010,E06000018,Fallen/Dangerous Trees,7,5,1.4
2010,E06000018,Fly-tipping,16,9,1.7777777777777777
2010,E06000018,Flyposting,1,1,1.0
2010,E06000018,Graffiti,23,7,3.2857142857142856
2010,E06000018,Highway Condition,18,10,1.8
2010,E06000018,Open Spaces/Parks,1,1,1.0
2010,E06000018,Other,30,27,1.1111111111111112
2010,E06000018,Parking,12,11,1.0909090909090908
2010,E06000018,Pavement /Footway Defects,14,10,1.4
2010,E06000018,Potholes,24,22,1.0909090909090908
2010,E06000018,Rubbish,13,9,1.4444444444444444
2010,E06000018,Street Cleaning,14,6,2.3333333333333335
2010,E06000018,Street Lights,12,6,2.0
2010,E06000018,Street Name Plates,4,3,1.3333333333333333
2010,E06000018,Street Signs,6,3,2.0
2010,E06000018,Traffic Lights,7,7,1.0
2010,E06000019,Abandoned Vehicles,2,2,1.0
2010,E06000019,Dog Fouling,8,7,1.1428571428571428
2010,E06000019,Fallen/Dangerous Trees,4,4,1.0
2010,E06000019,Fly-tipping,10,7,1.4285714285714286
2010,E06000019,Flyposting,1,1,1.0
2010,E06000019,Graffiti,3,3,1.0
2010,E06000019,Highway Condition,28,17,1.6470588235294117
2010,E06000019,Open Spaces/Parks,4,2,2.0
2010,E06000019,Other,17,16,1.0625
2010,E06000019,Parking,5,5,1.0
2010,E06000019,Pavement /Footway Defects,14,11,1.2727272727272727
2010,E06000019,Potholes,103,69,1.4927536231884058
2010,E06000019,Rubbish,4,3,1.3333333333333333
2010,E06000019,Street Cleaning,10,6,1.6666666666666667
2010,E06000019,Street Lights,4,4,1.0
2010,E06000019,Street Name Plates,6,2,3.0
2010,E06000019,Street Signs,4,3,1.3333333333333333
2010,E06000020,Abandoned Vehicles,2,1,2.0
2010,E06000020,Dog Fouling,3,3,1.0
2010,E06000020,Fallen/Dangerous Trees,2,1,2.0
2010,E06000020,Fly-tipping,9,8,1.125
2010,E06000020,Graffiti,42,9,4.666666666666667
2010,E06000020,Highway Condition,14,9,1.5555555555555556
2010,E06000020,Open Spaces/Parks,3,3,1.0
2010,E06000020,Other,13,11,1.1818181818181819
2010,E06000020,Parking,4,4,1.0
2010,E06000020,Pavement /Footway Defects,21,16,1.3125
2010,E06000020,Potholes,66,18,3.6666666666666665
2010,E06000020,Public Toilets,1,1,1.0
2010,E06000020,Rubbish,9,8,1.125
2010,E06000020,Street Cleaning,13,3,4.333333333333333
2010,E06000020,Street Lights,57,37,1.5405405405405406
2010,E06000020,Street Name Plates,5,5,1.0
2010,E06000020,Street Signs,7,4,1.75
2010,E06000020,Traffic Lights,1,1,1.0
2010,E06000021,Abandoned Vehicles,1,1,1.0
2010,E06000021,Bus Stops Damage,2,2,1.0
2010,E06000021,Dog Fouling,6,6,1.0
2010,E06000021,Fallen/Dangerous Trees,1,1,1.0
2010,E06000021,Fly-tipping,22,14,1.5714285714285714
2010,E06000021,Graffiti,5,3,1.6666666666666667
2010,E06000021,Highway Condition,27,22,1.2272727272727273
2010,E06000021,Open Spaces/Parks,8,4,2.0
2010,E06000021,Other,37,30,1.2333333333333334
2010,E06000021,Parking,23,12,1.9166666666666667
2010,E06000021,Pavement /Footway Defects,16,15,1.0666666666666667
2010,E06000021,Potholes,60,22,2.727272727272727
2010,E06000021,Public Toilets,1,1,1.0
2010,E06000021,Rubbish,15,14,1.0714285714285714
2010,E06000021,Street Cleaning,1,1,1.0
2010,E06000021,Street Lights,10,10,1.0
2010,E06000021,Street Signs,4,2,2.0
2010,E06000021,Traffic Lights,4,3,1.3333333333333333
2010,E06000022,Bus Stops Damage,1,1,1.0
2010,E06000022,Dog Fouling,3,3,1.0
2010,E06000022,Fallen/Dangerous Trees,3,3,1.0
2010,E06000022,Fly-tipping,7,6,1.1666666666666667
2010,E06000022,Flyposting,1,1,1.0
2010,E06000022,Highway Condition,17,15,1.1333333333333333
2010,E06000022,Open Spaces/Parks,3,2,1.5
2010,E06000022,Other,9,9,1.0
2010,E06000022,Parking,3,2,1.5
2010,E06000022,Pavement /Footway Defects,12,9,1.3333333333333333
2010,E06000022,Potholes,49,24,2.0416666666666665
2010,E06000022,Public Toilets,1,1,1.0
2010,E06000022,Rubbish,6,5,1.2
2010,E06000022,Street Cleaning,1,1,1.0
2010,E06000022,Street Lights,5,5,1.0
2010,E06000022,Street Signs,12,6,2.0
2010,E06000023,Abandoned Vehicles,19,18,1.0555555555555556
2010,E06000023,Dog Fouling,10,9,1.1111111111111112
2010,E06000023,Fallen/Dangerous Trees,10,9,1.1111111111111112
2010,E06000023,Fly-tipping,18,15,1.2
2010,E06000023,Graffiti,16,14,1.1428571428571428
2010,E06000023,Highway Condition,49,29,1.6896551724137931
2010,E06000023,Open Spaces/Parks,10,7,1.4285714285714286
2010,E06000023,Other,32,29,1.103448275862069
2010,E06000023,Parking,23,22,1.0454545454545454
2010,E06000023,Pavement /Footway Defects,40,32,1.25
2010,E06000023,Potholes,63,42,1.5
2010,E06000023,Rubbish,20,19,1.0526315789473684
2010,E06000023,Street Cleaning,8,7,1.1428571428571428
2010,E06000023,Street Lights,27,21,1.2857142857142858
2010,E06000023,Street Name Plates,2,2,1.0
2010,E06000023,Street Signs,10,9,1.1111111111111112
2010,E06000023,Traffic Lights,7,6,1.1666666666666667
2010,E06000024,Abandoned Vehicles,5,5,1.0
2010,E06000024,Dog Fouling,4,4,1.0
2010,E06000024,Fallen/Dangerous Trees,6,5,1.2
2010,E06000024,Fly-tipping,3,3,1.0
2010,E06000024,Graffiti,12,4,3.0
2010,E06000024,Highway Condition,36,22,1.6363636363636365
2010,E06000024,Other,15,11,1.3636363636363635
2010,E06000024,Parking,4,4,1.0
2010,E06000024,Pavement /Footway Defects,19,11,1.7272727272727273
2010,E06000024,Potholes,108,51,2.1176470588235294
2010,E06000024,Rubbish,7,7,1.0
2010,E06000024,Street Cleaning,1,1,1.0
2010,E06000024,Street Lights,16,13,1.2307692307692308
2010,E06000024,Street Name Plates,3,3,1.0
2010,E06000024,Street Signs,5,5,1.0
2010,E06000024,Traffic Lights,2,2,1.0
2010,E06000025,Abandoned Vehicles,2,2,1.0
2010,E06000025,Bus Stops Damage,1,1,1.0
2010,E06000025,Dog Fouling,2,2,1.0
2010,E06000025,Fly-tipping,11,6,1.8333333333333333
2010,E06000025,Graffiti,1,1,1.0
2010,E06000025,Highway Condition,21,18,1.1666666666666667
2010,E06000025,Open Spaces/Parks,1,1,1.0
2010,E06000025,Other,10,9,1.1111111111111112
2010,E06000025,Parking,6,6,1.0
2010,E06000025,Pavement /Footway Defects,5,5,1.0
2010,E06000025,Potholes,31,21,1.4761904761904763
2010,E06000025,Rubbish,2,2,1.0
