lad,SHEF_B_CODE,reports,unique_users,average_per_user
N09000011,B1,1,1,1.0
S12000005,B1,1,1,1.0
S12000011,B1,2,1,2.0
S12000017,B1,4,4,1.0
S12000021,B1,2,2,1.0
S12000026,B1,1,1,1.0
S12000028,B1,1,1,1.0
S12000029,B1,5,5,1.0
S12000030,B1,1,1,1.0
S12000033,B1,7,5,1.4
S12000034,B1,1,1,1.0
S12000035,B1,2,2,1.0
S12000036,B1,16,13,1.2307692307692308
S12000038,B1,3,3,1.0
S12000039,B1,2,2,1.0
S12000040,B1,2,2,1.0
S12000041,B1,1,1,1.0
S12000042,B1,2,1,2.0
S12000047,B1,6,6,1.0
S12000049,B1,10,10,1.0
S12000050,B1,2,2,1.0
W06000001,B1,1,1,1.0
W06000002,B1,2,2,1.0
W06000003,B1,2,2,1.0
W06000005,B1,1,1,1.0
W06000006,B1,2,2,1.0
W06000009,B1,1,1,1.0
W06000010,B1,2,2,1.0
W06000011,B1,2,2,1.0
W06000012,B1,2,2,1.0
W06000013,B1,1,1,1.0
W06000016,B1,3,3,1.0
W06000018,B1,1,1,1.0
W06000019,B1,2,2,1.0
W06000020,B1,2,2,1.0
W06000022,B1,3,3,1.0
E09000006,B10,1,1,1.0
E09000003,B11,27,26,1.0384615384615385
E09000005,B11,1,1,1.0
E09000006,B11,1,1,1.0
E09000007,B11,1,1,1.0
E09000008,B11,1,1,1.0
E09000017,B11,1,1,1.0
E09000022,B11,2,1,2.0
E09000025,B11,1,1,1.0
E09000031,B11,1,1,1.0
E09000033,B11,1,1,1.0
E06000037,B12,1,1,1.0
E07000085,B12,4,4,1.0
E09000003,B12,54,54,1.0
E06000001,B13,3,2,1.5
E06000002,B13,4,4,1.0
E06000003,B13,8,8,1.0
E06000004,B13,5,5,1.0
E06000005,B13,11,8,1.375
E06000006,B13,9,7,1.2857142857142858
E06000007,B13,22,18,1.2222222222222223
E06000008,B13,44,26,1.6923076923076923
E06000009,B13,34,23,1.4782608695652173
E06000010,B13,8,7,1.1428571428571428
E06000011,B13,71,35,2.0285714285714285
