period,LAD,SHEF_B_CODE,report_count,user_count,average
2018-2,E06000006,B15,1,1,1.0
2018-2,E06000006,B16,2,2,1.0
2018-2,E06000006,B18,1,1,1.0
2018-2,E06000006,B24,1,1,1.0
2018-2,E06000006,B25,6,5,1.2
2018-2,E06000006,B26,5,4,1.25
2018-2,E06000006,B28,1,1,1.0
2018-2,E06000006,B4,1,1,1.0
2018-2,E06000007,B1,1,1,1.0
2018-2,E06000007,B16,1,1,1.0
2018-2,E06000007,B18,1,1,1.0
2018-2,E06000007,B19,1,1,1.0
2018-2,E06000007,B24,1,1,1.0
2018-2,E06000007,B25,13,10,1.3
2018-2,E06000007,B26,4,4,1.0
2018-2,E06000007,B27,1,1,1.0
2018-2,E06000008,B14,1,1,1.0
2018-2,E06000008,B15,1,1,1.0
2018-2,E06000008,B16,1,1,1.0
2018-2,E06000008,B18,3,3,1.0
2018-2,E06000008,B24,2,2,1.0
2018-2,E06000008,B25,18,15,1.2
2018-2,E06000008,B26,9,8,1.125
2018-2,E06000008,B28,2,2,1.0
2018-2,E06000009,B1,2,2,1.0
2018-2,E06000009,B13,1,1,1.0
2018-2,E06000009,B19,4,4,1.0
2018-2,E06000009,B24,1,1,1.0
2018-2,E06000009,B25,4,4,1.0
2018-2,E06000009,B26,3,3,1.0
2018-2,E06000009,B6,1,1,1.0
2018-2,E06000010,B13,3,3,1.0
2018-2,E06000010,B14,8,1,8.0
2018-2,E06000010,B15,2,2,1.0
2018-2,E06000010,B16,32,2,16.0
2018-2,E06000010,B18,2,2,1.0
2018-2,E06000010,B19,2,2,1.0
2018-2,E06000010,B24,1,1,1.0
2018-2,E06000010,B25,10,7,1.4285714285714286
2018-2,E06000010,B26,9,3,3.0
2018-2,E06000010,B28,50,2,25.0
2018-2,E06000010,B4,1,1,1.0
2018-2,E06000010,B6,1,1,1.0
2018-2,E06000010,B7,2,2,1.0
2018-2,E06000011,B1,1,1,1.0
2018-2,E06000011,B16,1,1,1.0
2018-2,E06000011,B25,4,4,1.0
2018-2,E06000011,B26,2,2,1.0
2018-2,E06000011,B28,1,1,1.0
2018-2,E06000012,B18,2,2,1.0
2018-2,E06000012,B25,6,4,1.5
2018-2,E06000013,B13,1,1,1.0
2018-2,E06000013,B16,1,1,1.0
2018-2,E06000013,B25,17,12,1.4166666666666667
2018-2,E06000013,B26,1,1,1.0
2018-2,E06000013,B28,2,2,1.0
2018-2,E06000014,B13,7,2,3.5
2018-2,E06000014,B16,1,1,1.0
2018-2,E06000014,B18,1,1,1.0
2018-2,E06000014,B19,2,1,2.0
2018-2,E06000014,B24,1,1,1.0
2018-2,E06000014,B25,17,11,1.5454545454545454
2018-2,E06000015,B1,4,3,1.3333333333333333
2018-2,E06000015,B13,5,5,1.0
2018-2,E06000015,B15,1,1,1.0
2018-2,E06000015,B16,1,1,1.0
2018-2,E06000015,B19,1,1,1.0
2018-2,E06000015,B24,3,3,1.0
2018-2,E06000015,B25,13,10,1.3
2018-2,E06000015,B26,5,4,1.25
2018-2,E06000015,B28,1,1,1.0
2018-2,E06000015,B6,3,3,1.0
2018-2,E06000016,B1,3,3,1.0
2018-2,E06000016,B13,1,1,1.0
2018-2,E06000016,B14,3,2,1.5
2018-2,E06000016,B16,1,1,1.0
2018-2,E06000016,B18,6,6,1.0
2018-2,E06000016,B19,1,1,1.0
2018-2,E06000016,B24,1,1,1.0
2018-2,E06000016,B25,9,5,1.8
2018-2,E06000016,B26,10,5,2.0
2018-2,E06000017,B13,1,1,1.0
2018-2,E06000017,B25,9,5,1.8
2018-2,E06000017,B26,1,1,1.0
2018-2,E06000017,B28,1,1,1.0
2018-2,E06000018,B13,12,10,1.2
2018-2,E06000018,B14,1,1,1.0
2018-2,E06000018,B16,1,1,1.0
2018-2,E06000018,B18,7,3,2.3333333333333335
2018-2,E06000018,B19,2,2,1.0
2018-2,E06000018,B24,1,1,1.0
2018-2,E06000018,B25,8,6,1.3333333333333333
2018-2,E06000018,B26,3,3,1.0
2018-2,E06000018,B6,1,1,1.0
2018-2,E06000019,B1,2,2,1.0
2018-2,E06000019,B13,14,7,2.0
2018-2,E06000019,B14,1,1,1.0
2018-2,E06000019,B15,1,1,1.0
2018-2,E06000019,B16,1,1,1.0
2018-2,E06000019,B18,2,2,1.0
2018-2,E06000019,B19,2,2,1.0
2018-2,E06000019,B23,2,2,1.0
2018-2,E06000019,B25,49,21,2.3333333333333335
2018-2,E06000019,B26,2,2,1.0
2018-2,E06000019,B27,1,1,1.0
