lad,SHEF_B_CODE,reports,unique_users,average_per_user
W06000006,B1,1,1,1.0
W06000011,B1,1,1,1.0
W06000014,B1,1,1,1.0
W06000023,B1,1,1,1.0
E09000006,B10,9,9,1.0
E07000044,B12,1,1,1.0
E07000219,B12,1,1,1.0
E07000220,B12,3,3,1.0
E09000003,B12,1,1,1.0
E06000001,B13,1,1,1.0
E06000002,B13,3,2,1.5
E06000003,B13,1,1,1.0
E06000004,B13,2,2,1.0
E06000006,B13,6,5,1.2
E06000007,B13,4,4,1.0
E06000008,B13,1,1,1.0
E06000009,B13,2,2,1.0
E06000011,B13,1,1,1.0
E06000013,B13,2,2,1.0
E06000015,B13,3,3,1.0
E06000017,B13,21,2,10.5
E06000018,B13,11,6,1.8333333333333333
E06000019,B13,2,2,1.0
E06000021,B13,1,1,1.0
E06000022,B13,3,3,1.0
E06000023,B13,44,12,3.6666666666666665
E06000024,B13,1,1,1.0
E06000025,B13,8,5,1.6
E06000026,B13,5,5,1.0
E06000027,B13,3,3,1.0
E06000030,B13,1,1,1.0
E06000031,B13,1,1,1.0
E06000032,B13,2,2,1.0
E06000034,B13,2,1,2.0
E06000035,B13,4,4,1.0
E06000036,B13,1,1,1.0
E06000038,B13,1,1,1.0
E06000040,B13,4,4,1.0
E06000041,B13,5,5,1.0
E06000042,B13,9,7,1.2857142857142858
E06000044,B13,2,2,1.0
E06000045,B13,8,7,1.1428571428571428
E06000046,B13,3,3,1.0
E06000047,B13,3,3,1.0
E06000049,B13,15,12,1.25
E06000050,B13,6,6,1.0
E06000051,B13,5,5,1.0
E06000052,B13,13,10,1.3
E06000054,B13,9,7,1.2857142857142858
E06000056,B13,4,4,1.0
E06000057,B13,5,5,1.0
E06000058,B13,6,5,1.2
E06000059,B13,7,6,1.1666666666666667
E06000060,B13,12,11,1.0909090909090908
E07000008,B13,10,9,1.1111111111111112
E07000010,B13,1,1,1.0
E07000011,B13,8,5,1.6
E07000012,B13,6,6,1.0
E07000026,B13,1,1,1.0
E07000029,B13,1,1,1.0
E07000031,B13,3,3,1.0
E07000032,B13,5,5,1.0
E07000033,B13,2,2,1.0
E07000034,B13,2,1,2.0
E07000035,B13,3,3,1.0
E07000036,B13,3,2,1.5
E07000038,B13,4,4,1.0
E07000061,B13,4,4,1.0
E07000062,B13,6,6,1.0
E07000063,B13,10,10,1.0
E07000064,B13,17,17,1.0
E07000065,B13,34,28,1.2142857142857142
E07000066,B13,2,2,1.0
E07000068,B13,1,1,1.0
E07000070,B13,2,2,1.0
E07000071,B13,9,6,1.5
E07000074,B13,3,2,1.5
E07000075,B13,4,4,1.0
E07000076,B13,1,1,1.0
E07000077,B13,3,3,1.0
E07000078,B13,6,5,1.2
E07000079,B13,7,2,3.5
E07000080,B13,1,1,1.0
E07000081,B13,1,1,1.0
E07000082,B13,2,1,2.0
E07000083,B13,1,1,1.0
E07000084,B13,2,2,1.0
E07000085,B13,2,2,1.0
E07000086,B13,3,2,1.5
E07000087,B13,1,1,1.0
E07000088,B13,1,1,1.0
E07000089,B13,13,12,1.0833333333333333
E07000090,B13,1,1,1.0
E07000091,B13,6,6,1.0
E07000092,B13,3,3,1.0
E07000093,B13,2,2,1.0
E07000094,B13,3,3,1.0
E07000096,B13,5,4,1.25
E07000098,B13,1,1,1.0
E07000099,B13,3,3,1.0
E07000102,B13,5,3,1.6666666666666667
E07000103,B13,3,2,1.5
E07000105,B13,2,2,1.0
E07000106,B13,1,1,1.0
E07000107,B13,7,2,3.5
E07000110,B13,1,1,1.0
E07000111,B13,8,4,2.0
E07000112,B13,3,3,1.0
E07000113,B13,2,2,1.0
E07000114,B13,7,6,1.1666666666666667
E07000115,B13,1,1,1.0
E07000116,B13,2,2,1.0
E07000118,B13,2,2,1.0
E07000119,B13,3,3,1.0
E07000120,B13,1,1,1.0
E07000121,B13,4,4,1.0
E07000122,B13,1,1,1.0
E07000123,B13,3,2,1.5
E07000126,B13,3,3,1.0
E07000127,B13,3,3,1.0
E07000128,B13,1,1,1.0
E07000129,B13,1,1,1.0
