period,LAD,report_count,user_count,average
2013,E07000036,109,68,1.6029411764705883
2013,E07000037,58,50,1.16
2013,E07000038,154,74,2.081081081081081
2013,E07000039,127,70,1.8142857142857143
2013,E07000040,256,129,1.9844961240310077
2013,E07000041,74,51,1.4509803921568627
2013,E07000042,58,40,1.45
2013,E07000043,225,149,1.5100671140939597
2013,E07000044,143,72,1.9861111111111112
2013,E07000045,191,86,2.2209302325581395
2013,E07000046,129,50,2.58
2013,E07000047,38,24,1.5833333333333333
2013,E07000048,49,34,1.4411764705882353
2013,E07000049,97,56,1.7321428571428572
2013,E07000050,97,47,2.0638297872340425
2013,E07000051,57,44,1.2954545454545454
2013,E07000052,119,68,1.75
2013,E07000053,54,32,1.6875
2013,E07000061,83,49,1.6938775510204083
2013,E07000062,101,44,2.2954545454545454
2013,E07000063,103,73,1.4109589041095891
2013,E07000064,163,96,1.6979166666666667
2013,E07000065,375,194,1.9329896907216495
2013,E07000066,164,110,1.490909090909091
2013,E07000067,119,63,1.8888888888888888
2013,E07000068,350,71,4.929577464788732
2013,E07000069,87,50,1.74
2013,E07000070,251,134,1.873134328358209
2013,E07000071,462,153,3.019607843137255
2013,E07000072,220,99,2.2222222222222223
2013,E07000073,78,49,1.5918367346938775
2013,E07000074,30,23,1.3043478260869565
2013,E07000075,134,71,1.8873239436619718
2013,E07000076,153,64,2.390625
2013,E07000077,190,88,2.159090909090909
2013,E07000078,465,169,2.7514792899408285
2013,E07000079,230,83,2.7710843373493974
2013,E07000080,80,53,1.509433962264151
2013,E07000081,93,59,1.576271186440678
2013,E07000082,184,95,1.936842105263158
2013,E07000083,167,94,1.7765957446808511
2013,E07000084,294,122,2.4098360655737703
2013,E07000085,175,103,1.6990291262135921
2013,E07000086,146,87,1.6781609195402298
2013,E07000087,114,59,1.9322033898305084
2013,E07000088,32,28,1.1428571428571428
2013,E07000089,182,88,2.0681818181818183
2013,E07000090,75,52,1.4423076923076923
2013,E07000091,463,195,2.3743589743589744
2013,E07000092,88,45,1.9555555555555555
2013,E07000093,302,146,2.0684931506849313
2013,E07000094,330,172,1.9186046511627908
2013,E07000095,55,38,1.4473684210526316
2013,E07000096,600,263,2.2813688212927756
2013,E07000098,273,155,1.761290322580645
2013,E07000099,285,148,1.9256756756756757
2013,E07000102,197,106,1.8584905660377358
2013,E07000103,217,64,3.390625
2013,E07000105,204,112,1.8214285714285714
2013,E07000106,300,109,2.7522935779816513
2013,E07000107,460,43,10.69767441860465
2013,E07000108,103,44,2.340909090909091
2013,E07000109,86,46,1.8695652173913044
2013,E07000110,151,91,1.6593406593406594
2013,E07000111,289,117,2.47008547008547
2013,E07000112,179,79,2.2658227848101267
2013,E07000113,123,60,2.05
2013,E07000114,234,101,2.3168316831683167
2013,E07000115,144,55,2.618181818181818
2013,E07000116,157,82,1.9146341463414633
2013,E07000117,28,22,1.2727272727272727
2013,E07000118,168,87,1.9310344827586208
2013,E07000119,139,70,1.9857142857142858
2013,E07000120,68,45,1.511111111111111
2013,E07000121,307,194,1.5824742268041236
2013,E07000122,30,23,1.3043478260869565
2013,E07000123,141,76,1.855263157894737
2013,E07000124,103,51,2.019607843137255
2013,E07000125,74,36,2.0555555555555554
2013,E07000126,115,54,2.1296296296296298
2013,E07000127,193,69,2.7971014492753623
2013,E07000128,180,90,2.0
2013,E07000129,51,29,1.7586206896551724
