period,LAD,report_count,user_count,average
2017-12,E07000046,7,4,1.75
2017-12,E07000047,1,1,1.0
2017-12,E07000048,4,4,1.0
2017-12,E07000049,8,8,1.0
2017-12,E07000050,12,8,1.5
2017-12,E07000051,1,1,1.0
2017-12,E07000052,12,10,1.2
2017-12,E07000053,1,1,1.0
2017-12,E07000061,8,8,1.0
2017-12,E07000062,31,25,1.24
2017-12,E07000063,27,26,1.0384615384615385
2017-12,E07000064,80,73,1.095890410958904
2017-12,E07000065,48,41,1.170731707317073
2017-12,E07000066,20,16,1.25
2017-12,E07000067,9,8,1.125
2017-12,E07000068,24,7,3.4285714285714284
2017-12,E07000069,14,8,1.75
2017-12,E07000070,21,13,1.6153846153846154
2017-12,E07000071,32,26,1.2307692307692308
2017-12,E07000072,20,19,1.0526315789473684
2017-12,E07000073,9,5,1.8
2017-12,E07000074,9,6,1.5
2017-12,E07000075,9,6,1.5
2017-12,E07000076,11,11,1.0
2017-12,E07000077,9,8,1.125
2017-12,E07000078,15,14,1.0714285714285714
2017-12,E07000079,39,22,1.7727272727272727
2017-12,E07000080,6,6,1.0
2017-12,E07000081,13,11,1.1818181818181819
2017-12,E07000082,23,12,1.9166666666666667
2017-12,E07000083,13,10,1.3
2017-12,E07000084,40,22,1.8181818181818181
2017-12,E07000085,30,14,2.142857142857143
2017-12,E07000086,15,12,1.25
2017-12,E07000087,6,6,1.0
2017-12,E07000088,5,4,1.25
2017-12,E07000089,83,55,1.509090909090909
2017-12,E07000090,9,7,1.2857142857142858
2017-12,E07000091,21,17,1.2352941176470589
2017-12,E07000092,20,10,2.0
2017-12,E07000093,18,8,2.25
2017-12,E07000094,15,13,1.1538461538461537
2017-12,E07000095,5,5,1.0
2017-12,E07000096,66,53,1.2452830188679245
2017-12,E07000098,44,29,1.5172413793103448
2017-12,E07000099,43,36,1.1944444444444444
2017-12,E07000102,27,19,1.4210526315789473
2017-12,E07000103,21,13,1.6153846153846154
2017-12,E07000105,19,15,1.2666666666666666
2017-12,E07000106,17,15,1.1333333333333333
2017-12,E07000107,8,6,1.3333333333333333
2017-12,E07000108,9,8,1.125
2017-12,E07000109,6,6,1.0
2017-12,E07000110,11,9,1.2222222222222223
2017-12,E07000111,49,26,1.8846153846153846
2017-12,E07000112,8,7,1.1428571428571428
2017-12,E07000113,10,7,1.4285714285714286
2017-12,E07000114,70,30,2.3333333333333335
2017-12,E07000115,8,8,1.0
2017-12,E07000116,35,20,1.75
2017-12,E07000117,10,8,1.25
2017-12,E07000118,19,14,1.3571428571428572
2017-12,E07000119,34,27,1.2592592592592593
2017-12,E07000120,11,8,1.375
2017-12,E07000121,72,45,1.6
2017-12,E07000122,2,2,1.0
2017-12,E07000123,15,13,1.1538461538461537
2017-12,E07000124,22,15,1.4666666666666666
2017-12,E07000125,34,22,1.5454545454545454
2017-12,E07000126,27,13,2.076923076923077
2017-12,E07000127,22,15,1.4666666666666666
2017-12,E07000128,33,14,2.357142857142857
2017-12,E07000129,8,5,1.6
2017-12,E07000130,13,12,1.0833333333333333
