period,LAD,report_count,user_count,average
2017-11,E07000030,5,5,1.0
2017-11,E07000031,18,14,1.2857142857142858
2017-11,E07000032,15,13,1.1538461538461537
2017-11,E07000033,9,4,2.25
2017-11,E07000034,36,14,2.5714285714285716
2017-11,E07000035,9,7,1.2857142857142858
2017-11,E07000036,17,16,1.0625
2017-11,E07000037,24,9,2.6666666666666665
2017-11,E07000038,10,9,1.1111111111111112
2017-11,E07000039,17,16,1.0625
2017-11,E07000040,11,11,1.0
2017-11,E07000041,9,8,1.125
2017-11,E07000042,5,4,1.25
2017-11,E07000043,5,5,1.0
2017-11,E07000044,5,5,1.0
2017-11,E07000045,4,2,2.0
2017-11,E07000046,3,3,1.0
2017-11,E07000047,2,2,1.0
2017-11,E07000061,12,9,1.3333333333333333
2017-11,E07000062,27,23,1.173913043478261
2017-11,E07000063,57,45,1.2666666666666666
2017-11,E07000064,110,87,1.264367816091954
2017-11,E07000065,65,43,1.5116279069767442
2017-11,E07000066,15,11,1.3636363636363635
2017-11,E07000067,12,11,1.0909090909090908
2017-11,E07000068,7,7,1.0
2017-11,E07000069,23,11,2.090909090909091
2017-11,E07000070,30,12,2.5
2017-11,E07000071,24,21,1.1428571428571428
2017-11,E07000072,12,11,1.0909090909090908
2017-11,E07000073,7,7,1.0
2017-11,E07000074,8,6,1.3333333333333333
2017-11,E07000075,4,4,1.0
2017-11,E07000076,7,6,1.1666666666666667
2017-11,E07000077,1,1,1.0
2017-11,E07000078,40,31,1.2903225806451613
2017-11,E07000079,14,11,1.2727272727272727
2017-11,E07000080,10,10,1.0
2017-11,E07000081,16,8,2.0
2017-11,E07000082,14,13,1.0769230769230769
2017-11,E07000083,24,16,1.5
2017-11,E07000084,33,26,1.2692307692307692
2017-11,E07000085,23,18,1.2777777777777777
2017-11,E07000086,19,17,1.1176470588235294
2017-11,E07000087,8,7,1.1428571428571428
2017-11,E07000088,14,6,2.3333333333333335
2017-11,E07000089,136,104,1.3076923076923077
2017-11,E07000090,26,14,1.8571428571428572
2017-11,E07000091,16,12,1.3333333333333333
2017-11,E07000092,9,7,1.2857142857142858
2017-11,E07000093,9,8,1.125
2017-11,E07000094,38,33,1.1515151515151516
2017-11,E07000095,7,5,1.4
2017-11,E07000096,79,50,1.58
2017-11,E07000098,47,26,1.8076923076923077
2017-11,E07000099,58,40,1.45
2017-11,E07000102,25,17,1.4705882352941178
2017-11,E07000103,31,25,1.24
2017-11,E07000105,24,18,1.3333333333333333
2017-11,E07000106,12,9,1.3333333333333333
2017-11,E07000107,9,9,1.0
2017-11,E07000108,11,11,1.0
2017-11,E07000109,10,10,1.0
2017-11,E07000110,4,3,1.3333333333333333
2017-11,E07000111,38,28,1.3571428571428572
2017-11,E07000112,17,12,1.4166666666666667
2017-11,E07000113,22,20,1.1
2017-11,E07000114,83,46,1.8043478260869565
2017-11,E07000115,13,7,1.8571428571428572
2017-11,E07000116,15,12,1.25
2017-11,E07000117,10,7,1.4285714285714286
2017-11,E07000118,15,7,2.142857142857143
2017-11,E07000119,15,11,1.3636363636363635
2017-11,E07000120,6,4,1.5
2017-11,E07000121,77,47,1.6382978723404256
2017-11,E07000122,9,7,1.2857142857142858
2017-11,E07000123,17,14,1.2142857142857142
2017-11,E07000124,16,12,1.3333333333333333
2017-11,E07000125,24,11,2.1818181818181817
2017-11,E07000126,10,7,1.4285714285714286
2017-11,E07000127,15,10,1.5
2017-11,E07000128,17,13,1.3076923076923077
2017-11,E07000129,6,3,2.0
2017-11,E07000130,14,14,1.0
2017-11,E07000131,23,11,2.090909090909091
2017-11,E07000132,11,11,1.0
2017-11,E07000133,8,4,2.0
2017-11,E07000134,12,9,1.3333333333333333
2017-11,E07000135,3,3,1.0
2017-11,E07000136,4,4,1.0
2017-11,E07000137,9,9,1.0
2017-11,E07000138,4,4,1.0
2017-11,E07000139,12,12,1.0
2017-11,E07000140,8,6,1.3333333333333333
2017-11,E07000141,23,16,1.4375
2017-11,E07000142,5,5,1.0
2017-11,E07000143,30,19,1.5789473684210527
2017-11,E07000144,17,15,1.1333333333333333
2017-11,E07000145,17,9,1.8888888888888888
2017-11,E07000146,447,14,31.928571428571427
2017-11,E07000147,5,4,1.25
2017-11,E07000148,64,24,2.6666666666666665
2017-11,E07000149,25,17,1.4705882352941178
2017-11,E07000150,2,2,1.0
2017-11,E07000151,2,2,1.0
2017-11,E07000152,7,5,1.4
2017-11,E07000153,7,6,1.1666666666666667
2017-11,E07000154,26,16,1.625
2017-11,E07000155,5,5,1.0
2017-11,E07000156,2,2,1.0
2017-11,E07000163,3,3,1.0
2017-11,E07000164,12,4,3.0
2017-11,E07000165,17,17,1.0
2017-11,E07000166,6,5,1.2
2017-11,E07000167,8,6,1.3333333333333333
2017-11,E07000168,9,7,1.2857142857142858
2017-11,E07000169,9,8,1.125
2017-11,E07000170,14,10,1.4
2017-11,E07000171,23,8,2.875
2017-11,E07000172,7,7,1.0
2017-11,E07000173,10,9,1.1111111111111112
2017-11,E07000174,5,5,1.0
2017-11,E07000175,3,3,1.0
2017-11,E07000176,10,8,1.25
2017-11,E07000177,741,339,2.185840707964602
2017-11,E07000178,439,231,1.9004329004329004
2017-11,E07000179,1189,391,3.040920716112532
2017-11,E07000180,598,264,2.265151515151515
2017-11,E07000181,453,246,1.8414634146341464
2017-11,E07000187,27,18,1.5
2017-11,E07000188,20,17,1.1764705882352942
2017-11,E07000189,23,12,1.9166666666666667
2017-11,E07000192,3,3,1.0
2017-11,E07000194,18,10,1.8
2017-11,E07000195,3,2,1.5
2017-11,E07000196,3,2,1.5
2017-11,E07000197,1,1,1.0
2017-11,E07000198,1,1,1.0
2017-11,E07000199,5,2,2.5
2017-11,E07000200,9,5,1.8
2017-11,E07000202,67,10,6.7
2017-11,E07000203,9,8,1.125
2017-11,E07000207,23,17,1.3529411764705883
2017-11,E07000208,9,8,1.125
2017-11,E07000209,24,19,1.263157894736842
2017-11,E07000210,21,13,1.6153846153846154
2017-11,E07000211,11,11,1.0
2017-11,E07000212,20,17,1.1764705882352942
2017-11,E07000213,27,19,1.4210526315789473
2017-11,E07000214,18,16,1.125
2017-11,E07000215,21,17,1.2352941176470589
2017-11,E07000216,16,12,1.3333333333333333
2017-11,E07000217,23,14,1.6428571428571428
2017-11,E07000218,32,26,1.2307692307692308
2017-11,E07000219,52,39,1.3333333333333333
2017-11,E07000220,51,37,1.3783783783783783
2017-11,E07000221,67,60,1.1166666666666667
2017-11,E07000222,74,65,1.1384615384615384
2017-11,E07000223,6,6,1.0
2017-11,E07000224,24,18,1.3333333333333333
2017-11,E07000225,6,6,1.0
2017-11,E07000226,8,8,1.0
2017-11,E07000227,12,9,1.3333333333333333
2017-11,E07000228,14,12,1.1666666666666667
2017-11,E07000229,15,7,2.142857142857143
2017-11,E07000234,2,2,1.0
2017-11,E07000235,1,1,1.0
2017-11,E07000236,4,4,1.0
2017-11,E07000237,2,2,1.0
2017-11,E07000238,3,3,1.0
2017-11,E07000239,2,2,1.0
2017-11,E07000240,42,30,1.4
2017-11,E07000241,42,31,1.3548387096774193
2017-11,E07000242,66,50,1.32
2017-11,E07000243,502,152,3.3026315789473686
2017-11,E07000244,37,27,1.3703703703703705
2017-11,E07000245,20,16,1.25
2017-11,E07000246,17,14,1.2142857142857142
2017-11,E08000001,27,22,1.2272727272727273
2017-11,E08000002,28,16,1.75
2017-11,E08000003,140,77,1.8181818181818181
2017-11,E08000004,30,13,2.3076923076923075
2017-11,E08000005,13,12,1.0833333333333333
2017-11,E08000006,7,7,1.0
2017-11,E08000007,26,18,1.4444444444444444
2017-11,E08000008,23,14,1.6428571428571428
2017-11,E08000009,110,64,1.71875
2017-11,E08000010,9,9,1.0
2017-11,E08000011,13,10,1.3
2017-11,E08000012,40,31,1.2903225806451613
2017-11,E08000013,10,10,1.0
2017-11,E08000014,13,13,1.0
2017-11,E08000015,29,21,1.380952380952381
2017-11,E08000016,48,25,1.92
2017-11,E08000017,25,18,1.3888888888888888
2017-11,E08000018,18,15,1.2
2017-11,E08000019,191,114,1.6754385964912282
2017-11,E08000021,9,9,1.0
2017-11,E08000022,15,8,1.875
2017-11,E08000023,6,6,1.0
2017-11,E08000024,38,29,1.3103448275862069
