lsoa,reports,unique_users,average_per_user
95NN23S2,2,2,1.0
95OO02W1,1,1,1.0
95OO03W1,1,1,1.0
95OO05W1,1,1,1.0
95OO06W1,1,1,1.0
95OO07W1,1,1,1.0
95OO08W1,1,1,1.0
95OO12W1,1,1,1.0
95OO14W1,1,1,1.0
95OO16W1,1,1,1.0
95OO19W1,1,1,1.0
95OO20W1,1,1,1.0
95OO22W1,2,1,2.0
95PP01W1,1,1,1.0
95PP04W1,5,2,2.5
95PP05W1,1,1,1.0
95PP06S1,1,1,1.0
95PP07W1,3,2,1.5
95PP08W1,3,2,1.5
95PP09W1,2,1,2.0
95PP10W1,32,5,6.4
95PP11W1,1,1,1.0
95PP12W1,1,1,1.0
95PP15W1,1,1,1.0
95PP16W1,2,2,1.0
95PP17W1,2,1,2.0
95PP18W1,2,2,1.0
95PP19W1,2,2,1.0
95PP20W1,2,2,1.0
95PP21W1,36,4,9.0
95PP22W1,1,1,1.0
95PP23W1,3,3,1.0
95QQ02W1,6,6,1.0
95QQ05W1,8,3,2.6666666666666665
95QQ07W1,6,5,1.2
95QQ09W1,1,1,1.0
95QQ10W1,1,1,1.0
95QQ11W1,1,1,1.0
95QQ12W1,1,1,1.0
95QQ13W1,6,3,2.0
95QQ14S1,4,4,1.0
95QQ14S2,2,2,1.0
95RR02W1,1,1,1.0
95RR03W1,2,2,1.0
95RR07W1,1,1,1.0
95RR10W1,1,1,1.0
95RR13W1,1,1,1.0
95SS01S1,6,6,1.0
95SS01S2,3,2,1.5
95SS02S1,2,2,1.0
95SS02S2,5,3,1.6666666666666667
95SS03S1,8,2,4.0
95SS03S2,2,1,2.0
95SS04S1,3,3,1.0
95SS04S2,3,3,1.0
95SS04S3,5,5,1.0
95SS05S1,3,3,1.0
95SS05S2,9,7,1.2857142857142858
95SS06S1,3,3,1.0
95SS06S3,1,1,1.0
95SS07S1,3,3,1.0
95SS07S2,1,1,1.0
95SS07S3,7,5,1.4
95SS08S1,15,1,15.0
95SS08S2,4,3,1.3333333333333333
95SS09S1,5,5,1.0
95SS09S2,1,1,1.0
95SS10S1,1,1,1.0
95SS10S2,4,4,1.0
95SS11S1,4,3,1.3333333333333333
95SS11S2,4,3,1.3333333333333333
95SS12W1,4,1,4.0
95SS13S1,1,1,1.0
95SS14S2,2,2,1.0
95SS15S1,10,4,2.5
95SS15S2,14,9,1.5555555555555556
95SS16S2,1,1,1.0
95SS17S1,5,4,1.25
95SS18S1,1,1,1.0
95SS18S2,2,2,1.0
95SS19S1,1,1,1.0
95SS19S2,2,2,1.0
95SS20W1,6,5,1.2
95SS21S1,4,4,1.0
95SS21S2,10,6,1.6666666666666667
95SS22S1,1,1,1.0
95SS22S2,6,4,1.5
95SS23S1,5,5,1.0
95SS23S2,11,6,1.8333333333333333
95SS24S1,1,1,1.0
95SS24S2,1,1,1.0
95SS25W1,3,3,1.0
95SS26S2,1,1,1.0
95SS27W1,6,5,1.2
95SS28W1,8,8,1.0
95SS29S1,2,2,1.0
95SS29S2,1,1,1.0
95SS30S2,2,2,1.0
95TT01W1,1,1,1.0
95TT03S1,1,1,1.0
95TT06W1,2,2,1.0
95TT07W1,1,1,1.0
95TT08W1,2,2,1.0
95TT09S1,1,1,1.0
95TT12W1,1,1,1.0
95TT13S2,1,1,1.0
95TT14W1,1,1,1.0
95TT16W1,3,3,1.0
95UU99C2,1,1,1.0
95UU99C4,1,1,1.0
95UU99C5,1,1,1.0
95VV01S1,1,1,1.0
95VV01S2,4,4,1.0
95VV02W1,1,1,1.0
95VV04W1,4,3,1.3333333333333333
95VV05S2,23,3,7.666666666666667
95VV06W1,4,3,1.3333333333333333
95VV07S1,5,4,1.25
95VV08W1,1,1,1.0
95VV09W1,1,1,1.0
95VV10S1,7,2,3.5
95VV10S2,2,2,1.0
95VV11S1,2,2,1.0
95VV11S2,2,2,1.0
95VV12S1,4,3,1.3333333333333333
95VV12S2,1,1,1.0
95VV13S2,2,2,1.0
95VV14S1,1,1,1.0
95VV16W1,4,2,2.0
95VV19S2,1,1,1.0
95VV20W1,2,2,1.0
95VV21S1,1,1,1.0
95VV22W1,1,1,1.0
95VV24S1,4,3,1.3333333333333333
95VV24S2,1,1,1.0
95VV26W1,3,3,1.0
95VV27W1,15,5,3.0
95VV28S1,2,2,1.0
95VV29W1,4,1,4.0
95VV30S1,1,1,1.0
95VV30S2,1,1,1.0
95WW01S1,2,2,1.0
95WW01S2,3,3,1.0
95WW02S1,1,1,1.0
95WW02S2,4,3,1.3333333333333333
95WW03S2,1,1,1.0
95WW04S1,1,1,1.0
95WW05S1,2,1,2.0
95WW05S2,4,4,1.0
95WW06S1,11,6,1.8333333333333333
95WW06S2,3,2,1.5
95WW07S1,3,2,1.5
95WW07S2,2,2,1.0
95WW08S1,1,1,1.0
95WW08S2,1,1,1.0
95WW09S1,1,1,1.0
95WW09S2,5,5,1.0
95WW10S2,1,1,1.0
95WW11S1,2,2,1.0
95WW11S2,3,2,1.5
95WW12W1,2,2,1.0
95WW13S1,3,3,1.0
95WW13S2,3,3,1.0
95WW14W1,4,4,1.0
95WW15S1,3,2,1.5
95WW15S2,1,1,1.0
95WW16S1,1,1,1.0
95WW16S2,2,2,1.0
95WW17W1,3,3,1.0
95WW18W1,1,1,1.0
95WW19S1,2,2,1.0
95WW19S2,1,1,1.0
95WW19S3,5,4,1.25
95WW20S1,9,7,1.2857142857142858
95WW20S2,25,15,1.6666666666666667
95WW20S3,1,1,1.0
95WW21S2,6,4,1.5
95WW22S1,2,2,1.0
95WW22S2,5,4,1.25
95WW23S1,1,1,1.0
95WW23S2,2,2,1.0
95WW24S1,9,3,3.0
95WW24S2,4,2,2.0
95WW25W1,7,3,2.3333333333333335
95XX01S1,3,3,1.0
95XX01S3,1,1,1.0
95XX02W1,2,2,1.0
95XX03S1,2,1,2.0
95XX03S2,1,1,1.0
95XX05W1,4,4,1.0
95XX06S1,5,4,1.25
95XX07S1,1,1,1.0
95XX07S2,1,1,1.0
95XX08S1,2,2,1.0
95XX08S2,2,2,1.0
95XX09S1,3,3,1.0
95XX10S2,3,3,1.0
95XX10S3,3,3,1.0
95XX11S1,3,2,1.5
95XX11S2,3,2,1.5
95XX12W1,1,1,1.0
95XX13W1,4,4,1.0
95XX14W1,2,2,1.0
95XX15W1,8,4,2.0
95XX17S2,3,3,1.0
95XX18W1,7,6,1.1666666666666667
95XX19W1,7,6,1.1666666666666667
95XX20S1,3,2,1.5
95XX20S2,1,1,1.0
95XX21W1,3,3,1.0
95XX22W1,5,4,1.25
95XX23W1,2,2,1.0
95XX24S1,4,2,2.0
95XX24S2,2,2,1.0
95YY01W1,2,2,1.0
95YY02W1,1,1,1.0
95YY03W1,1,1,1.0
95YY05W1,4,4,1.0
95YY07W1,2,2,1.0
95YY09W1,3,3,1.0
95YY13S1,1,1,1.0
95YY13S2,2,2,1.0
95YY14S1,1,1,1.0
95YY15S1,1,1,1.0
95YY16W1,2,2,1.0
95YY17W1,3,3,1.0
95YY19W1,1,1,1.0
95YY20W1,13,3,4.333333333333333
95ZZ01W1,1,1,1.0
95ZZ03W1,2,2,1.0
95ZZ07W1,6,1,6.0
95ZZ09W1,1,1,1.0
95ZZ10W1,2,2,1.0
95ZZ12W1,5,2,2.5
95ZZ13W1,1,1,1.0
95ZZ14S1,2,2,1.0
95ZZ14S2,1,1,1.0
95ZZ15W1,5,3,1.6666666666666667
95ZZ16S1,3,1,3.0
E01000001,54,22,2.4545454545454546
E01000002,52,28,1.8571428571428572
E01000003,55,11,5.0
E01000005,50,37,1.3513513513513513
E01000006,18,4,4.5
E01000007,35,9,3.888888888888889
E01000008,17,11,1.5454545454545454
E01000009,32,6,5.333333333333333
E01000010,69,19,3.6315789473684212
E01000011,7,6,1.1666666666666667
E01000012,20,9,2.2222222222222223
E01000013,11,8,1.375
E01000014,5,5,1.0
E01000015,33,6,5.5
E01000016,3,3,1.0
E01000017,5,5,1.0
E01000018,1,1,1.0
E01000019,20,5,4.0
E01000020,13,12,1.0833333333333333
E01000021,8,5,1.6
E01000022,20,6,3.3333333333333335
E01000023,13,12,1.0833333333333333
E01000024,4,4,1.0
E01000025,14,10,1.4
E01000027,42,12,3.5
E01000028,2,2,1.0
E01000029,43,4,10.75
E01000030,27,12,2.25
E01000031,16,9,1.7777777777777777
E01000032,25,13,1.9230769230769231
E01000033,3,3,1.0
E01000034,13,5,2.6
E01000035,32,8,4.0
E01000037,16,10,1.6
E01000038,58,9,6.444444444444445
E01000039,13,7,1.8571428571428572
E01000040,68,4,17.0
E01000041,5,4,1.25
E01000042,60,7,8.571428571428571
E01000043,12,8,1.5
E01000044,34,4,8.5
E01000045,11,11,1.0
E01000046,17,8,2.125
E01000049,7,7,1.0
E01000050,48,14,3.4285714285714284
E01000051,4,2,2.0
E01000052,27,12,2.25
E01000053,14,12,1.1666666666666667
E01000054,5,4,1.25
E01000055,3,2,1.5
E01000056,8,5,1.6
E01000057,4,4,1.0
E01000058,1,1,1.0
E01000059,1,1,1.0
E01000060,26,7,3.7142857142857144
E01000061,19,9,2.111111111111111
E01000062,10,5,2.0
E01000063,8,7,1.1428571428571428
E01000064,4,4,1.0
E01000065,11,9,1.2222222222222223
E01000066,10,4,2.5
E01000067,4,4,1.0
E01000068,30,5,6.0
E01000069,3,2,1.5
E01000070,14,8,1.75
E01000071,16,9,1.7777777777777777
E01000072,42,19,2.210526315789474
E01000073,20,11,1.8181818181818181
E01000074,40,5,8.0
E01000075,25,11,2.272727272727273
E01000076,19,12,1.5833333333333333
E01000077,11,8,1.375
E01000078,15,12,1.25
E01000079,9,6,1.5
E01000080,20,12,1.6666666666666667
E01000081,5,4,1.25
E01000082,19,8,2.375
E01000083,4,4,1.0
E01000084,4,4,1.0
E01000085,10,9,1.1111111111111112
E01000086,2,2,1.0
E01000087,12,11,1.0909090909090908
E01000088,4,4,1.0
E01000090,14,12,1.1666666666666667
E01000091,27,9,3.0
E01000092,69,36,1.9166666666666667
E01000093,18,10,1.8
E01000094,36,19,1.894736842105263
E01000095,90,34,2.6470588235294117
E01000096,20,11,1.8181818181818181
E01000097,10,10,1.0
E01000098,6,3,2.0
E01000099,6,5,1.2
E01000100,14,7,2.0
E01000101,8,8,1.0
E01000102,8,7,1.1428571428571428
E01000103,4,4,1.0
E01000104,2,2,1.0
E01000105,8,6,1.3333333333333333
E01000106,6,6,1.0
E01000107,3,2,1.5
E01000108,2,2,1.0
E01000109,16,9,1.7777777777777777
E01000110,5,5,1.0
E01000111,13,8,1.625
E01000112,16,15,1.0666666666666667
E01000113,10,8,1.25
E01000114,10,8,1.25
E01000115,119,41,2.902439024390244
E01000116,99,39,2.5384615384615383
E01000117,132,43,3.0697674418604652
